t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
3.600000,0.027942,0.934548,-0.000000,0.030013,3,0.000015,1.332504,0.017899,1.313467,0.339699,0.447405,0.000000,1.525062,-0.094134,0,3.057893,1,stable
3.700000,-0.000931,0.927558,-0.000000,0.030325,3,0.000015,1.331804,0.018256,1.317356,0.336231,0.445882,0.000000,1.525062,-0.049209,0,2.950774,1,stable
3.800000,-0.042715,0.923592,-0.000000,0.030469,3,0.000015,1.328912,0.018518,1.323459,0.381561,0.444723,0.000000,1.525062,-0.006997,0,3.057893,1,stable
3.900000,-0.077497,0.923588,0.000000,0.030411,3,0.000015,1.334815,0.018660,1.331227,0.407435,0.493408,0.000000,1.525062,-0.028920,0,2.950774,1,stable
4,-0.078364,0.926469,0.000000,0.030115,0,0.000016,1.341437,0.018654,1.339942,0.387569,0.512076,0.000000,1.525062,0.059034,0,4.083070,1,stable
4.100000,-0.036005,0.928852,0.000000,0.029544,0,0.000015,1.346678,0.018473,1.348769,0.556331,0.472044,0.000000,1.517924,0.066216,0,4.079041,1,stable
4.200000,0.015921,0.926365,0.000000,0.028667,0,0.000015,1.353484,0.018089,1.356829,0.910566,0.409494,0.000000,1.517924,0.052413,0,3.884851,1,stable
4.300000,0.037388,0.916137,0.000000,0.027462,0,0.000015,1.367222,0.017483,1.363293,0.877107,0.453186,0.000000,1.517924,0.068059,0,4.079041,1,stable
4.400000,0.030940,0.899078,0.000000,0.025929,0,0.000015,1.383910,0.016646,1.367475,0.915334,0.485960,0.000000,1.517924,0.137382,0,3.884851,1,stable
4.500000,0.024468,0.880554,-0.000000,0.024091,0,0.000015,1.406477,0.015584,1.368921,1.040465,0.483954,0.000000,1.517924,0.166873,0,3.708310,1,stable
4.600000,0.032725,0.868472,-0.000000,0.021998,0,0.000015,1.438728,0.014326,1.367475,0.986958,0.475405,0.000000,1.511158,0.225678,0,3.698365,1,stable
4.700000,0.042755,0.869010,-0.000000,0.019730,0,0.000015,1.478909,0.012922,1.363293,0.980747,0.480717,0.000000,1.511158,0.322508,0,3.688472,1,stable
4.800000,0.037304,0.882722,-0.000000,0.017380,0,0.000015,1.519332,0.011434,1.356829,0.955059,0.474609,0.000000,1.514022,0.401808,0,3.448264,1,stable
4.900000,0.017613,0.904370,-0.000000,0.015049,0,0.000016,1.557603,0.009934,1.348769,0.954204,0.463793,0.000000,1.519874,0.404233,0,3.237429,1,stable
5,-0.002864,0.926469,-0.000000,0.012829,0,0.000016,1.591621,0.008488,1.339942,0.968386,0.451693,0.000000,1.528516,0.382708,0,3.448264,1,stable
5.100000,-0.014450,0.943205,-0.000000,0.010788,0,0.000016,1.619750,0.007149,1.331227,0.943921,0.452815,0.000000,1.534253,0.340184,0,3.688472,1,transitoire
5.200000,-0.016608,0.952136,-0.000000,0.008971,0,0.000016,1.641014,0.005950,1.323459,0.931996,0.452480,0.000000,1.547056,0.281290,0,3.698365,1,transitoire
5.300000,-0.013574,0.953688,-0.000000,0.007397,0,0.000016,1.655133,0.004908,1.317356,0.929202,0.447490,0.000000,1.561550,0.212638,0,3.708310,1,transitoire
5.400000,-0.009502,0.949772,0.000000,0.006062,0,0.000016,1.662420,0.004023,1.313467,0.917293,0.441831,0.000000,1.576359,0.141184,0,3.884851,1,transitoire
5.500000,-0.006699,0.942661,0.000000,0.004952,0,0.000016,1.663614,0.003287,1.312132,0.900520,0.437878,0.000000,1.590296,0.072873,0,4.079041,1,transitoire
5.600000,-0.005546,0.934548,0.000000,0.004041,0,0.000015,1.665295,0.002682,1.313467,0.884323,0.435353,0.000000,1.596406,0.011943,0,4.128719,1,transitoire
5.700000,-0.004396,0.927558,0.000000,0.003300,0,0.000015,1.667999,0.002191,1.317356,0.869172,0.434066,0.000000,1.608570,0.016808,0,4.179622,1,transitoire
5.800000,-0.000975,0.923592,0.000000,0.002703,0,0.000015,1.666182,0.001796,1.323459,0.854100,0.433939,0.000000,1.619928,0.027040,0,4.310182,1,transitoire
5.900000,0.003310,0.923588,-0.000000,0.002224,0,0.000015,1.659926,0.001479,1.331227,0.840018,0.434004,0.000000,1.629348,-0.018170,0,4.449161,1,transitoire
6,0.004605,0.926469,-0.000000,0.001841,0,0.000015,1.649356,0.001225,1.339942,0.826082,0.431361,0.000000,1.637875,-0.062558,0,4.471721,1,chronique
6.100000,0.003347,0.928852,-0.000000,0.001536,0,0.000015,1.634665,0.001023,1.348769,0.813013,0.426309,0.000000,1.638758,-0.105707,0,4.494511,1,chronique
6.200000,0.001301,0.926365,-0.000000,0.001292,0,0.000015,1.616151,0.000862,1.356829,0.800765,0.422393,0.000000,1.643541,-0.146905,0,4.564180,1,chronique
6.300000,-0.000485,0.916137,-0.000000,0.001097,0,0.000015,1.594234,0.000733,1.363293,0.788117,0.419941,0.000000,1.645625,-0.185139,0,4.636043,1,chronique
