t,confidence,p_state0,p_state1,p_state2,p_state3,p_state4,satisfaction_learned,curiosity_learned,boredom_learned,fatigue_learned
0.0,0.6538769217624698,0.8100579652123339,0.005186139362539404,0.005186137277422245,0.0051861366835584104,0.174383621463336,0.8100579652123339,0.8100579652123339,0.8100579652123339,0.8100579652123339
0.1,0.6552899474784366,0.8111604774212444,0.0051314504882772685,0.0051314484239131965,0.005131447835960062,0.1734451758306051,0.8111604774212444,0.8111604774212444,0.8111604774212444,0.8111604774212444
0.2,0.6574373359882979,0.812833948163963,0.005049548969792244,0.005049546936580937,0.005049546357500446,0.17201740957216335,0.812833948163963,0.812833948163963,0.812833948163963,0.812833948163963
0.3,0.660797541633864,0.8154445458194355,0.004923852787031842,0.00492385080172096,0.004923850236283027,0.16978390035552868,0.8154445458194355,0.8154445458194355,0.8154445458194355,0.8154445458194355
0.4,0.6657134594419316,0.8192486468500965,0.004745709930918868,0.004745708013768773,0.0047457074677437665,0.16651422773747218,0.8192486468500965,0.8192486468500965,0.8192486468500965,0.8192486468500965
0.5,0.671880503433838,0.8239830989273854,0.004529954698666336,0.004529952864368446,0.004529952341940643,0.1624270411676392,0.8239830989273854,0.8239830989273854,0.8239830989273854,0.8239830989273854
0.6,0.6788060990084599,0.8292403660538835,0.004296284046307201,0.0042962823020283696,0.004296281805238961,0.157870785792542,0.8292403660538835,0.8292403660538835,0.8292403660538835,0.8292403660538835
0.7,0.6846228131380656,0.8335863698431313,0.004103636055678118,0.004103634385645917,0.00410363391000275,0.15410272580554196,0.8335863698431313,0.8335863698431313,0.8335863698431313,0.8335863698431313
0.8,0.689408421373916,0.837115236892871,0.003947537639176668,0.003947536029333985,0.003947535570833442,0.15104215386778494,0.837115236892871,0.837115236892871,0.837115236892871,0.837115236892871
0.9,0.6928364694872569,0.839608774525417,0.003835652116096707,0.0038356505493034447,0.0038356501030638417,0.14888427270611898,0.839608774525417,0.839608774525417,0.839608774525417,0.839608774525417
1.0,0.6688110492484842,0.8190301184070596,0.004254229528951501,0.004254227747405159,0.004254227240001561,0.1682071970765822,0.8190301184070596,0.8190301184070596,0.8190301184070596,0.8190301184070596
1.1,0.6632900171217038,0.8136055358557722,0.004290546464192839,0.004290544651151319,0.004290544134777555,0.17352282889410597,0.8136055358557722,0.8136055358557722,0.8136055358557722,0.8136055358557722
1.2,0.6395353377711424,0.7909926506793753,0.004734659032558759,0.004734656985491759,0.004734656402465011,0.194803376900109,0.7909926506793753,0.7909926506793753,0.7909926506793753,0.7909926506793753
1.3,0.6283809107267672,0.7793584977240764,0.004918980319373243,0.004918978168586252,0.00491897755601893,0.2058845662319451,0.7793584977240764,0.7793584977240764,0.7793584977240764,0.7793584977240764
1.4,0.6345139476475323,0.783309992764956,0.004514514424282448,0.004514512425389248,0.004514511856082918,0.2031464685292894,0.783309992764956,0.783309992764956,0.783309992764956,0.783309992764956
