t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
3.200000,0.056225,0.952136,-0.000000,0.027647,0,0.000018,1.361164,0.015882,1.323459,0.324635,0.497494,0.000000,1.532759,-0.023940,0,3.487560,stable
3.300000,0.049392,0.953688,-0.000000,0.028363,0,0.000018,1.354846,0.016445,1.317356,0.365306,0.489227,0.000000,1.532759,-0.044094,0,3.384873,stable
3.400000,0.044084,0.949772,-0.000000,0.029009,0,0.000017,1.346838,0.016977,1.313467,0.365825,0.460510,0.000000,1.532759,-0.063180,0,3.297088,stable
3.500000,0.040153,0.942661,-0.000000,0.029566,0,0.000017,1.337424,0.017467,1.312132,0.351939,0.454150,0.000000,1.532759,-0.080081,0,3.213741,stable
3.600000,0.028214,0.934548,-0.000000,0.030013,3,0.000017,1.332504,0.017899,1.313467,0.342454,0.448385,0.000000,1.525062,-0.094134,0,3.136340,stable
3.700000,-0.000541,0.927558,-0.000000,0.030325,3,0.000017,1.331804,0.018256,1.317356,0.339408,0.445087,0.000000,1.525062,-0.049209,0,3.062580,stable
3.800000,-0.041523,0.923592,-0.000000,0.030469,3,0.000018,1.328912,0.018518,1.323459,0.379605,0.443593,0.000000,1.525062,-0.006997,0,3.136340,stable
3.900000,-0.075066,0.923588,0.000000,0.030411,3,0.000017,1.334815,0.018660,1.331227,0.401726,0.490675,0.000000,1.525062,-0.028920,0,3.062580,stable
4,-0.075910,0.926469,0.000000,0.030115,0,0.000017,1.341437,0.018654,1.339942,0.383582,0.507305,0.000000,1.525062,0.059034,0,4.000961,stable
4.100000,-0.035134,0.928852,0.000000,0.029544,0,0.000017,1.346678,0.018473,1.348769,0.542359,0.468245,0.000000,1.517924,0.066216,0,3.994059,stable
4.200000,0.016163,0.926365,0.000000,0.028667,0,0.000017,1.353484,0.018089,1.356829,0.871123,0.407589,0.000000,1.517924,0.052413,0,3.795302,stable
4.300000,0.038055,0.916137,0.000000,0.027462,0,0.000018,1.367222,0.017483,1.363293,0.849523,0.452192,0.000000,1.517924,0.068059,0,3.994059,stable
4.400000,0.032276,0.899078,0.000000,0.025929,0,0.000018,1.383910,0.016646,1.367475,0.879774,0.486925,0.000000,1.517924,0.137382,0,3.795302,stable
4.500000,0.026184,0.880554,-0.000000,0.024091,0,0.000018,1.406477,0.015584,1.368921,1.002114,0.484948,0.000000,1.517924,0.166873,0,3.615388,stable
4.600000,0.033830,0.868472,-0.000000,0.021998,0,0.000018,1.438728,0.014326,1.367475,0.951010,0.474930,0.000000,1.511158,0.225678,0,3.565837,stable
4.700000,0.043400,0.869010,-0.000000,0.019730,0,0.000017,1.478909,0.012922,1.363293,0.942642,0.478825,0.000000,1.511158,0.322508,0,3.517625,stable
4.800000,0.037662,0.882722,-0.000000,0.017380,0,0.000017,1.519332,0.011434,1.356829,0.918894,0.471495,0.000000,1.514022,0.401808,0,3.349006,stable
4.900000,0.017680,0.904370,-0.000000,0.015049,0,0.000017,1.557603,0.009934,1.348769,0.918340,0.459768,0.000000,1.519874,0.404233,0,3.195813,stable
5,-0.002828,0.926469,-0.000000,0.012829,0,0.000017,1.591621,0.008488,1.339942,0.933123,0.447364,0.000000,1.528516,0.382708,0,3.349006,stable
5.100000,-0.014370,0.943205,-0.000000,0.010788,0,0.000017,1.619750,0.007149,1.331227,0.908904,0.448524,0.000000,1.534253,0.340184,0,3.517625,transitoire
5.200000,-0.016525,0.952136,-0.000000,0.008971,0,0.000017,1.641014,0.005950,1.323459,0.898003,0.448390,0.000000,1.547056,0.281290,0,3.565837,transitoire
5.300000,-0.013476,0.953688,-0.000000,0.007397,0,0.000017,1.655133,0.004908,1.317356,0.895802,0.443533,0.000000,1.561550,0.212638,0,3.615388,transitoire
5.400000,-0.009398,0.949772,0.000000,0.006062,0,0.000018,1.662420,0.004023,1.313467,0.884557,0.437788,0.000000,1.576359,0.141184,0,3.795302,transitoire
5.500000,-0.006633,0.942661,0.000000,0.004952,0,0.000018,1.663614,0.003287,1.312132,0.868366,0.433790,0.000000,1.590296,0.072873,0,3.994059,transitoire
5.600000,-0.005521,0.934548,0.000000,0.004041,0,0.000017,1.665295,0.002682,1.313467,0.852747,0.431327,0.000000,1.596406,0.011943,0,4.045929,transitoire
5.700000,-0.004388,0.927558,0.000000,0.003300,0,0.000017,1.667999,0.002191,1.317356,0.838154,0.430126,0.000000,1.608570,0.016808,0,4.099165,transitoire
5.800000,-0.000972,0.923592,0.000000,0.002703,0,0.000017,1.666182,0.001796,1.323459,0.823613,0.430014,0.000000,1.619928,0.027040,0,4.194155,transitoire
5.900000,0.003315,0.923588,-0.000000,0.002224,0,0.000017,1.659926,0.001479,1.331227,0.810056,0.430016,0.000000,1.629348,-0.018170,0,4.293652,transitoire
6,0.004615,0.926469,-0.000000,0.001841,0,0.000017,1.649356,0.001225,1.339942,0.796622,0.427332,0.000000,1.637875,-0.062558,0,4.297567,chronique
6.100000,0.003353,0.928852,-0.000000,0.001536,0,0.000017,1.634665,0.001023,1.348769,0.784033,0.422237,0.000000,1.638758,-0.105707,0,4.301489,chronique
6.200000,0.001303,0.926365,-0.000000,0.001292,0,0.000017,1.616151,0.000862,1.356829,0.772257,0.418426,0.000000,1.643541,-0.146905,0,4.413046,chronique
6.300000,-0.000484,0.916137,-0.000000,0.001097,0,0.000017,1.594234,0.000733,1.363293,0.760060,0.416280,0.000000,1.645625,-0.185139,0,4.530544,chronique
