t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
0,-0.000012,0.926469,0,0.000870,0,0.000019,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable
0.100000,0.001529,0.928852,0,0.001185,0,0.000018,1.589053,0.000542,1.348769,0,0.100000,0.000000,1.589053,0,0,1,1,stable
0.200000,0.003378,0.926365,-0.000000,0.001582,0,0.000016,1.572487,0.000726,1.356829,0,0.100000,0.000000,1.572487,15.890532,0,1,1,stable
0.300000,0.004567,0.916137,-0.000000,0.002063,0,0.000016,1.553142,0.000951,1.363293,0.000000,0.100000,0.000000,1.553142,-0.165666,0,1,1,stable
0.400000,0.004230,0.899078,-0.000000,0.002631,0,0.000016,1.531704,0.001219,1.367475,0.000370,0.100000,0.000000,1.531704,-0.193446,0,1,1,stable
0.500000,0.002333,0.880554,-0.000000,0.003280,0,0.000016,1.509106,0.001527,1.368921,0.001834,0.100000,0.000000,1.509106,-0.214384,0,1,1,stable
0.600000,-0.000406,0.868472,-0.000000,0.004002,0,0.000016,1.492234,0.001873,1.367475,0.002961,0.100000,0.000000,1.492234,-0.225977,0,1,1,stable
0.700000,-0.003572,0.869010,-0.000000,0.004786,0,0.000016,1.481589,0.002252,1.363293,0.002998,0.100000,0.000000,1.481589,-0.168718,0,1,1,stable
0.800000,-0.007570,0.882722,0.000000,0.005618,0,0.000016,1.471186,0.002658,1.356829,0.002886,0.100000,0.000000,1.471186,-0.106454,0,1,1,stable
0.900000,-0.012452,0.904370,0.000000,0.006488,0,0.000016,1.460813,0.003088,1.348769,0.002402,0.100000,0.000000,1.460813,-0.104026,0,1,1,stable
1,-0.016904,0.926469,0.000000,0.007385,0,0.000016,1.450272,0.003537,1.339942,0.002146,0.429919,0.000000,1.580770,-0.103729,0,3.583422,1,stable
1.100000,-0.019212,0.943205,0.000000,0.008302,0,0.000016,1.439426,0.004002,1.331227,0.002832,0.451736,0.000000,1.571561,-0.105416,0,4.732034,1,chronique
1.200000,-0.018750,0.952136,0.000000,0.009232,0,0.000016,1.428239,0.004480,1.323459,0.006735,0.391115,0.000000,1.571561,-0.108459,0,4.924660,1,stable
1.300000,-0.015960,0.953688,0.000000,0.010170,0,0.000016,1.416789,0.004970,1.317356,0.011941,0.317632,0.000000,1.571561,-0.111871,0,4.541604,1,stable
1.400000,-0.011180,0.949772,0.000000,0.011115,0,0.000016,1.405270,0.005470,1.313467,0.014805,0.208256,0.000000,1.571561,-0.114494,0,4.367624,1,stable
1.500000,-0.003796,0.942661,0.000000,0.012064,0,0.000016,1.393969,0.005981,1.312132,0.016157,0.109162,0.000000,1.571561,-0.115191,0,4.206483,1,stable
1.600000,0.007224,0.934548,0.000000,0.013016,0,0.000016,1.388838,0.006503,1.313467,0.018080,0.067474,0.000000,1.561596,-0.113009,0,4.367624,1,stable
1.700000,0.021247,0.927558,0.000000,0.013970,0,0.000017,1.389725,0.007034,1.317356,0.021756,0.243585,0.000000,1.561596,-0.051312,0,4.206483,1,stable
1.800000,0.033784,0.923592,-0.000000,0.014926,0,0.000016,1.390413,0.007575,1.323459,0.023677,0.471844,0.000000,1.561596,0.008867,0,3.603874,1,stable
1.900000,0.037076,0.923588,-0.000000,0.015882,0,0.000016,1.390369,0.008127,1.331227,0.022672,0.565377,0.000000,1.561596,0.006880,0,4.676617,1,stable
2,0.024881,0.926469,-0.000000,0.016838,0,0.000017,1.389178,0.008688,1.339942,0.050079,0.512474,0.000000,1.561596,-0.000432,0,5.012309,1,stable
