t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),An_mean(t),fn_mean(t),spacing_gamma_bias,spacing_G_hint,spacing_planning_hint,best_pair_gamma,best_pair_G,best_pair_score,temporal_coherence,autocorr_tau,decorrelation_time,tau_S,tau_gamma,tau_A_mean,tau_f_mean
0,0,1,0,0.001002,0,0.000037,0,0.000457,1.532226,0,1,0.100036,0.493788,0,0,0,1,1,1,stable,0.493788,0,0.117184,0.117184,adaptive,0.100000,0.000457,1.532226,0,0,0,0.117184,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.000868,1.000000,0,0.002057,0,0.000046,3.347188,0.000961,1.535085,0,1,0.100030,0.444228,3.347188,0,0,1,1,1,stable,0.444409,0.000182,0.292420,0.320839,adaptive,0.120927,0.000961,1.535085,0,0,0,0.292420,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.200000,0.002524,0.999999,0,0.003764,0,0.000045,0.594587,0.001830,1.537949,0,1,0.100028,0.399374,0.594587,33.471877,0,1,1,1,stable,0.399998,0.000624,0.311218,0.341512,adaptive,0.141753,0.001830,1.537949,0,0,0,0.311218,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.300000,0.003821,0.999999,-0.000010,0.006305,0,0.000044,0.579720,0.003241,1.540815,0.000000,0.993307,0.100034,0.358913,0.579720,-27.526003,0,1,1,1,stable,0.360099,0.001186,0.318317,0.349368,adaptive,0.162379,0.003241,1.540815,0,0,0,0.318317,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.400000,0.003566,0.999998,-0.000034,0.009786,0,0.000044,2.873065,0.005383,1.543680,0.000708,0.993307,0.100002,0.321567,2.873065,-0.148679,0,1,1,1,stable,0.324281,0.002714,0.562277,0.617262,resonance,0.182707,0.005383,1.543680,0,0,0,0.562277,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.500000,0.004172,0.999997,-0.000078,0.015223,0,0.000071,2.038021,0.008874,1.546540,0.006413,0.993306,0.100001,0.288071,2.038021,22.933451,0,1,1,1,stable,0.292292,0.004221,0.685641,0.752815,tanh,0.202643,0.008874,1.546540,0,0,0,0.685641,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.600000,0.005102,0.999996,-0.000230,0.021186,0,0.000066,1.623312,0.013413,1.549393,0.002245,0.993307,0.100001,0.259394,1.623312,-8.350435,0,1,1,1,stable,0.263746,0.004352,0.665604,0.731004,spiral_log,0.222096,0.013413,1.549393,0,0,0,0.665604,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.700000,0.003143,0.999994,-0.000304,0.025913,3,0.000080,1.917581,0.018626,1.552236,0.001185,0.993307,0.100000,0.234890,1.917581,-4.147093,0,1,1,1,stable,0.238075,0.003185,0.740688,0.813867,adaptive,0.240981,0.018626,1.552236,0,0,0,0.740688,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.800000,-0.004007,0.999992,-0.000076,0.032054,3,0.000071,2.069487,0.025255,1.555070,0.005470,0.993306,0.100009,0.218685,2.069487,2.942688,0,1,1,1,stable,0.214783,-0.003902,0.879988,0.947986,resonance,0.259218,0.025255,1.555070,0,0,0,0.879988,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.900000,-0.014114,0.999991,0.000313,0.033015,1,0.000069,1.473681,0.029310,1.557895,0.040613,0.993299,0.100042,0.202846,1.473681,1.519068,0,1,1,1,stable,0.192674,-0.010172,0.984819,0.997534,resonance,0.276734,0.029310,1.557895,0,0,0,0.984819,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1,-0.008176,0.999989,0.000284,0.041761,1,0.000069,41.934506,0.037797,1.560706,0.030926,0.993301,0.674301,0.171961,3.110126,-5.958069,0,3.821492,1,1,transitoire,0.171760,-0.000201,0.100000,0.109951,adaptive,0.293459,0.037797,1.560706,0,0,0,0.100000,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.100000,0.006798,0.999987,-0.000326,0.061361,3,0.000069,4.966132,0.057253,1.563460,0.009653,0.993305,0.491720,0.150613,16.051586,404.608250,0,3.693980,1,1,transitoire,0.154552,0.003939,0.287473,0.315628,adaptive,0.309334,0.057253,1.563460,0,0,0,0.287473,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.200000,0.003610,0.999985,-0.000100,0.080204,3,0.000070,1.629570,0.076281,1.566242,0.034245,0.993301,0.697339,0.131492,16.749275,-369.683735,0,3.606185,1,1,chronique,0.139734,0.008242,0.307139,0.335963,adaptive,0.324303,0.076281,1.566242,0,0,0,0.307139,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.300000,-0.061033,0.999982,0.000298,0.097868,4,0.000069,2.606776,0.094236,1.568990,0.051316,0.993297,0.681148,0.146600,16.749275,-33.365618,0,3.693980,1,1,transitoire,0.127094,-0.019506,0.461879,0.500746,tanh,0.338318,0.094236,1.568990,0,0,0,0.461879,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.400000,-0.092182,0.999980,0.000866,0.084103,4,0.000070,2.073880,0.081392,1.571630,0.091472,0.993290,0.887901,0.147564,16.749275,9.772054,0,15.593725,1,1,transitoire,0.111229,-0.036335,0.576824,0.629046,spiral_log,0.351335,0.081392,1.571630,0,0,0,0.576824,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.500000,-0.036397,0.999978,0.000209,0.083418,3,0.000067,1.971364,0.081686,1.574253,0.048313,0.993298,0.798610,0.097216,16.749275,-5.328962,0,23.005505,1,1,chronique,0.094227,-0.002989,0.660123,0.718992,adaptive,0.363320,0.081686,1.574253,0,0,0,0.660123,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.600000,-0.007590,0.999976,-0.000399,0.140279,4,0.000067,2.015167,0.132024,1.576939,0.234336,0.993262,0.654059,0.070162,13.280223,-1.025153,0,22.540593,1,1,transitoire,0.084321,0.018397,0.679846,0.718146,resonance,0.374240,0.132024,1.576939,0,0,0,0.679846,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.700000,-0.115773,0.999974,0.000955,0.159782,1,0.000066,2.711313,0.157969,1.579438,0.243013,0.993261,0.680106,0.091812,13.280223,0.438033,0,22.094099,1,1,transitoire,0.078865,0.058976,0.873680,0.905756,resonance,0.384069,0.157969,1.579438,0,0,0,0.873680,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.800000,-0.142820,0.999972,0.000116,0.182022,4,0.000067,2.767499,0.157971,1.581871,1.917226,0.992933,0.804580,0.084429,13.280223,6.961457,0,24.965572,1,1,transitoire,0.080521,0.110388,0.831462,0.830489,resonance,0.392784,0.157971,1.581871,0,0,0,0.831462,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.900000,-0.077251,0.999970,-0.002704,0.164595,4,0.000110,3.200096,0.161496,1.584330,0.398328,0.993231,0.714291,0.073856,13.280223,0.561859,0,27.990726,1,1,transitoire,0.090330,0.068593,1,0.954943,resonance,0.400369,0.161496,1.584330,1,1,1,1,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
2,-0.056944,0.999968,-0.003663,0.197335,2,0.000111,10.012488,0.175917,1.586526,1.397341,0.993036,0.621999,0.098086,13.361980,4.325969,0,24.002576,0.740879,1,transitoire,0.092395,-0.005691,0.366661,0.368133,resonance,0.406809,0.175917,1.586526,1,1,1,0.366661,resonance,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.400000,0.500000
2.100000,-0.084087,0.999967,-0.002055,0.143365,3,0.000111,4.011660,0.141199,1.589257,0.355695,0.993239,0.640964,0.094932,12.692082,68.123918,0,21.009166,0.747230,0.987661,transitoire,0.082235,-0.012698,0.419624,0.443786,tanh,0.412092,0.141199,1.589257,1,1,1,0.419624,tanh,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.500000,0.500000
2.200000,-0.161575,0.999965,-0.001294,0.146725,4,0.000071,6.373108,0.139283,1.591778,2.850261,0.992743,0.605690,0.064277,12.854395,-60.008275,0,19.852038,0.754233,0.976732,transitoire,0.071957,0.007679,0.215007,0.226311,adaptive,0.416209,0.139283,1.591778,0,0,0,0.215007,adaptive,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.500000,0.500000
2.300000,-0.103964,0.999964,0.000856,0.181968,4,0.000070,3.737747,0.174173,1.594186,3.798500,0.992546,0.611535,0.101796,13.459579,23.614478,0,21.286692,0.757667,0.967058,transitoire,0.066003,-0.035792,0.476727,0.492275,adaptive,0.419154,0.174173,1.594186,0,0,0,0.476727,adaptive,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.600000,0.600000
