t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000024,0,0.000457,1.339942,0,0.100000,0.493789,0,0,0,1,1,stable,0.493788,-0.000001,1,1,0.100000,0.000457,1.339942
0.100000,0.001825,0.992522,0,0.001655,0,0.000023,0.165102,0.000765,1.342872,0,0.100000,0.468729,0.165102,0,0,1,1,stable,0.469099,0.000369,1,1,0.120927,0.000765,1.342872
0.200000,0.005172,0.992728,-0.000000,0.002658,0,0.000020,0.253863,0.001253,1.345525,0,0.100000,0.444629,0.253863,1.651018,0,1,1,stable,0.445674,0.001045,1,1,0.141753,0.001253,1.345525
0.300000,0.009112,0.992063,-0.000020,0.004114,0,0.000020,0.375298,0.001988,1.347639,0.000000,0.100000,0.421637,0.375298,0.887613,0,1,1,stable,0.423475,0.001838,1,1,0.162379,0.001988,1.347639
0.400000,0.011387,0.990669,-0.000055,0.006094,0,0.000021,0.525690,0.003029,1.348999,0.000508,0.100000,0.400158,0.525690,1.214347,0,1,1,stable,0.402449,0.002291,1,1,0.182707,0.003029,1.348999
0.500000,0.010508,0.989045,-0.000108,0.008457,0,0.000022,0.659566,0.004345,1.349468,0.005185,0.100000,0.380402,0.659566,1.503924,0,1,1,stable,0.382512,0.002110,1,1,0.202643,0.004345,1.349468
0.600000,0.007453,0.987842,-0.000165,0.010746,0,0.000023,0.721026,0.005784,1.348999,0.014130,0.100000,0.362059,0.721026,1.338761,0,1,1,stable,0.363557,0.001498,1,1,0.222096,0.005784,1.348999
0.700000,0.003705,0.987566,-0.000177,0.012526,0,0.000020,0.747455,0.007268,1.347639,0.015909,0.100000,0.344750,0.747455,0.614600,0,1,1,stable,0.345501,0.000750,1,1,0.240981,0.007268,1.347639
0.800000,-0.003861,0.988351,-0.000078,0.014102,3,0.000020,0.887749,0.009028,1.345526,0.014477,0.100000,0.329054,0.887749,0.264289,0,1,1,stable,0.328286,-0.000768,1,1,0.259218,0.009028,1.345526
0.900000,-0.023206,0.989907,0.000116,0.015991,3,0.000020,0.946978,0.011111,1.342872,0.016235,0.100000,0.316474,0.946978,1.402942,0,1,1,stable,0.311810,-0.004664,1,1,0.276734,0.011111,1.342872
1,-0.039405,0.991674,0.000260,0.017447,1,0.000020,0.706147,0.012905,1.339944,0.068121,0.593155,0.303775,0.917364,0.592286,0,3.676132,1,stable,0.295842,-0.007933,1,1,0.293459,0.012905,1.339944
1.100000,-0.041240,0.993071,0.000171,0.019939,1,0.000022,0.894840,0.015676,1.337029,0.052862,0.592475,0.288713,0.860728,-2.408310,0,5.287331,1,stable,0.280408,-0.008305,1,1,0.309334,0.015676,1.337029
1.200000,-0.028143,0.993711,0.000026,0.025130,3,0.000022,1.213836,0.020649,1.334409,0.166375,0.443069,0.271387,0.909856,1.886931,0,4.979286,1,stable,0.265716,-0.005671,1,1,0.324303,0.020649,1.334409
1.300000,0.009360,0.993500,0.000087,0.034319,3,0.000022,1.351628,0.028238,1.332338,0.293318,0.297185,0.250127,1.018551,3.189954,0,4.525966,1,stable,0.251971,0.001845,1,1,0.338318,0.028238,1.332338
1.400000,0.015177,0.992622,0.000568,0.050633,3,0.000021,1.492399,0.040196,1.331023,0.565608,0.441897,0.236515,1.170814,1.377928,0,4.465152,1,stable,0.239522,0.003007,1,1,0.351335,0.040196,1.331023
1.500000,-0.077820,0.991442,0.001365,0.057084,0,0.000022,0.781216,0.047621,1.330571,0.616801,0.500066,0.243557,1.352621,1.407709,0,4.405951,1,stable,0.227789,-0.015767,1,1,0.363320,0.047621,1.330571
1.600000,-0.003853,0.990387,0.001270,0.050152,3,0.000021,2.297287,0.043142,1.330987,4.129340,0.870186,0.216013,1.251210,-7.111829,0,7.833708,1,transitoire,0.215124,-0.000889,1,1,0.374240,0.043142,1.330987
1.700000,0.154845,0.989817,-0.000703,0.067667,1,0.000022,1.387156,0.059627,1.332273,6.862207,0.874384,0.173300,1.588788,15.160706,0,8.313940,1,stable,0.204296,0.030997,1,1,0.384069,0.059627,1.332273
1.800000,0.355255,0.989924,-0.001479,0.099383,1,0.000021,1.664382,0.089181,1.334254,8.612964,0.851783,0.129035,1.632118,-9.101310,0,15.587475,1,stable,0.196589,0.071160,1,1,0.392784,0.089181,1.334254
1.900000,0.267094,0.990647,-0.002097,0.139348,1,0.000020,1.498856,0.127012,1.336812,9.070977,0.863435,0.139182,1.710306,2.772260,0,33.808925,1,stable,0.192516,0.053334,1,1,0.400369,0.127012,1.336812
2,0.124000,0.991674,-0.001998,0.127779,4,0.000020,2.026948,0.115271,1.339691,27.837264,0.689742,0.162598,1.738231,-1.655261,0,32.450498,1,transitoire,0.187205,0.024607,1,1,0.406809,0.115271,1.339691
2.100000,0.054515,0.992522,-0.001480,0.115584,1,0.000020,2.032412,0.105143,1.342878,23.577519,0.631783,0.169054,1.795974,5.280921,0,31.197016,1,transitoire,0.179836,0.010782,1,1,0.412092,0.105143,1.342878
2.200000,0.154795,0.992728,0.000877,0.127657,3,0.000021,2.962212,0.116741,1.345500,21.993328,0.625387,0.140932,1.903977,0.054641,0,26.746161,1,transitoire,0.171716,0.030784,1,1,0.416209,0.116741,1.345500
2.300000,-0.008490,0.992063,-0.000363,0.170278,2,0.000022,1.420380,0.147432,1.347752,29.530911,0.676235,0.169885,2.196648,9.297996,0,23.406739,1,chronique,0.165621,-0.002454,1,1,0.419154,0.147432,1.347752
2.400000,0.280793,0.990669,0.001615,0.157812,4,0.000022,2.451119,0.127378,1.348910,31.436109,0.680326,0.101025,2.196648,-15.418313,0,26.746161,1,transitoire,0.157141,0.056116,1,1,0.420923,0.127378,1.348910
2.500000,0.564533,0.989045,-0.002428,0.194139,4,0.000021,1.667428,0.179692,1.349630,49.351967,0.766159,0.101621,2.353996,10.307386,0,23.406739,1,chronique,0.153824,0.113029,1,1,0.421513,0.179692,1.349630
2.600000,0.325043,0.987842,-0.000189,0.191392,4,0.000021,1.256729,0.182550,1.349285,33.583943,0.761982,0.094955,2.239568,-7.836913,0,29.415705,1,chronique,0.155277,0.065014,1,1,0.420923,0.182550,1.349285
2.700000,-0.349956,0.987566,0.001296,0.189467,2,0.000020,0.939967,0.174022,1.347980,78.175766,0.673321,0.223997,2.239568,-4.106992,0,24.327431,1,chronique,0.152773,-0.071225,1,1,0.419154,0.174022,1.347980
2.800000,-0.219287,0.988351,0.001303,0.103737,4,0.000020,5.232495,0.087478,1.345363,129.914786,0.803697,0.183607,2.239568,-3.167615,0,21.988337,1,transitoire,0.139372,-0.044235,1,1,0.416209,0.087478,1.345363
2.900000,-0.007177,0.989907,-0.004257,0.113269,4,0.000020,3.105622,0.107975,1.342911,166.704588,0.772265,0.130507,2.833745,42.925277,0,20.059598,1,transitoire,0.128825,-0.001682,1,1,0.412092,0.107975,1.342911
3,0.248126,0.991674,0.000602,0.154634,4,0.000021,1.212325,0.141849,1.340139,131.943782,0.770619,0.126060,3.013524,-21.268726,0,21.988337,1,chronique,0.122247,0.049347,1,1,0.406809,0.141849,1.340139
3.100000,0.073374,0.993071,0.001911,0.153935,3,0.000022,0.547140,0.142992,1.337584,129.440523,0.760689,0.151088,2.872585,-18.932975,0,20.059598,1,chronique,0.120127,0.014356,1,1,0.400369,0.142992,1.337584
3.200000,0.014107,0.993711,0.004978,0.133583,4,0.000022,1.706850,0.128856,1.334231,153.445897,0.744359,0.133796,2.872585,-6.651847,0,16.714957,1,chronique,0.115282,0.002488,1,1,0.392784,0.128856,1.334231
3.300000,0.120272,0.993500,0.000137,0.151062,1,0.000022,0.721903,0.141682,1.331804,133.977895,0.750111,0.146903,2.872585,11.597103,0,20.059598,1,chronique,0.109719,0.023769,1,1,0.384069,0.141682,1.331804
3.400000,0.330874,0.992622,-0.003222,0.149234,4,0.000022,1.667158,0.140377,1.330386,133.848090,0.767886,0.104657,2.872585,-9.849474,0,16.714957,1,chronique,0.106156,0.066092,1,1,0.374240,0.140377,1.330386
3.500000,0.125166,0.991442,-0.005317,0.172135,3,0.000022,0.745256,0.164898,1.330271,132.937022,0.814305,0.081182,2.872585,9.452552,0,14.326264,1,chronique,0.106195,0.025013,1,1,0.363320,0.164898,1.330271
3.600000,-0.178915,0.990387,-0.001180,0.183105,2,0.000022,0.513729,0.178352,1.330868,147.018437,0.811428,0.162846,2.726868,-9.219021,0,14.000320,1,chronique,0.102909,-0.036803,1,1,0.351335,0.178352,1.330868
3.700000,0.132328,0.989817,-0.000619,0.142307,4,0.000022,3.089717,0.126258,1.332375,140.851698,0.817902,0.103625,2.726868,-2.315273,0,13.688877,1,transitoire,0.094786,0.026353,1,1,0.338318,0.126258,1.332375
3.800000,0.264695,0.989924,-0.000074,0.176760,4,0.000022,1.469584,0.166059,1.334875,175.609155,0.829956,0.118589,2.899726,25.759884,0,11.791190,1,chronique,0.092179,0.052936,1,1,0.324303,0.166059,1.334875
3.900000,0.084679,0.990647,0.002944,0.168410,2,0.000022,0.470535,0.160411,1.337530,145.372692,0.803927,0.111993,2.899726,-16.201332,0,10.355595,1,stable,0.091853,0.016752,1,1,0.309334,0.160411,1.337530
4,0.034580,0.991674,0.004133,0.176370,3,0.000022,0.991080,0.163345,1.340137,154.565617,0.795346,0.152198,2.899726,-9.990483,0,8.828469,1,stable,0.088615,0.006197,1,1,0.293459,0.163345,1.340137
4.100000,0.303040,0.992522,-0.000492,0.150591,4,0.000022,1.619570,0.135510,1.342418,143.399636,0.804670,0.072307,2.767185,5.205445,0,10.355595,1,stable,0.084686,0.060638,1,1,0.276734,0.135510,1.342418
4.200000,0.501602,0.992728,-0.005527,0.181547,4,0.000022,1.135436,0.174099,1.345338,154.109098,0.808631,0.066214,2.767185,6.284905,0,8.828469,1,stable,0.085357,0.100456,1,1,0.259218,0.174099,1.345338
4.300000,0.028124,0.992063,-0.001881,0.175845,4,0.000022,0.314154,0.169305,1.348190,144.376994,0.791308,0.100894,2.767185,-4.841345,0,7.693865,1,stable,0.089216,0.005527,1,1,0.240981,0.169305,1.348190
4.400000,-0.295825,0.990669,0.003585,0.145945,1,0.000021,1.024165,0.142756,1.349183,195.916711,0.794054,0.157266,2.767185,-8.212820,0,8.828469,1,stable,0.085203,-0.059710,1,1,0.222096,0.142756,1.349183
4.500000,-0.176072,0.989045,0.001462,0.111713,4,0.000022,1.446608,0.110738,1.349266,165.761865,0.777558,0.132435,2.767185,7.100114,0,7.693865,1,stable,0.076112,-0.035571,1,1,0.202643,0.110738,1.349266
4.600000,0.073416,0.987842,-0.001938,0.129707,4,0.000020,1.321947,0.123677,1.348883,184.582003,0.754147,0.124957,2.657209,4.224426,0,7.467665,1,stable,0.069429,0.014580,1,1,0.182707,0.123677,1.348883
4.700000,0.023957,0.987566,-0.000667,0.128797,4,0.000020,0.810832,0.126131,1.347723,181.341918,0.756972,0.082106,2.657209,-1.246611,0,7.689487,1,stable,0.067137,0.004600,1,1,0.162379,0.126131,1.347723
4.800000,0.071064,0.988351,0.001627,0.136040,1,0.000020,0.338018,0.132675,1.345288,180.165388,0.758859,0.123893,2.657209,-5.111147,0,7.691676,1,stable,0.064152,0.013855,1,1,0.141753,0.132675,1.345288
4.900000,0.133515,0.989907,-0.001238,0.117404,4,0.000020,0.816798,0.115188,1.342521,171.559950,0.766732,0.073460,2.657209,-4.728146,0,7.693865,1,stable,0.062065,0.026584,1,1,0.120927,0.115188,1.342521
5,0.094227,0.991674,-0.002754,0.134036,4,0.000021,0.726532,0.130684,1.339782,167.842123,0.758920,0.098105,2.657209,4.787801,0,7.691676,1,stable,0.061113,0.018775,1,1,0.100000,0.130684,1.339782
5.100000,-0.167469,0.993071,-0.001233,0.126210,4,0.000020,0.546709,0.123016,1.337003,165.289886,0.757309,0.098041,2.567204,-0.902653,0,7.689487,1,stable,0.059576,-0.033669,1,1,0.079073,0.123016,1.337003
5.200000,-0.400382,0.993711,0.000691,0.126869,4,0.000022,0.578639,0.121886,1.334359,168.823235,0.766312,0.134261,2.567204,-1.798237,0,7.465602,1,stable,0.053873,-0.080387,1,1,0.058247,0.121886,1.334359
5.300000,-0.255711,0.993500,0.000341,0.111210,4,0.000021,1.179630,0.107796,1.332306,163.487852,0.759781,0.099096,2.567204,0.319298,0,7.254386,1,stable,0.044676,-0.051325,1,1,0.037621,0.107796,1.332306
5.400000,0.039911,0.992622,-0.000404,0.119695,4,0.000022,0.361075,0.114908,1.331161,174.331557,0.742605,0.066022,2.567204,6.009914,0,6.948142,1,stable,0.038290,0.007949,1,1,0.017293,0.114908,1.331161
5.500000,0.241484,0.991442,0.001251,0.128919,4,0.000022,0.481412,0.122694,1.330952,173.738212,0.742471,0.058012,2.567204,-8.185552,0,7.254386,1,stable,0.037019,0.048350,1,1,0.001000,0.122694,1.330952
5.600000,0.124287,0.990387,0.003597,0.129011,1,0.000022,0.388013,0.124052,1.331364,168.959246,0.730073,0.075414,2.491969,1.203372,0,6.948142,1,stable,0.039079,0.024885,1,1,0.001000,0.124052,1.331364
5.700000,0.024111,0.989817,0.003241,0.126108,2,0.000022,0.268633,0.121633,1.332175,177.283049,0.730598,0.105815,2.491969,-0.933992,0,6.666707,1,stable,0.039139,0.004673,1,1,0.001000,0.121633,1.332175
