t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000023,0,0.000457,1.339942,0,1,0.100000,0.493789,0,0,0,1,1,1,stable,0.493788,-0.000000,0.447059,0.447059,0.100000,0.000457,1.339942
0.100000,0.001825,0.992522,0,0.001655,0,0.000021,0.274287,0.000765,1.342872,0,1,0.100000,0.468930,0.274287,0,0,1,1,1,stable,0.469099,0.000169,0.457040,0.457040,0.120927,0.000765,1.342872
0.200000,0.005077,0.992728,-0.000000,0.002606,0,0.000020,0.349477,0.001230,1.345525,0,1,0.100000,0.445178,0.349477,2.742872,0,1,1,1,stable,0.445657,0.000479,0.467047,0.467047,0.141753,0.001230,1.345525
0.300000,0.008684,0.992063,-0.000009,0.003921,0,0.000020,0.448226,0.001901,1.347639,0.000000,0.993307,0.100000,0.422578,0.448226,0.751897,0,1,1,1,stable,0.423413,0.000836,0.477075,0.477075,0.162379,0.001901,1.347639
0.400000,0.010426,0.990669,-0.000025,0.005635,0,0.000020,0.569244,0.002823,1.348999,0.000569,0.993307,0.100000,0.401289,0.569244,0.987486,0,1,1,1,stable,0.402310,0.001022,0.487118,0.487118,0.182707,0.002823,1.348999
0.500000,0.009276,0.989045,-0.000049,0.007694,0,0.000020,0.695020,0.004007,1.349468,0.005449,0.993306,0.100000,0.381352,0.695020,1.210189,0,1,1,1,stable,0.382277,0.000926,0.497169,0.497169,0.202643,0.004007,1.349468
0.600000,0.006833,0.987842,-0.000075,0.009925,0,0.000022,0.810474,0.005427,1.348999,0.012473,0.993305,0.100000,0.362542,0.810474,1.257753,0,1,1,1,stable,0.363238,0.000697,0.507222,0.507222,0.222096,0.005427,1.348999
0.700000,0.003711,0.987566,-0.000081,0.012156,0,0.000022,0.935043,0.007092,1.347639,0.011895,0.993305,0.100000,0.344744,0.935043,1.154540,0,1,1,1,stable,0.345133,0.000389,0.517270,0.517270,0.240981,0.007092,1.347639
0.800000,-0.004924,0.988351,-0.000036,0.014433,3,0.000022,1.109551,0.009105,1.345525,0.010858,0.993305,0.100000,0.328426,1.109551,1.245694,0,1,1,1,stable,0.327908,-0.000518,0.527307,0.527307,0.259218,0.009105,1.345525
0.900000,-0.025099,0.989907,0.000060,0.016869,3,0.000021,1.126690,0.011449,1.342872,0.018483,0.993304,0.100000,0.314181,1.126690,1.745075,0,1,1,1,stable,0.311470,-0.002711,0.537327,0.537327,0.276734,0.011449,1.342872
1,-0.044900,0.991674,0.000137,0.019248,1,0.000022,0.983060,0.013897,1.339943,0.073115,0.993293,0.631025,0.300626,1.118120,0.171397,0,4.214476,1,1,stable,0.295678,-0.004949,0.547323,0.547323,0.293459,0.013897,1.339943
1.100000,-0.048738,0.993071,0.000109,0.022198,1,0.000022,1.016831,0.017017,1.337027,0.059280,0.993296,0.633611,0.285965,1.073100,-1.436301,0,6.570593,1,1,stable,0.280493,-0.005472,0.557290,0.557290,0.309334,0.017017,1.337027
1.200000,-0.032104,0.993711,0.000036,0.027053,3,0.000022,1.194130,0.021798,1.334407,0.190926,0.993271,0.483322,0.269696,1.084357,0.337709,0,6.281661,1,1,stable,0.266026,-0.003670,0.567220,0.567220,0.324303,0.021798,1.334407
1.300000,0.001959,0.993500,0.000076,0.034770,3,0.000022,1.297890,0.028715,1.332336,0.423033,0.993226,0.325561,0.252221,1.143457,1.772985,0,5.612336,1,1,stable,0.252428,0.000207,0.577108,0.577108,0.338318,0.028715,1.332336
1.400000,-0.000675,0.992622,0.000359,0.045434,3,0.000022,1.288895,0.037785,1.331014,0.563968,0.993199,0.374370,0.239930,1.206237,1.037602,0,6.281661,1,1,stable,0.239823,-0.000107,0.586947,0.586947,0.351335,0.037785,1.331014
1.500000,-0.070275,0.991442,0.000790,0.051670,0,0.000022,0.846297,0.044585,1.330559,0.774774,0.993158,0.421350,0.236319,1.260305,-0.089945,0,7.132251,1,1,stable,0.227823,-0.008496,0.596731,0.596731,0.363320,0.044585,1.330559
1.600000,-0.023282,0.990387,0.000702,0.052740,3,0.000022,1.258796,0.046894,1.330993,2.527924,0.992809,0.766786,0.218667,1.226901,-4.425982,0,9.057455,1,1,stable,0.215745,-0.002922,0.606455,0.606455,0.374240,0.046894,1.330993
1.700000,0.141004,0.989817,-0.000330,0.064894,1,0.000022,1.082579,0.058607,1.332295,3.862184,0.992532,0.720023,0.187330,1.259928,4.124985,0,8.092363,1,1,stable,0.204721,0.017391,0.616110,0.616110,0.384069,0.058607,1.332295
1.800000,0.315421,0.989924,-0.001019,0.087909,1,0.000020,1.484082,0.081396,1.334337,8.827046,0.991404,0.862049,0.156346,1.259928,-1.762163,0,15.701660,1,1,stable,0.195892,0.039546,0.625693,0.625693,0.392784,0.081396,1.334337
1.900000,0.246784,0.990647,-0.001212,0.113886,3,0.000020,1.286571,0.107156,1.336944,7.652020,0.991685,0.855075,0.157973,1.332416,4.015027,0,34.002609,1,1,stable,0.189297,0.031323,0.635196,0.635196,0.400369,0.107156,1.336944
