t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,erreur_0,G_0,In_1,An_1,En_1,On_1,phi_1,fn_1,erreur_1,G_1,In_2,An_2,En_2,On_2,phi_2,fn_2,erreur_2,G_2,In_3,An_3,En_3,On_3,phi_3,fn_3,erreur_3,G_3,In_4,An_4,En_4,On_4,phi_4,fn_4,erreur_4,G_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.268941,-0.149108,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.500000,-0.272253,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.700000,-0.372235,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.400000,-0.219791,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.600000,-0.323145
1.000,-0.008588,1.648902,0.293459,0.049152,0.090490,-0.004732,0.040172,0.700000,0.095222,-0.050620,0.293459,0.068799,0.176202,0.006847,0.045797,1.227171,0.169355,-0.089503,0.293459,0.015732,0.244535,0.001543,0.043663,1.211726,0.242992,-0.127583,0.293459,0.035925,0.134783,-0.002022,0.036640,1.899007,0.136806,-0.072494,0.293459,0.027910,0.210232,-0.002766,0.034437,2.765638,0.212998,-0.112142
2.000,-0.058173,1.676779,0.406809,0.119515,0.078093,0.007310,0.076412,0.700000,0.070783,-0.036949,0.406809,0.250764,0.112579,0.002227,0.085639,1.237123,0.110353,-0.057307,0.406809,0.289514,0.143720,0.003177,0.082222,1.235959,0.140543,-0.072690,0.406809,0.036598,0.045168,-0.002851,0.070282,1.936231,0.048019,-0.025139,0.406809,0.194382,0.088534,-0.018929,0.066347,2.823315,0.107463,-0.055827
3.000,-0.046281,1.698902,0.406809,0.117027,0.004515,0.012039,0.105172,0.700000,-0.007524,0.003946,0.406809,0.054916,0.052036,-0.008438,0.114357,1.244456,0.060474,-0.031321,0.406809,0.078726,0.066909,-0.011739,0.111175,1.257051,0.078648,-0.040594,0.406809,0.047765,0.002396,-0.003531,0.098177,1.968166,0.005927,-0.003101,0.406809,0.062802,0.049537,-0.007053,0.093395,2.871861,0.056590,-0.029331
4.000,-0.052014,1.713106,0.293459,0.091243,-0.021146,-0.010658,0.123637,0.700000,-0.010488,0.005244,0.293459,0.156686,-0.004640,0.002475,0.128250,1.249782,-0.007114,0.003554,0.293459,0.246931,0.004159,0.018965,0.127150,1.270321,-0.014806,0.007411,0.293459,0.088217,-0.014484,-0.001921,0.118053,1.988552,-0.012562,0.006285,0.293459,0.072480,0.031189,-0.006866,0.113617,2.903300,0.038055,-0.018792
5.000,-0.030101,1.718000,0.100000,0.083378,0.024826,-0.010376,0.130000,0.700000,0.035202,-0.052372,0.100000,0.084834,0.002554,0.080261,0.125570,1.251427,-0.077707,0.114932,0.100000,0.164548,0.022273,0.099167,0.128300,1.274313,-0.076895,0.113748,0.100000,0.092008,-0.019110,-0.003037,0.128300,1.994821,-0.016074,0.023942,0.100000,0.070157,0.026649,-0.035278,0.125570,2.913552,0.061927,-0.091840
6.000,-0.046914,1.713106,0.001000,0.068715,-0.005778,0.034537,0.123637,0.700000,-0.040315,0.030466,0.001000,0.131306,0.015083,-0.005814,0.106746,1.249466,0.020898,-0.006054,0.001000,0.171514,0.019469,-0.066883,0.114520,1.269937,0.086352,-0.051079,0.001000,0.098610,-0.008408,-0.016177,0.128104,1.987948,0.007769,-0.014057,0.001000,0.137241,0.006417,0.027032,0.128433,2.902782,-0.020615,0.015583
7.000,-0.096598,1.698902,0.001000,0.071902,-0.010422,-0.014801,0.105172,0.700000,0.004379,-0.002188,0.001000,0.126973,0.004886,-0.051581,0.074321,1.244498,0.056467,-0.106701,0.001000,0.152556,-0.001596,-0.057844,0.087457,1.257151,0.056249,-0.039691,0.001000,0.104864,-0.000068,-0.041547,0.117511,1.967934,0.041479,-0.007703,0.001000,0.146441,-0.006045,0.041598,0.122073,2.871663,-0.047642,0.023570
8.000,-0.042430,1.676779,0.001000,0.071769,0.007935,-0.018658,0.076412,0.700000,0.026593,-0.018630,0.001000,0.126421,-0.007924,-0.030095,0.032604,1.236717,0.022171,-0.002760,0.001000,0.162775,-0.011070,-0.036780,0.050309,1.237100,0.025711,-0.011737,0.001000,0.105516,0.006170,-0.004014,0.097422,1.937451,0.010184,-0.020987,0.001000,0.149343,0.007527,-0.038703,0.107041,2.824338,0.046231,-0.032380
9.000,-0.040407,1.648902,0.001000,0.070877,0.003833,0.026599,0.040172,0.700000,-0.022766,0.009709,0.001000,0.134213,-0.012706,0.013169,-0.012909,1.226832,-0.025875,0.057633,0.001000,0.164886,-0.013523,-0.037216,0.007448,1.211492,0.023692,-0.016585,0.001000,0.108418,-0.007696,0.025599,0.069514,1.898821,-0.033295,0.003209,0.001000,0.140579,-0.003100,-0.032254,0.084528,2.765485,0.029154,-0.012365
10.000,-0.077963,1.618000,0.100000,0.083368,-0.011736,-0.000000,0.000000,0.700000,-0.011736,0.008215,0.100000,0.156529,-0.009965,0.051089,-0.056263,1.216084,-0.061055,0.003280,0.100000,0.179121,-0.010409,-0.062261,-0.036098,1.183814,0.051852,0.002830,0.100000,0.126303,0.008908,-0.025239,0.036098,1.857751,0.034147,0.001223,0.100000,0.165735,-0.009346,0.015743,0.056263,2.702920,-0.025089,0.000659
11.000,-0.161737,1.587098,0.293459,0.103014,0.004627,-0.038646,-0.040172,0.700000,0.043273,0.000086,0.293459,0.187697,-0.002631,0.075023,-0.091843,1.205314,-0.077654,0.024152,0.293459,0.215715,0.005630,-0.082726,-0.075240,1.156009,0.088356,0.001250,0.293459,0.159120,-0.012422,-0.003481,-0.000075,1.817391,-0.008941,0.000701,0.293459,0.214246,-0.012411,0.035493,0.024376,2.642189,-0.047904,0.004053
