t,S(t),gamma,gamma_mean(t),An_mean(t),effort(t)
9.100000,-0.226229,0.800044,0.800044,0.157997,0.426790
9.200000,-0.133088,0.773819,0.773819,0.144863,0.431123
9.300000,-0.020081,0.745163,0.745163,0.155790,0.469141
9.400000,0.175011,0.714331,0.714331,0.173321,0.436246
9.500000,0.222980,0.681596,0.681596,0.168369,0.493280
9.600000,0.102615,0.647250,0.647250,0.166445,0.286386
9.700000,-0.133632,0.611596,0.611596,0.170710,0.642100
9.800000,-0.187871,0.574953,0.574953,0.151182,0.583925
9.900000,-0.104330,0.537643,0.537643,0.157355,0.350384
10,0.052938,0.500000,0.500000,0.181489,0.631505
10.100000,0.113294,0.462357,0.462357,0.170667,0.511833
10.200000,0.080785,0.425047,0.425047,0.169493,0.375545
10.300000,0.000613,0.388404,0.388404,0.180070,0.510531
10.400000,0.040271,0.352750,0.352750,0.170333,0.536413
10.500000,0.083378,0.318404,0.318404,0.171456,0.473071
10.600000,0.135319,0.285669,0.285669,0.179595,0.486810
10.700000,0.099676,0.254837,0.254837,0.178465,0.469527
10.800000,-0.017732,0.226181,0.226181,0.177764,0.442357
10.900000,-0.157087,0.199956,0.199956,0.181696,0.464964
11,-0.267077,0.176393,0.176393,0.183547,0.447546
11.100000,-0.281734,0.155703,0.155703,0.181638,0.448494
11.200000,-0.196610,0.138069,0.138069,0.180491,0.409172
11.300000,-0.038288,0.123648,0.123648,0.181974,0.387080
11.400000,0.120033,0.112567,0.112567,0.183683,0.326493
11.500000,0.151093,0.104925,0.104925,0.183663,0.233975
11.600000,0.016548,0.100789,0.100789,0.183597,0.131059
11.700000,-0.166215,0.100197,0.100197,0.183915,0.039567
11.800000,-0.190441,0.103154,0.103154,0.182195,0.119504
11.900000,-0.024353,0.109633,0.109633,0.181314,0.198328
12,0.135717,0.119577,0.119577,0.183569,0.293392
12.100000,0.110796,0.132898,0.132898,0.183342,0.334608
12.200000,-0.014948,0.149477,0.149477,0.182659,0.352139
12.300000,-0.064439,0.169168,0.169168,0.183064,0.376484
12.400000,0.035038,0.191795,0.191795,0.179701,0.418119
12.500000,0.152814,0.217157,0.217157,0.179486,0.411012
12.600000,0.203225,0.245030,0.245030,0.180854,0.406531
12.700000,0.131153,0.275167,0.275167,0.175392,0.458081
12.800000,-0.000088,0.307299,0.307299,0.173483,0.403948
12.900000,-0.136469,0.341141,0.341141,0.179540,0.405304
13,-0.228535,0.376393,0.376393,0.182148,0.341763
13.100000,-0.195698,0.412743,0.412743,0.170663,0.502496
13.200000,-0.117083,0.449867,0.449867,0.162410,0.406616
13.300000,-0.019119,0.487436,0.487436,0.163944,0.485007
13.400000,0.105362,0.525116,0.525116,0.170097,0.408819
13.500000,0.042197,0.562574,0.562574,0.151100,0.720039
13.600000,-0.100109,0.599476,0.599476,0.157488,0.307594
13.700000,-0.246850,0.635495,0.635495,0.175280,0.672052
13.800000,-0.108564,0.670312,0.670312,0.139531,0.929813
13.900000,0.015137,0.703617,0.703617,0.128561,0.809977
14,0.222518,0.735114,0.735114,0.166481,0.818965
14.100000,0.014758,0.764525,0.764525,0.134513,1.570414
14.200000,-0.067018,0.791587,0.791587,0.149452,1.615345
14.300000,-0.120958,0.816062,0.816062,0.145970,0.476487
14.400000,0.109209,0.837731,0.837731,0.125517,1.306607
14.500000,0.149310,0.856403,0.856403,0.155800,1.528978
14.600000,0.166083,0.871911,0.871911,0.145686,0.338432
14.700000,0.056297,0.884117,0.884117,0.100089,1.543656
14.800000,0.024937,0.892915,0.892915,0.148376,1.010741
14.900000,-0.096440,0.898225,0.898225,0.158469,0.215257
15,-0.137922,0.900000,0.900000,0.163089,0.432718
15.100000,-0.023068,0.898225,0.898225,0.140280,0.688594
