event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,950,1050,S(t),0.719779,medium,10/100
fractal_pattern,1200,1300,S(t),0.826753,medium,10/100
fractal_pattern,1400,1500,S(t),0.691159,medium,10/100
fractal_pattern,200,300,A_mean(t),0.686246,medium,10/100
fractal_pattern,300,400,A_mean(t),0.723329,medium,10/100
fractal_pattern,400,500,A_mean(t),0.712244,medium,10/100
fractal_pattern,450,550,A_mean(t),0.651653,medium,10/100
fractal_pattern,500,600,A_mean(t),0.661914,medium,10/100
fractal_pattern,600,700,A_mean(t),0.666171,medium,10/100
fractal_pattern,700,800,A_mean(t),0.666225,medium,10/100
fractal_pattern,800,900,A_mean(t),0.662966,medium,10/100
fractal_pattern,900,1000,A_mean(t),0.665790,medium,10/100
fractal_pattern,1000,1100,A_mean(t),0.664401,medium,10/100
fractal_pattern,1100,1200,A_mean(t),0.665960,medium,10/100
fractal_pattern,1200,1300,A_mean(t),0.663583,medium,10/100
fractal_pattern,1300,1400,A_mean(t),0.665158,medium,10/100
fractal_pattern,1400,1500,A_mean(t),0.666103,medium,10/100
fractal_pattern,1500,1600,A_mean(t),0.666717,medium,10/100
fractal_pattern,1600,1700,A_mean(t),0.664735,medium,10/100
fractal_pattern,1700,1800,A_mean(t),0.663899,medium,10/100
fractal_pattern,1800,1900,A_mean(t),0.665118,medium,10/100
fractal_pattern,450,550,entropy_S,0.761872,medium,10/100
fractal_pattern,1700,1800,entropy_S,0.732641,medium,10/100
fractal_pattern,450,550,effort(t),0.668105,medium,10/100
fractal_pattern,600,700,effort(t),0.679616,medium,10/100
fractal_pattern,700,800,effort(t),0.696507,medium,10/100
fractal_pattern,900,1000,effort(t),0.653328,medium,10/100
fractal_pattern,1000,1100,effort(t),0.645500,medium,10/100
fractal_pattern,1100,1200,effort(t),0.661933,medium,10/100
fractal_pattern,1200,1300,effort(t),0.669610,medium,10/100
fractal_pattern,1300,1400,effort(t),0.694975,medium,10/100
fractal_pattern,1400,1500,effort(t),0.697882,medium,10/100
fractal_pattern,1500,1600,effort(t),0.716114,medium,10/100
fractal_pattern,1600,1700,effort(t),0.701772,medium,10/100
fractal_pattern,1700,1800,effort(t),0.697299,medium,10/100
fractal_pattern,1800,1900,effort(t),0.661556,medium,10/100
fractal_pattern,100,200,mean_high_effort,0.686254,medium,10/100
fractal_pattern,150,250,mean_high_effort,0.676875,medium,10/100
fractal_pattern,200,300,mean_high_effort,0.672545,medium,10/100
fractal_pattern,250,350,mean_high_effort,0.675931,medium,10/100
fractal_pattern,300,400,mean_high_effort,0.674342,medium,10/100
fractal_pattern,350,450,mean_high_effort,0.671532,medium,10/100
fractal_pattern,400,500,mean_high_effort,0.668821,medium,10/100
fractal_pattern,450,550,mean_high_effort,0.647779,medium,10/100
fractal_pattern,550,650,mean_high_effort,0.665484,medium,10/100
fractal_pattern,600,700,mean_high_effort,0.664497,medium,10/100
fractal_pattern,650,750,mean_high_effort,0.664008,medium,10/100
fractal_pattern,700,800,mean_high_effort,0.663463,medium,10/100
fractal_pattern,750,850,mean_high_effort,0.663045,medium,10/100
fractal_pattern,800,900,mean_high_effort,0.662023,medium,10/100
fractal_pattern,850,950,mean_high_effort,0.661744,medium,10/100
fractal_pattern,900,1000,mean_high_effort,0.661522,medium,10/100
fractal_pattern,950,1050,mean_high_effort,0.660982,medium,10/100
fractal_pattern,1000,1100,mean_high_effort,0.660787,medium,10/100
fractal_pattern,1050,1150,mean_high_effort,0.660478,medium,10/100
fractal_pattern,1100,1200,mean_high_effort,0.660220,medium,10/100
fractal_pattern,1150,1250,mean_high_effort,0.660192,medium,10/100
fractal_pattern,1200,1300,mean_high_effort,0.659965,medium,10/100
fractal_pattern,1250,1350,mean_high_effort,0.659293,medium,10/100
fractal_pattern,1300,1400,mean_high_effort,0.659335,medium,10/100
fractal_pattern,1350,1450,mean_high_effort,0.658948,medium,10/100
fractal_pattern,1400,1500,mean_high_effort,0.659111,medium,10/100
fractal_pattern,1450,1550,mean_high_effort,0.658382,medium,10/100
fractal_pattern,1500,1600,mean_high_effort,0.658011,medium,10/100
fractal_pattern,1550,1650,mean_high_effort,0.658433,medium,10/100
fractal_pattern,1600,1700,mean_high_effort,0.658653,medium,10/100
fractal_pattern,1650,1750,mean_high_effort,0.658873,medium,10/100
fractal_pattern,1700,1800,mean_high_effort,0.658414,medium,10/100
fractal_pattern,1750,1850,mean_high_effort,0.658193,medium,10/100
fractal_pattern,1800,1900,mean_high_effort,0.658184,medium,10/100
fractal_pattern,1850,1950,mean_high_effort,0.657795,medium,10/100
fractal_pattern,500,600,mean_abs_error,0.781590,medium,10/100
