t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),An_mean(t),fn_mean(t),spacing_gamma_bias,spacing_G_hint,spacing_planning_hint,best_pair_gamma,best_pair_G,best_pair_score,temporal_coherence,autocorr_tau,decorrelation_time,tau_S,tau_gamma,tau_A_mean,tau_f_mean
0,0,1,0,0.001002,0,0.000044,0,0.000457,1.532226,0,1,0.100036,0.493788,0,0,0,1,1,1,stable,0.493788,0,0.100000,0.100000,adaptive,0.100000,0.000457,1.532226,0,0,0,0.100000,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.000867,1.000000,0,0.002055,0,0.000049,2.737068,0.000959,1.535085,0,1,0.100029,0.444293,2.737068,0,0,1,1,1,stable,0.444409,0.000116,0.187076,0.205257,adaptive,0.120927,0.000959,1.535085,0,0,0,0.187076,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.200000,0.002506,0.999999,0,0.003736,0,0.000049,2.262623,0.001817,1.537949,0,1,0.100028,0.399372,2.262623,27.370684,0,1,1,1,stable,0.399987,0.000616,0.309128,0.339219,adaptive,0.141753,0.001817,1.537949,0,0,0,0.309128,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.300000,0.003814,0.999999,-0.000006,0.006293,0,0.000044,2.358472,0.003234,1.540815,0.000000,0.993307,0.100033,0.358240,2.358472,-4.744458,0,1,1,1,stable,0.360088,0.001848,0.496809,0.545271,adaptive,0.162379,0.003234,1.540815,0,0,0,0.496809,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.400000,0.003830,0.999998,-0.000033,0.010237,0,0.000045,1.123107,0.005582,1.543679,0.000656,0.993307,0.100002,0.321993,1.123107,0.958489,0,1,1,1,stable,0.324378,0.002386,0.463942,0.509294,resonance,0.182707,0.005582,1.543679,0,0,0,0.463942,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.500000,0.004004,0.999997,-0.000121,0.014736,0,0.000091,2.323431,0.008650,1.546540,0.004950,0.993306,0.100001,0.288615,2.323431,-12.353648,0,1,1,1,stable,0.292327,0.003711,0.630600,0.692400,tanh,0.202643,0.008650,1.546540,0,0,0,0.630600,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.600000,0.004981,0.999996,-0.000198,0.020576,0,0.000073,2.151514,0.013105,1.549393,0.001545,0.993307,0.100000,0.259029,2.151514,12.003238,0,1,1,1,stable,0.263694,0.004665,0.733838,0.805960,spiral_log,0.222096,0.013105,1.549393,0,0,0,0.733838,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.700000,0.003270,0.999994,-0.000270,0.026196,3,0.000070,1.805024,0.018757,1.552236,0.001743,0.993307,0.100000,0.234663,1.805024,-1.719162,0,1,1,1,stable,0.238080,0.003417,0.778558,0.855471,resonance,0.240981,0.018757,1.552236,0,0,0,0.778558,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.800000,-0.004048,0.999992,-0.000076,0.032191,3,0.000068,2.004876,0.025299,1.555070,0.003937,0.993306,0.100009,0.218701,2.004876,-3.464900,0,1,1,1,stable,0.214825,-0.003876,0.923176,0.974588,resonance,0.259218,0.025299,1.555070,0,0,0,0.923176,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.900000,-0.013986,0.999991,0.000329,0.032819,1,0.000066,1.396597,0.029131,1.557895,0.034406,0.993301,0.100041,0.202808,1.396597,1.998519,0,1,1,1,stable,0.192715,-0.010093,1,1,resonance,0.276734,0.029131,1.557895,0,0,0,1,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
