t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,erreur_0,G_0,In_1,An_1,En_1,On_1,phi_1,fn_1,erreur_1,G_1,In_2,An_2,En_2,On_2,phi_2,fn_2,erreur_2,G_2,In_3,An_3,En_3,On_3,phi_3,fn_3,erreur_3,G_3,In_4,An_4,En_4,On_4,phi_4,fn_4,erreur_4,G_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.268941,-0.155452,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.500000,-0.283395,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.700000,-0.386703,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.400000,-0.228964,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.600000,-0.336059
1.000,-0.008989,1.648902,0.293459,0.050142,0.089768,-0.006765,0.040172,0.700000,0.096533,-0.053051,0.293459,0.073430,0.176271,0.010242,0.045797,1.227179,0.166030,-0.090743,0.293459,0.017586,0.244585,0.002417,0.043663,1.211730,0.242168,-0.131455,0.293459,0.036686,0.135012,-0.002894,0.036640,1.899009,0.137906,-0.075547,0.293459,0.030148,0.210311,-0.004188,0.034437,2.765640,0.214498,-0.116736
2.000,-0.059870,1.676779,0.406809,0.120078,0.078618,0.007201,0.076412,0.700000,0.071417,-0.037212,0.406809,0.252102,0.112697,0.002198,0.085639,1.237112,0.110499,-0.057281,0.406809,0.289703,0.143678,0.003140,0.082222,1.235904,0.140538,-0.072560,0.406809,0.039420,0.043663,-0.003012,0.070282,1.936196,0.046675,-0.024398,0.406809,0.196364,0.090744,-0.018744,0.066347,2.823286,0.109487,-0.056764
3.000,-0.066184,1.698902,0.406809,0.118352,0.004531,0.011066,0.105172,0.700000,-0.006536,0.003395,0.406809,0.070555,0.056175,-0.009854,0.114357,1.244416,0.066029,-0.033839,0.406809,0.099978,0.069811,-0.013553,0.111175,1.257005,0.083364,-0.042582,0.406809,0.063214,0.007298,-0.004237,0.098177,1.968236,0.011535,-0.005973,0.406809,0.090356,0.046109,-0.009233,0.093395,2.871920,0.055343,-0.028420
4.000,-0.050275,1.713106,0.293459,0.090136,-0.019559,-0.010915,0.123637,0.700000,-0.008643,0.004332,0.293459,0.160935,0.000206,0.002653,0.128250,1.249816,-0.002447,0.001225,0.293459,0.242852,0.009665,0.019308,0.127150,1.270278,-0.009643,0.004834,0.293459,0.088176,-0.015864,-0.001981,0.118053,1.988585,-0.013883,0.006967,0.293459,0.077557,0.031868,-0.007621,0.113617,2.903328,0.039489,-0.019550
5.000,-0.033741,1.718000,0.100000,0.083377,0.025665,-0.010001,0.130000,0.700000,0.035666,-0.052750,0.100000,0.093348,0.000992,0.085098,0.125570,1.251475,-0.084106,0.123512,0.100000,0.162123,0.021469,0.094279,0.128300,1.274283,-0.072810,0.107156,0.100000,0.097338,-0.022753,-0.003153,0.128300,1.994801,-0.019600,0.029019,0.100000,0.083641,0.026787,-0.040501,0.125570,2.913534,0.067287,-0.099122
6.000,-0.047509,1.713106,0.001000,0.069658,-0.004988,0.033607,0.123637,0.700000,-0.038595,0.028772,0.001000,0.131927,0.014128,-0.005580,0.106746,1.249455,0.019708,-0.005647,0.001000,0.173242,0.017922,-0.064763,0.114520,1.269896,0.082685,-0.047675,0.001000,0.101357,-0.009620,-0.015981,0.128104,1.987937,0.006361,-0.011405,0.001000,0.141194,0.006467,0.026719,0.128433,2.902773,-0.020252,0.015100
7.000,-0.099627,1.698902,0.001000,0.071998,-0.010228,-0.014741,0.105172,0.700000,0.004513,-0.002246,0.001000,0.128576,0.004683,-0.051944,0.074321,1.244476,0.056627,-0.106895,0.001000,0.156992,-0.002208,-0.059226,0.087457,1.257135,0.057018,-0.040171,0.001000,0.105705,-0.000584,-0.041658,0.117511,1.967929,0.041074,-0.007628,0.001000,0.148269,-0.006058,0.041884,0.122073,2.871659,-0.047942,0.023630
8.000,-0.043414,1.676779,0.001000,0.071904,0.008034,-0.018682,0.076412,0.700000,0.026716,-0.018713,0.001000,0.127956,-0.008109,-0.030505,0.032604,1.236687,0.022396,-0.002784,0.001000,0.165347,-0.011537,-0.037285,0.050309,1.237120,0.025749,-0.011748,0.001000,0.106075,0.005997,-0.004172,0.097422,1.937516,0.010168,-0.020952,0.001000,0.150681,0.007571,-0.039153,0.107041,2.824393,0.046725,-0.032720
9.000,-0.041413,1.648902,0.001000,0.071224,0.003879,0.026727,0.040172,0.700000,-0.022848,0.009743,0.001000,0.134321,-0.012939,0.013038,-0.012909,1.226784,-0.025977,0.057857,0.001000,0.167298,-0.013941,-0.037863,0.007448,1.211459,0.023922,-0.016745,0.001000,0.108446,-0.007821,0.025560,0.069514,1.898799,-0.033381,0.003220,0.001000,0.144061,-0.003101,-0.033099,0.084528,2.765466,0.029998,-0.012716
