t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.100000,0.268941,-0.146848,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.100000,0.500000,-0.268271,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.100000,0.700000,-0.367042,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.100000,0.400000,-0.216518,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.100000,0.600000,-0.318521,adaptive
1.000,-0.008237,1.648902,0.293459,0.048064,0.091984,-0.005713,0.040172,0.700000,0.123479,0.097698,-0.052471,adaptive,0.293459,0.065847,0.176078,0.008610,0.045797,1.227164,0.131380,0.167468,-0.089447,adaptive,0.293459,0.014285,0.244456,0.001606,0.043663,1.211723,0.114659,0.242849,-0.128842,adaptive,0.293459,0.034869,0.135673,-0.002434,0.036640,1.899005,0.124010,0.138107,-0.073943,adaptive,0.293459,0.026173,0.210191,-0.003229,0.034437,2.765636,0.124466,0.213420,-0.113535,adaptive
2.000,-0.059789,1.676779,0.406809,0.120735,0.076826,0.020603,0.076412,0.700000,0.325464,0.056223,-0.056613,resonance,0.406809,0.248515,0.108805,0.007054,0.085639,1.236960,0.363207,0.101751,-0.068574,tanh,0.406809,0.277162,0.139405,0.009553,0.082222,1.236066,0.371603,0.129852,-0.067231,spiral_log,0.406809,0.033477,0.044747,-0.007873,0.070282,1.936344,0.352789,0.052619,-0.031961,adaptive,0.406809,0.196715,0.089883,-0.057508,0.066347,2.823410,0.349944,0.147390,-0.145831,resonance
3.000,-0.043440,1.698902,0.406809,0.117729,0.006270,0.008612,0.105172,0.700000,0.109272,-0.002342,0.001191,adaptive,0.406809,0.050645,0.048557,-0.005885,0.114357,1.244490,0.116204,0.054442,-0.027394,adaptive,0.406809,0.084568,0.064841,-0.010015,0.111175,1.257084,0.122058,0.074856,-0.037518,adaptive,0.406809,0.041748,0.005728,-0.002359,0.098177,1.968118,0.117271,0.008087,-0.004106,adaptive,0.406809,0.050499,0.044855,-0.003688,0.093395,2.871820,0.100000,0.048543,-0.024454,adaptive
4.000,-0.046281,1.713106,0.293459,0.086502,-0.019938,-0.012902,0.123637,0.700000,0.164686,-0.007036,0.003590,adaptive,0.293459,0.134699,-0.005312,0.002906,0.128250,1.249749,0.177362,-0.008218,0.004195,adaptive,0.293459,0.244445,0.005365,0.026978,0.127150,1.270328,0.185294,-0.021614,0.011068,adaptive,0.293459,0.074438,-0.015261,-0.002214,0.118053,1.988467,0.174001,-0.013046,0.006667,adaptive,0.293459,0.054281,0.029711,-0.005836,0.113617,2.903227,0.146637,0.035547,-0.017945,adaptive
5.000,-0.029224,1.718000,0.100000,0.083376,0.022561,-0.010320,0.130000,0.700000,0.954781,0.032881,-0.049256,resonance,0.100000,0.079788,-0.003202,0.069477,0.125570,1.251374,0.883320,-0.072679,0.108317,resonance,0.100000,0.175673,0.016214,0.110229,0.128300,1.274325,1.000000,-0.094015,0.139509,resonance,0.100000,0.089521,-0.020700,-0.002995,0.128300,1.994851,1.000000,-0.017705,0.026547,resonance,0.100000,0.060914,0.026729,-0.028925,0.125570,2.913577,0.905367,0.055654,-0.083165,resonance
6.000,-0.043516,1.713106,0.001000,0.067424,-0.008010,0.034101,0.123637,0.700000,0.515084,-0.042111,0.033146,tanh,0.001000,0.128659,0.010740,-0.006224,0.106746,1.249479,0.555983,0.016964,-0.005159,spiral_log,0.001000,0.171142,0.016789,-0.079625,0.114520,1.269956,0.610341,0.096414,-0.075771,tanh,0.001000,0.093801,-0.011543,-0.017979,0.128104,1.987956,0.598595,0.006436,-0.011970,resonance,0.001000,0.126090,0.005586,0.027465,0.128433,2.902789,0.566413,-0.021879,0.017226,tanh
7.000,-0.091299,1.698902,0.001000,0.071909,-0.010982,-0.014227,0.105172,0.700000,0.395997,0.003245,-0.003253,resonance,0.001000,0.126511,0.001621,-0.053799,0.074321,1.244502,0.431288,0.055419,-0.105058,resonance,0.001000,0.147244,-0.005428,-0.060694,0.087457,1.257154,0.447931,0.055266,-0.055240,resonance,0.001000,0.104466,-0.001504,-0.043200,0.117511,1.967928,0.430005,0.041696,-0.007769,spiral_log,0.001000,0.142201,-0.007248,0.045346,0.122073,2.871658,0.462635,-0.052594,0.052584,resonance
8.000,-0.039946,1.676779,0.001000,0.071775,0.006698,-0.017651,0.076412,0.700000,0.379599,0.024349,-0.024884,resonance,0.001000,0.125014,-0.010265,-0.030624,0.032604,1.236735,0.413442,0.020358,-0.002561,spiral_log,0.001000,0.159989,-0.014423,-0.038620,0.050309,1.237072,0.427806,0.024196,-0.024729,resonance,0.001000,0.104922,0.004952,-0.003754,0.097422,1.937387,0.390512,0.008706,-0.017948,resonance,0.001000,0.147766,0.007138,-0.039251,0.107041,2.824284,0.412629,0.046389,-0.047331,resonance
9.000,-0.037533,1.648902,0.001000,0.070717,0.002958,0.024189,0.040172,0.700000,0.364714,-0.021231,0.022500,resonance,0.001000,0.134241,-0.014393,0.013431,-0.012909,1.226881,0.403553,-0.027824,0.061963,resonance,0.001000,0.162350,-0.016544,-0.038850,0.007448,1.211528,0.425493,0.022306,-0.023638,resonance,0.001000,0.108419,-0.008570,0.025773,0.069514,1.898845,0.402094,-0.034343,0.003339,spiral_log,0.001000,0.134719,-0.004031,-0.034003,0.084528,2.765505,0.440902,0.029971,-0.031747,resonance
10.000,-0.053292,1.618000,0.100000,0.083358,-0.030345,-0.000000,0.000000,0.700000,0.764050,-0.030345,0.060597,resonance,0.100000,0.132449,-0.027945,0.082764,-0.056263,1.216069,0.766360,-0.110709,0.187007,spiral_log,0.100000,0.139926,-0.024418,-0.105776,-0.036098,1.183792,0.869246,0.081358,-0.138557,spiral_log,0.100000,0.124785,0.014974,-0.050436,0.036098,1.857773,0.807119,0.065409,-0.111776,spiral_log,0.100000,0.147519,-0.018221,0.031886,0.056263,2.702938,0.906040,-0.050107,0.085848,spiral_log
11.000,-0.127698,1.587098,0.293459,0.101314,0.002371,-0.041642,-0.040172,0.700000,0.438242,0.044013,-0.046638,spiral_log,0.293459,0.163332,-0.010258,0.070088,-0.091843,1.205326,0.429423,-0.080346,0.085845,spiral_log,0.293459,0.194374,-0.002417,-0.090222,-0.075240,1.156107,0.483184,0.087806,-0.099237,tanh,0.293459,0.155685,-0.016074,-0.003433,-0.000075,1.817506,0.471652,-0.012641,0.013505,spiral_log,0.293459,0.210016,-0.014603,0.044286,0.024376,2.642280,0.502210,-0.058889,0.062995,spiral_log
12.000,-0.119220,1.559221,0.406809,0.117773,0.010990,0.028444,-0.076412,0.700000,0.372806,-0.017454,0.019354,resonance,0.406809,0.199748,0.002644,0.067781,-0.115104,1.195617,0.386020,-0.065138,0.058265,spiral_log,0.406809,0.288703,0.020812,-0.050417,-0.105425,1.132076,0.420689,0.071229,-0.078536,resonance,0.406809,0.161133,0.004814,0.042203,-0.036042,1.782328,0.388368,-0.037389,0.089718,resonance,0.406809,0.239139,-0.014625,0.046501,-0.008769,2.589522,0.439904,-0.061126,0.067503,resonance
13.000,-0.124453,1.537098,0.406809,0.119853,-0.015689,0.022168,-0.105172,0.700000,0.370217,-0.037858,0.041610,resonance,0.406809,0.218405,0.013498,0.036970,-0.123170,1.188276,0.387205,-0.023472,0.056288,resonance,0.406809,0.260263,0.019773,0.034702,-0.123174,1.112685,0.395672,-0.014929,0.016432,resonance,0.406809,0.161001,-0.003074,-0.062636,-0.068877,1.754766,0.409898,0.059562,-0.044774,spiral_log,0.406809,0.253608,-0.015196,0.077729,-0.040759,2.548624,0.431766,-0.092925,0.101277,resonance
14.000,-0.128519,1.522894,0.293459,0.101395,-0.003506,-0.038035,-0.123637,0.700000,0.382032,0.034529,-0.037932,resonance,0.293459,0.214544,0.014116,-0.027016,-0.115192,1.183513,0.400966,0.041132,-0.026499,spiral_log,0.293459,0.214254,0.010536,0.049812,-0.126481,1.101275,0.387911,-0.039276,0.043129,resonance,0.293459,0.142651,-0.001748,0.048782,-0.095931,1.738479,0.381916,-0.050530,0.120675,resonance,0.293459,0.200812,-0.005627,0.073530,-0.069312,2.523760,0.406634,-0.079157,0.086441,resonance
15.000,-0.094459,1.518000,0.100000,0.083245,0.010863,0.004009,-0.130000,0.700000,0.371527,0.006854,-0.007539,resonance,0.100000,0.150107,0.003101,-0.059422,-0.092447,1.181433,0.410919,0.062523,-0.148921,resonance,0.100000,0.180530,0.008606,0.029267,-0.115044,1.096668,0.389695,-0.020662,0.022716,resonance,0.100000,0.117574,-0.008095,-0.010383,-0.115044,1.732251,0.410101,0.002287,-0.001256,spiral_log,0.100000,0.178300,0.005072,-0.072502,-0.092447,2.514779,0.421960,0.077574,-0.084729,resonance
16.000,-0.071369,1.522894,0.001000,0.070989,-0.004423,0.023493,-0.123637,0.700000,0.365395,-0.027915,0.030678,resonance,0.001000,0.126542,-0.011388,-0.025399,-0.058134,1.182991,0.410075,0.014011,-0.006060,spiral_log,0.001000,0.177691,0.008991,-0.042716,-0.090295,1.100856,0.411376,0.051707,-0.056697,resonance,0.001000,0.105580,0.000342,-0.041375,-0.124727,1.738294,0.406530,0.041717,-0.099783,resonance,0.001000,0.149462,-0.002606,0.047107,-0.108625,2.523619,0.410376,-0.049713,0.054524,resonance
17.000,-0.081915,1.537098,0.001000,0.069788,-0.014477,-0.030208,-0.105172,0.700000,0.646562,0.015731,-0.000266,adaptive,0.001000,0.122919,-0.009403,0.073507,-0.016939,1.187887,0.641002,-0.082910,0.014177,tanh,0.001000,0.149710,-0.018603,-0.059026,-0.055218,1.112741,0.720246,0.040423,0.000370,tanh,0.001000,0.097761,0.000875,-0.061375,-0.124270,1.755389,0.697662,0.062250,0.002549,tanh,0.001000,0.154850,-0.010689,0.100478,-0.116854,2.549103,0.709251,-0.111168,0.022209,adaptive
18.000,-0.034190,1.559221,0.001000,0.072096,0.007139,-0.015349,-0.076412,0.700000,0.406039,0.022488,-0.003642,resonance,0.001000,0.131817,0.009338,-0.010655,0.025620,1.195926,0.420928,0.019993,0.000367,spiral_log,0.001000,0.145052,-0.000563,0.041375,-0.013989,1.132181,0.408654,-0.041938,0.009304,resonance,0.001000,0.103046,-0.006644,0.019423,-0.113802,1.782669,0.443097,-0.026067,0.010752,resonance,0.001000,0.131820,0.008628,-0.032306,-0.116749,2.589788,0.425825,0.040934,-0.005911,resonance
19.000,-0.041498,1.587098,0.001000,0.070645,0.001619,0.025003,-0.040172,0.700000,0.367640,-0.023384,0.007139,resonance,0.001000,0.124208,-0.008590,-0.027792,0.063927,1.205251,0.417354,0.019202,-0.011702,resonance,0.001000,0.160936,-0.014210,-0.008053,0.028521,1.156681,0.431118,-0.006157,0.001798,resonance,0.001000,0.101459,0.003491,-0.006109,-0.094264,1.817890,0.386401,0.009599,0.000082,spiral_log,0.001000,0.136574,-0.003635,0.056902,-0.108536,2.642585,0.446100,-0.060537,0.020189,resonance
