t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000011,0.926469,0,0.000990,0,0.000028,0,0.000451,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000,0.100000,0.000451,1.339942
0.100000,0.002139,0.928852,0,0.001637,0,0.000024,0.185403,0.000757,1.348769,0,0.100000,0.469099,0.185403,0,0,1,1,stable,0.469099,0.000000,0.000000,0.120927,0.000757,1.348769
0.200000,0.005595,0.926365,-0.000000,0.002539,0,0.000023,0.250611,0.001198,1.356829,0,0.100000,0.445644,0.250611,1.854031,0,1,1,stable,0.445644,0.000000,0.000000,0.141753,0.001198,1.356829
0.300000,0.008448,0.916137,-0.000000,0.003729,0,0.000025,0.330264,0.001811,1.363293,0,0.100000,0.423362,0.330264,0.652078,0,1,1,stable,0.423362,0.000000,0.000000,0.162379,0.001811,1.363293
0.400000,0.007683,0.899078,-0.000000,0.005231,0,0.000025,0.427381,0.002636,1.367475,0.001444,0.100000,0.402194,0.427381,0.796531,0,1,1,stable,0.402194,0.000000,0.000000,0.182707,0.002636,1.367475
0.500000,0.002743,0.880554,-0.000000,0.007060,0,0.000025,0.546018,0.003717,1.368921,0.012252,0.100000,0.382084,0.546018,0.971166,0,1,1,stable,0.382084,0.000000,0.000000,0.202643,0.003717,1.368921
0.600000,-0.001973,0.868472,-0.000000,0.009227,0,0.000023,0.701703,0.005110,1.367475,0.022710,0.100000,0.362980,0.701703,1.186372,0,1,1,stable,0.362980,-0.000000,0.000000,0.222096,0.005110,1.367475
0.700000,-0.004200,0.869010,-0.000000,0.011749,0,0.000023,0.898793,0.006877,1.363293,0.019958,0.100000,0.344831,0.898793,1.556854,0,1,1,stable,0.344831,-0.000000,0.000000,0.240981,0.006877,1.363293
0.800000,-0.012208,0.882722,0.000000,0.014648,0,0.000023,1.129892,0.009089,1.356829,0.026201,0.100000,0.327589,1.129892,1.970893,0,1,1,stable,0.327589,-0.000000,0.000000,0.259218,0.009089,1.356829
0.900000,-0.032887,0.904370,0.000000,0.017959,0,0.000023,1.186522,0.011824,1.348769,0.020646,0.100000,0.311210,1.186522,2.310996,0,1,1,stable,0.311210,-0.000000,0.000000,0.276734,0.011824,1.348769
1,-0.053557,0.926469,0.000000,0.021724,0,0.000023,1.134120,0.015164,1.339942,0.083542,0.634690,0.295649,1.158207,0.566296,0,6.714716,1,stable,0.295649,-0.000000,0.000000,0.293459,0.015164,1.339942
1.100000,-0.052927,0.943205,0.000000,0.025993,3,0.000023,1.081079,0.019187,1.331227,0.066620,0.649946,0.280867,1.150178,-0.524016,0,9.571925,1,stable,0.280867,-0.000000,0.000000,0.309334,0.019187,1.331227
1.200000,-0.030294,0.952136,0.000000,0.030815,3,0.000023,1.025714,0.023962,1.323459,0.282824,0.481963,0.266823,1.150178,-0.530416,0,8.066776,1,stable,0.266823,-0.000000,0.000000,0.324303,0.023962,1.323459
1.300000,-0.014072,0.953688,0.000000,0.036235,3,0.000023,0.967144,0.029539,1.317356,0.545522,0.322527,0.253482,1.150178,-0.553648,0,6.970664,1,stable,0.253482,-0.000000,0.000000,0.338318,0.029539,1.317356
1.400000,-0.037228,0.949772,0.000000,0.042286,3,0.000023,0.905260,0.035939,1.313467,0.425341,0.268427,0.240808,1.150178,-0.585701,0,6.640074,1,stable,0.240808,-0.000000,0.000000,0.351335,0.035939,1.313467
1.500000,-0.087927,0.942661,0.000000,0.048982,1,0.000023,0.840642,0.043150,1.312132,0.939197,0.407592,0.228768,1.150178,-0.618831,0,6.339421,1,stable,0.228768,-0.000000,0.000000,0.363320,0.043150,1.312132
1.600000,-0.076979,0.934548,0.000000,0.056312,1,0.000023,0.784560,0.051119,1.313467,1.230860,0.666169,0.217329,1.132903,-0.646189,0,8.513222,1,stable,0.217329,-0.000000,0.000000,0.374240,0.051119,1.313467
1.700000,0.074747,0.927558,-0.000000,0.064240,1,0.000024,0.737488,0.059757,1.317356,1.763306,0.607605,0.206463,1.132903,-0.560820,0,7.202167,1,stable,0.206463,0.000000,0.000000,0.384069,0.059757,1.317356
1.800000,0.249821,0.923592,-0.000000,0.072699,1,0.000023,0.689024,0.068939,1.323459,8.566399,0.789210,0.196140,1.132903,-0.470718,0,6.691547,1,stable,0.196140,0.000000,0.000000,0.392784,0.068939,1.323459
1.900000,0.211169,0.923588,-0.000000,0.081591,1,0.000025,0.639099,0.078517,1.331227,7.394149,0.852267,0.186333,1.132903,-0.484636,0,17.753478,1,stable,0.186333,0.000000,0.000000,0.400369,0.078517,1.331227
