event_type,t_start,t_end,metric,value,severity,scale
anomaly,110,113,S(t),4.260335,medium,
anomaly,310,313,S(t),4.054313,low,
anomaly,618,620,S(t),7.347087,medium,
anomaly,709,711,S(t),4.981770,medium,
anomaly,803,806,S(t),5.426170,medium,
anomaly,1205,1209,S(t),3.950488,low,
anomaly,1206,1209,S(t),3.553066,low,
anomaly,1211,1213,S(t),5.698093,medium,
anomaly,1308,1310,S(t),4.617067,medium,
anomaly,1316,1318,S(t),6.152370,medium,
anomaly,1409,1413,S(t),6.329325,medium,
anomaly,1410,1413,S(t),5.721797,medium,
anomaly,1411,1413,S(t),5.149347,medium,
anomaly,1708,1714,S(t),7.018303,medium,
anomaly,1709,1714,S(t),6.462701,medium,
anomaly,1710,1712,S(t),3.962051,low,
anomaly,2217,2219,S(t),4.622030,medium,
anomaly,2709,2717,S(t),7.214404,medium,
anomaly,2711,2717,S(t),6.008685,medium,
anomaly,2914,2916,S(t),4.509848,medium,
anomaly,3007,3009,S(t),4.434391,medium,
anomaly,3109,3112,S(t),5.439788,medium,
anomaly,3110,3112,S(t),4.996997,medium,
anomaly,3616,3619,S(t),3.519800,low,
anomaly,3811,3813,S(t),4.811782,medium,
anomaly,3914,3926,S(t),8.011643,medium,
anomaly,3918,3921,S(t),4.316484,medium,
anomaly,3919,3921,S(t),3.104639,low,
anomaly,4112,4114,S(t),4.323314,medium,
anomaly,4118,4120,S(t),3.574371,low,
anomaly,4213,4216,S(t),5.800575,medium,
anomaly,4214,4216,S(t),5.328892,medium,
anomaly,4707,4712,S(t),6.331599,medium,
anomaly,4815,4818,S(t),6.670645,medium,
anomaly,4912,4914,S(t),4.735621,medium,
anomaly,4923,4925,S(t),3.578995,low,
anomaly,5006,5010,S(t),4.705408,medium,
anomaly,5012,5014,S(t),3.524178,low,
anomaly,5104,5106,S(t),3.776347,low,
anomaly,5211,5214,S(t),6.109012,medium,
anomaly,5212,5214,S(t),5.386837,medium,
anomaly,5308,5313,S(t),4.487454,medium,
anomaly,5311,5313,S(t),3.454502,low,
anomaly,5411,5414,S(t),4.591882,medium,
anomaly,5718,5720,S(t),2.912933,low,
anomaly,5816,5818,S(t),6.500850,medium,
anomaly,6014,6017,S(t),6.369780,medium,
anomaly,6110,6112,S(t),6.373947,medium,
anomaly,6214,6220,S(t),4.578424,medium,
anomaly,6215,6217,S(t),3.836834,low,
anomaly,6307,6312,S(t),5.504645,medium,
anomaly,6308,6312,S(t),5.008725,medium,
anomaly,6516,6519,S(t),5.832841,medium,
anomaly,6807,6809,S(t),5.695440,medium,
anomaly,6913,6915,S(t),3.341487,low,
anomaly,6918,6920,S(t),4.087709,low,
anomaly,7114,7119,S(t),4.575027,medium,
anomaly,7214,7216,S(t),4.185220,low,
anomaly,7310,7312,S(t),6.415700,medium,
anomaly,7317,7319,S(t),4.583778,medium,
anomaly,7509,7513,S(t),5.368159,medium,
anomaly,7510,7513,S(t),4.150705,low,
anomaly,7710,7712,S(t),3.783149,low,
anomaly,7808,7811,S(t),4.904793,medium,
anomaly,7809,7811,S(t),4.397112,medium,
anomaly,7915,7919,S(t),5.790735,medium,
anomaly,7917,7919,S(t),4.874592,medium,
anomaly,8011,8013,S(t),4.561000,medium,
anomaly,8103,8105,S(t),3.794383,low,
anomaly,8414,8417,S(t),5.676255,medium,
anomaly,8612,8614,S(t),4.425601,medium,
anomaly,8709,8712,S(t),5.206035,medium,
anomaly,8910,8912,S(t),4.490880,medium,
anomaly,9115,9119,S(t),5.285051,medium,
anomaly,9116,9119,S(t),4.853517,medium,
anomaly,9203,9205,S(t),4.099195,low,
anomaly,9413,9415,S(t),4.426697,medium,
anomaly,9423,9425,S(t),3.613617,low,
anomaly,9502,9506,S(t),4.906352,medium,
anomaly,9503,9506,S(t),4.403845,medium,
anomaly,9504,9506,S(t),4.026783,low,
anomaly,9611,9613,S(t),5.478810,medium,
anomaly,9705,9707,S(t),4.857222,medium,
anomaly,9717,9719,S(t),5.516449,medium,
anomaly,101,149,A_mean(t),10.730822,high,
anomaly,103,149,A_mean(t),9.391320,high,
anomaly,104,149,A_mean(t),9.150401,high,
anomaly,105,146,A_mean(t),8.624359,high,
anomaly,106,144,A_mean(t),7.237780,medium,
anomaly,107,138,A_mean(t),6.553907,medium,
anomaly,109,118,A_mean(t),4.880008,medium,
anomaly,155,158,A_mean(t),3.087857,low,
anomaly,200,246,A_mean(t),16.321650,high,
anomaly,201,246,A_mean(t),16.522535,high,
anomaly,202,246,A_mean(t),14.820373,high,
anomaly,203,246,A_mean(t),13.312480,high,
anomaly,204,246,A_mean(t),11.441869,high,
anomaly,205,246,A_mean(t),10.271070,high,
anomaly,206,236,A_mean(t),8.841146,high,
anomaly,207,236,A_mean(t),7.980085,medium,
anomaly,208,236,A_mean(t),6.749301,medium,
anomaly,211,216,A_mean(t),3.873728,low,
anomaly,212,216,A_mean(t),3.440083,low,
anomaly,300,349,A_mean(t),15.816935,high,
anomaly,301,350,A_mean(t),15.655716,high,
anomaly,302,350,A_mean(t),13.932909,high,
anomaly,303,349,A_mean(t),12.837657,high,
anomaly,304,348,A_mean(t),11.239830,high,
anomaly,306,347,A_mean(t),9.477259,high,
anomaly,307,346,A_mean(t),8.678712,high,
anomaly,308,340,A_mean(t),7.234560,medium,
anomaly,309,340,A_mean(t),5.936027,medium,
anomaly,313,315,A_mean(t),3.716605,low,
anomaly,403,448,A_mean(t),14.220501,high,
anomaly,404,448,A_mean(t),12.103808,high,
anomaly,405,443,A_mean(t),9.936243,high,
anomaly,406,443,A_mean(t),8.784945,high,
anomaly,407,443,A_mean(t),7.994678,medium,
anomaly,408,443,A_mean(t),7.338702,medium,
anomaly,409,438,A_mean(t),6.629510,medium,
anomaly,410,412,A_mean(t),3.615322,low,
anomaly,501,549,A_mean(t),17.032530,high,
anomaly,502,549,A_mean(t),16.098859,high,
anomaly,504,549,A_mean(t),12.359466,high,
anomaly,505,546,A_mean(t),9.798727,high,
anomaly,506,546,A_mean(t),8.650686,high,
anomaly,507,534,A_mean(t),7.586582,medium,
anomaly,508,534,A_mean(t),6.565743,medium,
anomaly,509,534,A_mean(t),6.036085,medium,
anomaly,510,534,A_mean(t),5.511020,medium,
anomaly,511,534,A_mean(t),4.846659,medium,
anomaly,512,514,A_mean(t),3.370115,low,
anomaly,600,649,A_mean(t),21.246953,high,
anomaly,601,650,A_mean(t),19.909889,high,
anomaly,602,651,A_mean(t),17.451722,high,
anomaly,603,651,A_mean(t),14.807149,high,
anomaly,604,650,A_mean(t),13.033294,high,
anomaly,605,649,A_mean(t),10.873854,high,
anomaly,606,648,A_mean(t),9.114345,high,
anomaly,607,646,A_mean(t),7.594068,medium,
anomaly,608,645,A_mean(t),6.519110,medium,
anomaly,609,643,A_mean(t),5.680963,medium,
anomaly,610,642,A_mean(t),5.067343,medium,
anomaly,611,640,A_mean(t),4.596766,medium,
anomaly,612,639,A_mean(t),4.175196,low,
anomaly,613,637,A_mean(t),3.791083,low,
anomaly,700,749,A_mean(t),19.778495,high,
anomaly,701,750,A_mean(t),19.759678,high,
anomaly,702,750,A_mean(t),17.363949,high,
anomaly,703,749,A_mean(t),14.361588,high,
anomaly,704,748,A_mean(t),11.923735,high,
anomaly,705,748,A_mean(t),9.982507,high,
anomaly,706,746,A_mean(t),8.518783,high,
anomaly,707,745,A_mean(t),7.376217,medium,
anomaly,708,744,A_mean(t),6.449223,medium,
anomaly,709,742,A_mean(t),5.710937,medium,
anomaly,710,741,A_mean(t),5.095512,medium,
anomaly,711,740,A_mean(t),4.593020,medium,
anomaly,712,738,A_mean(t),4.166418,low,
anomaly,713,736,A_mean(t),3.792050,low,
anomaly,800,849,A_mean(t),19.424351,high,
anomaly,801,850,A_mean(t),19.675176,high,
anomaly,802,850,A_mean(t),17.266863,high,
anomaly,803,849,A_mean(t),14.216317,high,
anomaly,804,848,A_mean(t),11.705650,high,
anomaly,805,847,A_mean(t),9.846966,high,
anomaly,806,846,A_mean(t),8.429533,medium,
anomaly,807,845,A_mean(t),7.285388,medium,
anomaly,808,844,A_mean(t),6.394819,medium,
anomaly,809,843,A_mean(t),5.641922,medium,
anomaly,810,841,A_mean(t),5.048259,medium,
anomaly,811,840,A_mean(t),4.528120,medium,
anomaly,812,838,A_mean(t),4.100031,low,
anomaly,813,837,A_mean(t),3.727991,low,
anomaly,900,949,A_mean(t),19.742699,high,
anomaly,901,950,A_mean(t),19.593858,high,
anomaly,902,950,A_mean(t),17.211960,high,
anomaly,903,949,A_mean(t),14.297728,high,
anomaly,904,948,A_mean(t),11.755406,high,
anomaly,905,947,A_mean(t),9.838405,high,
anomaly,906,946,A_mean(t),8.377060,medium,
anomaly,907,945,A_mean(t),7.255161,medium,
anomaly,908,944,A_mean(t),6.346257,medium,
anomaly,909,942,A_mean(t),5.631335,medium,
anomaly,910,941,A_mean(t),5.031588,medium,
anomaly,911,940,A_mean(t),4.521942,medium,
anomaly,912,938,A_mean(t),4.108230,low,
anomaly,913,936,A_mean(t),3.744091,low,
anomaly,1000,1049,A_mean(t),20.126713,high,
anomaly,1001,1050,A_mean(t),20.032859,high,
anomaly,1002,1050,A_mean(t),17.666285,high,
anomaly,1003,1049,A_mean(t),14.471277,high,
anomaly,1004,1048,A_mean(t),11.974003,high,
anomaly,1005,1047,A_mean(t),10.011140,high,
anomaly,1006,1046,A_mean(t),8.519146,high,
anomaly,1007,1045,A_mean(t),7.352803,medium,
anomaly,1008,1044,A_mean(t),6.451931,medium,
anomaly,1009,1043,A_mean(t),5.709457,medium,
anomaly,1010,1041,A_mean(t),5.090268,medium,
anomaly,1011,1040,A_mean(t),4.594349,medium,
anomaly,1012,1038,A_mean(t),4.154343,low,
anomaly,1013,1037,A_mean(t),3.791332,low,
anomaly,1100,1149,A_mean(t),19.802347,high,
anomaly,1101,1150,A_mean(t),19.686627,high,
anomaly,1102,1150,A_mean(t),17.231810,high,
anomaly,1103,1149,A_mean(t),14.271037,high,
anomaly,1104,1148,A_mean(t),11.772615,high,
anomaly,1105,1147,A_mean(t),9.911015,high,
anomaly,1106,1146,A_mean(t),8.438683,medium,
anomaly,1107,1145,A_mean(t),7.308203,medium,
anomaly,1108,1144,A_mean(t),6.395219,medium,
anomaly,1109,1143,A_mean(t),5.682281,medium,
anomaly,1110,1141,A_mean(t),5.072352,medium,
anomaly,1111,1140,A_mean(t),4.562718,medium,
anomaly,1112,1138,A_mean(t),4.132203,low,
anomaly,1113,1137,A_mean(t),3.767338,low,
anomaly,1200,1249,A_mean(t),19.923340,high,
anomaly,1201,1250,A_mean(t),19.898799,high,
anomaly,1202,1250,A_mean(t),17.497136,high,
anomaly,1203,1249,A_mean(t),14.475037,high,
anomaly,1204,1248,A_mean(t),11.917759,high,
anomaly,1205,1247,A_mean(t),9.969653,high,
anomaly,1206,1246,A_mean(t),8.496495,high,
anomaly,1207,1245,A_mean(t),7.352651,medium,
anomaly,1208,1244,A_mean(t),6.450243,medium,
anomaly,1209,1243,A_mean(t),5.715064,medium,
anomaly,1210,1241,A_mean(t),5.109325,medium,
anomaly,1211,1240,A_mean(t),4.601819,medium,
anomaly,1212,1238,A_mean(t),4.164905,low,
anomaly,1300,1349,A_mean(t),19.965056,high,
anomaly,1301,1350,A_mean(t),19.907634,high,
anomaly,1302,1350,A_mean(t),17.344444,high,
anomaly,1303,1349,A_mean(t),14.371401,high,
anomaly,1304,1348,A_mean(t),11.852174,high,
anomaly,1305,1347,A_mean(t),9.923592,high,
anomaly,1306,1346,A_mean(t),8.464042,high,
anomaly,1307,1345,A_mean(t),7.321595,medium,
anomaly,1308,1344,A_mean(t),6.401897,medium,
anomaly,1309,1343,A_mean(t),5.662821,medium,
anomaly,1310,1341,A_mean(t),5.065900,medium,
anomaly,1311,1340,A_mean(t),4.560553,medium,
anomaly,1312,1338,A_mean(t),4.138415,low,
anomaly,1313,1337,A_mean(t),3.765967,low,
anomaly,1400,1449,A_mean(t),19.886250,high,
anomaly,1401,1450,A_mean(t),19.725248,high,
anomaly,1402,1450,A_mean(t),17.485462,high,
anomaly,1403,1449,A_mean(t),14.455852,high,
anomaly,1404,1448,A_mean(t),11.916901,high,
anomaly,1405,1447,A_mean(t),9.968480,high,
anomaly,1406,1446,A_mean(t),8.474339,high,
anomaly,1407,1445,A_mean(t),7.342850,medium,
anomaly,1408,1444,A_mean(t),6.435686,medium,
anomaly,1409,1443,A_mean(t),5.694303,medium,
anomaly,1410,1441,A_mean(t),5.090205,medium,
anomaly,1411,1440,A_mean(t),4.585298,medium,
anomaly,1412,1438,A_mean(t),4.161002,low,
anomaly,1413,1437,A_mean(t),3.792811,low,
anomaly,1500,1549,A_mean(t),19.867788,high,
anomaly,1501,1550,A_mean(t),19.853366,high,
anomaly,1502,1550,A_mean(t),17.418333,high,
anomaly,1503,1549,A_mean(t),14.363507,high,
anomaly,1504,1548,A_mean(t),12.001990,high,
