t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000024,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000,0.100000,0.000457,1.339942
0.100000,0.001370,0.992522,0,0.001263,0,0.000021,0.071695,0.000578,1.342872,0,0.100000,0.488850,0.071695,0,0,1,1,stable,0.488850,0.000000,0.000000,0.120927,0.000578,1.342872
0.200000,0.002972,0.992728,-0.000000,0.001568,0,0.000021,0.082096,0.000723,1.345525,0,0.100000,0.483962,0.082096,0.716953,0,1,1,stable,0.483962,0.000000,0.000000,0.141753,0.000723,1.345525
0.300000,0.004235,0.992063,-0.000000,0.001922,0,0.000022,0.092734,0.000893,1.347639,0.000000,0.100000,0.479122,0.092734,0.104007,0,1,1,stable,0.479122,0.000000,0.000000,0.162379,0.000893,1.347639
0.400000,0.004629,0.990669,-0.000000,0.002328,0,0.000021,0.103802,0.001090,1.348999,0.000126,0.100000,0.474331,0.103802,0.106375,0,1,1,stable,0.474331,0.000000,0.000000,0.182707,0.001090,1.348999
0.500000,0.003989,0.989045,-0.000000,0.002788,0,0.000021,0.115564,0.001318,1.349468,0.000643,0.100000,0.469588,0.115564,0.110682,0,1,1,stable,0.469588,0.000000,0.000000,0.202643,0.001318,1.349468
0.600000,0.002454,0.987842,-0.000000,0.003304,0,0.000021,0.131804,0.001578,1.348999,0.001194,0.100000,0.464892,0.131804,0.117618,0,1,1,stable,0.464892,0.000000,0.000000,0.222096,0.001578,1.348999
0.700000,-0.000037,0.987566,-0.000000,0.003876,0,0.000021,0.152494,0.001873,1.347639,0.001419,0.100000,0.460243,0.152494,0.162401,0,1,1,stable,0.460243,-0.000000,0.000000,0.240981,0.001873,1.347639
0.800000,-0.003893,0.988351,-0.000000,0.004505,0,0.000020,0.173785,0.002205,1.345525,0.001516,0.100000,0.455640,0.173785,0.206900,0,1,1,stable,0.455640,-0.000000,0.000000,0.259218,0.002205,1.345525
0.900000,-0.009011,0.989907,0.000000,0.005191,0,0.000020,0.195352,0.002576,1.342872,0.001737,0.100000,0.451084,0.195352,0.212918,0,1,1,stable,0.451084,-0.000000,0.000000,0.276734,0.002576,1.342872
1,-0.013793,0.991674,0.000000,0.005933,0,0.000021,0.216938,0.002988,1.339942,0.001944,0.462026,0.446573,0.184569,0.215666,0,2.625404,1,stable,0.446573,-0.000000,0.000000,0.293459,0.002988,1.339942
1.100000,-0.015745,0.993071,0.000000,0.006730,0,0.000023,0.238379,0.003443,1.337025,0.002460,0.485781,0.442107,0.195359,0.215862,0,3.543493,1,stable,0.442107,-0.000000,0.000000,0.309334,0.003443,1.337025
1.200000,-0.013643,0.993711,0.000000,0.007580,0,0.000022,0.259608,0.003942,1.334404,0.008303,0.397409,0.437686,0.216890,0.214410,0,3.995174,1,stable,0.437686,-0.000000,0.000000,0.324303,0.003942,1.334404
1.300000,-0.008875,0.993500,0.000000,0.008480,0,0.000021,0.280652,0.004488,1.332330,0.018394,0.281128,0.433310,0.238309,0.212288,0,3.946646,1,stable,0.433310,-0.000000,0.000000,0.338318,0.004488,1.332330
1.400000,-0.003915,0.992622,0.000000,0.009429,0,0.000021,0.301618,0.005081,1.331003,0.021576,0.153518,0.428976,0.259546,0.210438,0,3.828851,1,stable,0.428976,-0.000000,0.000000,0.351335,0.005081,1.331003
1.500000,0.000935,0.991442,0.000000,0.010424,0,0.000021,0.322670,0.005723,1.330546,0.019703,0.120076,0.424687,0.280626,0.209657,0,3.946646,1,stable,0.424687,0.000000,0.000000,0.363320,0.005723,1.330546
1.600000,0.008559,0.990387,0.000000,0.011461,0,0.000021,0.347439,0.006415,1.331003,0.018530,0.179980,0.420440,0.291137,0.210529,0,3.983979,1,stable,0.420440,0.000000,0.000000,0.374240,0.006415,1.331003
1.700000,0.021172,0.989817,-0.000000,0.012538,0,0.000021,0.375788,0.007156,1.332330,0.018689,0.347988,0.416235,0.313095,0.247689,0,3.946646,1,stable,0.416235,0.000000,0.000000,0.384069,0.007156,1.332330
