t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),An_mean(t),fn_mean(t),spacing_gamma_bias,spacing_G_hint,spacing_planning_hint,best_pair_gamma,best_pair_G,best_pair_score,temporal_coherence,autocorr_tau,decorrelation_time,tau_S,tau_gamma,tau_A_mean,tau_f_mean
0,0,1,0,0.001002,0,0.000061,0,0.000457,1.532226,0,1,0.100036,0.493788,0,0,0,1,1,1,stable,0.493788,0,0.117184,0.117184,adaptive,0.100000,0.000457,1.532226,0,0,0,0.117184,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.000867,1.000000,0,0.002055,0,0.000051,3.346824,0.000959,1.535085,0,1,0.100029,0.444228,3.346824,0,0,1,1,1,stable,0.444409,0.000181,0.292420,0.320839,adaptive,0.120927,0.000959,1.535085,0,0,0,0.292420,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.200000,0.002519,0.999999,0,0.003757,0,0.000046,0.593770,0.001826,1.537949,0,1,0.100028,0.399375,0.593770,33.468236,0,1,1,1,stable,0.399998,0.000623,0.311218,0.341512,adaptive,0.141753,0.001826,1.537949,0,0,0,0.311218,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.300000,0.003814,0.999999,-0.000010,0.006291,0,0.000045,0.578159,0.003233,1.540815,0,1,0.100033,0.358915,0.578159,-27.530540,0,1,1,1,stable,0.360099,0.001184,0.318317,0.349368,adaptive,0.162379,0.003233,1.540815,0,0,0,0.318317,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.400000,0.003564,0.999998,-0.000033,0.009762,0,0.000044,2.870444,0.005367,1.543680,0.000702,0.993307,0.100002,0.321570,2.870444,-0.156106,0,1,1,1,stable,0.324281,0.002710,0.562277,0.617261,resonance,0.182707,0.005367,1.543680,0,0,0,0.562277,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.500000,0.004171,0.999997,-0.000077,0.015183,0,0.000086,2.033793,0.008844,1.546540,0.006356,0.993306,0.100001,0.288077,2.033793,22.922848,0,1,1,1,stable,0.292291,0.004214,0.685641,0.752814,tanh,0.202643,0.008844,1.546540,0,0,0,0.685641,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.600000,0.005103,0.999996,-0.000229,0.021130,0,0.000071,1.617424,0.013365,1.549393,0.002226,0.993307,0.100001,0.259399,1.617424,-8.366510,0,1,1,1,stable,0.263744,0.004344,0.665604,0.731002,spiral_log,0.222096,0.013365,1.549393,0,0,0,0.665604,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.700000,0.003147,0.999994,-0.000303,0.025834,3,0.000070,1.915818,0.018550,1.552236,0.001176,0.993307,0.100000,0.234898,1.915818,-4.163692,0,1,1,1,stable,0.238072,0.003174,0.740688,0.813864,adaptive,0.240981,0.018550,1.552236,0,0,0,0.740688,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.800000,-0.004009,0.999992,-0.000076,0.031931,3,0.000068,2.067338,0.025139,1.555070,0.005438,0.993306,0.100009,0.218678,2.067338,2.983945,0,1,1,1,stable,0.214779,-0.003899,0.879988,0.947909,resonance,0.259218,0.025139,1.555070,0,0,0,0.879988,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.900000,-0.014085,0.999991,0.000311,0.032881,1,0.000071,1.469173,0.029165,1.557895,0.040765,0.993299,0.100042,0.202833,1.469173,1.515203,0,1,1,1,stable,0.192670,-0.010164,0.984819,0.997499,resonance,0.276734,0.029165,1.557895,0,0,0,0.984819,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1,-0.008131,0.999989,0.000283,0.041548,1,0.000069,41.931044,0.037594,1.560705,0.030825,0.993301,0.673912,0.171965,3.108634,-5.981654,0,3.818275,1,1,transitoire,0.171758,-0.000206,0.100000,0.109951,adaptive,0.293459,0.037594,1.560705,0,0,0,0.100000,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.100000,0.006723,0.999987,-0.000324,0.061132,3,0.000069,4.969661,0.057005,1.563460,0.009695,0.993305,0.491757,0.150651,16.049437,404.618710,0,3.693359,1,1,transitoire,0.154549,0.003898,0.287473,0.315636,adaptive,0.309334,0.057005,1.563460,0,0,0,0.287473,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.200000,0.003614,0.999985,-0.000099,0.079896,3,0.000069,1.630753,0.075955,1.566242,0.033971,0.993301,0.695556,0.131524,16.749176,-369.613826,0,3.601165,1,1,chronique,0.139725,0.008201,0.307139,0.335988,adaptive,0.324303,0.075955,1.566242,0,0,0,0.307139,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.300000,-0.060639,0.999982,0.000298,0.097550,4,0.000068,2.609451,0.093893,1.568990,0.051312,0.993297,0.679457,0.146492,16.749176,-33.389084,0,3.693359,1,1,transitoire,0.127079,-0.019412,0.461879,0.500801,tanh,0.338318,0.093893,1.568990,0,0,0,0.461879,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.400000,-0.091734,0.999980,0.000863,0.083865,4,0.000070,2.073514,0.081138,1.571630,0.091271,0.993290,0.887788,0.147438,16.749176,9.786980,0,15.503672,1,1,transitoire,0.111231,-0.036208,0.576824,0.629080,spiral_log,0.351335,0.081138,1.571630,0,0,0,0.576824,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.500000,-0.036120,0.999978,0.000210,0.083152,3,0.000068,1.974547,0.081408,1.574254,0.047026,0.993298,0.798757,0.097208,16.749176,-5.359372,0,22.882551,1,1,chronique,0.094249,-0.002959,0.660123,0.719026,adaptive,0.363320,0.081408,1.574254,0,0,0,0.660123,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.600000,-0.007559,0.999976,-0.000399,0.139983,4,0.000067,2.019606,0.131728,1.576938,0.232445,0.993263,0.654417,0.070185,13.279493,-0.989670,0,22.429568,1,1,transitoire,0.084345,0.018396,0.679846,0.718215,resonance,0.374240,0.131728,1.576938,0,0,0,0.679846,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.700000,-0.115329,0.999974,0.000949,0.159478,1,0.000066,2.714095,0.157667,1.579439,0.241513,0.993261,0.680510,0.091751,13.279493,0.450587,0,21.994171,1,1,transitoire,0.078887,0.058951,0.873680,0.905811,resonance,0.384069,0.157667,1.579439,0,0,0,0.873680,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.800000,-0.142636,0.999972,0.000114,0.181895,4,0.000066,2.774271,0.157825,1.581873,1.896766,0.992937,0.804646,0.084428,13.279493,6.944898,0,24.871617,1,1,transitoire,0.080537,0.110341,0.831462,0.830545,resonance,0.392784,0.157825,1.581873,0,0,0,0.831462,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
1.900000,-0.076845,0.999970,-0.002695,0.164251,4,0.000111,3.208428,0.161165,1.584330,0.389149,0.993233,0.714977,0.073679,13.279493,0.601761,0,27.950761,1,1,transitoire,0.090336,0.068436,1,0.954900,resonance,0.400369,0.161165,1.584330,1,1,1,1,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
2,-0.056925,0.999968,-0.003665,0.197260,2,0.000111,10.014659,0.175805,1.586530,1.386662,0.993039,0.622213,0.098055,13.363989,4.341561,0,24.123081,0.740762,1,transitoire,0.092376,-0.005679,0.366661,0.368170,resonance,0.406809,0.175805,1.586530,1,1,1,0.366661,resonance,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.400000,0.500000
2.100000,-0.083598,0.999967,-0.002049,0.142943,3,0.000113,4.035134,0.140768,1.589258,0.353356,0.993240,0.641645,0.094831,12.694123,68.062318,0,21.217481,0.747138,0.987655,transitoire,0.082219,-0.012612,0.419624,0.443829,tanh,0.412092,0.140768,1.589258,1,1,1,0.419624,tanh,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.500000,0.500000
2.200000,-0.160860,0.999965,-0.001293,0.146470,4,0.000071,6.380614,0.138973,1.591777,2.818158,0.992750,0.605687,0.064236,12.859464,-59.795252,0,19.975193,0.754140,0.976723,transitoire,0.071957,0.007721,0.215007,0.226320,adaptive,0.416209,0.138973,1.591777,0,0,0,0.215007,adaptive,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.500000,0.500000
2.300000,-0.103529,0.999964,0.000856,0.181752,4,0.000070,3.740936,0.173914,1.594184,3.793946,0.992547,0.611480,0.101709,13.466223,23.454800,0,21.281338,0.757588,0.967045,transitoire,0.066010,-0.035699,0.476727,0.492287,adaptive,0.419154,0.173914,1.594184,0,0,0,0.476727,adaptive,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.600000,0.600000
2.400000,-0.128245,0.999963,0.001606,0.147286,4,0.000070,2.002898,0.143173,1.596315,1.930164,0.992930,0.535107,0.104003,13.466223,-26.396785,0,20.505132,0.763357,0.958318,transitoire,0.053633,-0.050370,0.570113,0.603684,resonance,0.420923,0.143173,1.596315,0,0,0,0.570113,resonance,0,0.841532,0.200000,0.200000,0.200000,0.200000,0.600000,0.600000
2.500000,-0.092917,0.999963,0.000751,0.165018,2,0.000081,2.543194,0.151540,1.598321,1.282315,0.993059,0.600678,0.053151,13.466223,-17.380380,0,19.783556,0.768348,0.950519,transitoire,0.040120,0.037059,0.594369,0.628132,tanh,0.421513,0.151540,1.598321,0,0,0,0.594369,tanh,0,0.841532,0.600000,0.600000,0.600000,0.200000,0.600000,0.600000
