t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000026,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.100000,0.100000,0.100000,0.000457,1.339942
0.100000,0.001825,0.992522,0,0.001655,0,0.000021,0.287674,0.000765,1.342872,0,0.100000,0.469061,0.287674,0,0,1,1,stable,0.469099,0.000038,0.102513,0.102513,0.120927,0.000765,1.342872
0.200000,0.005016,0.992728,-0.000000,0.002573,0,0.000021,0.354480,0.001215,1.345525,0,0.100000,0.445540,0.354480,2.876736,0,1,1,stable,0.445647,0.000106,0.105024,0.105024,0.141753,0.001215,1.345525
0.300000,0.008411,0.992063,-0.000002,0.003797,0,0.000021,0.439327,0.001845,1.347639,0.000000,0.100000,0.423191,0.439327,0.668067,0,1,1,stable,0.423373,0.000182,0.107533,0.107533,0.162379,0.001845,1.347639
0.400000,0.009830,0.990669,-0.000006,0.005351,0,0.000021,0.543806,0.002695,1.348999,0.000620,0.100000,0.402002,0.543806,0.848468,0,1,1,stable,0.402219,0.000218,0.110036,0.110036,0.182707,0.002695,1.348999
0.500000,0.008525,0.989045,-0.000011,0.007234,0,0.000021,0.667071,0.003804,1.349468,0.005587,0.100000,0.381933,0.667071,1.044789,0,1,1,stable,0.382126,0.000193,0.112533,0.112533,0.202643,0.003804,1.349468
0.600000,0.006452,0.987842,-0.000016,0.009422,0,0.000020,0.812975,0.005210,1.348999,0.011510,0.100000,0.362886,0.812975,1.232653,0,1,1,stable,0.363035,0.000149,0.115023,0.115023,0.222096,0.005210,1.348999
0.700000,0.003710,0.987566,-0.000017,0.011896,0,0.000020,0.989553,0.006968,1.347639,0.010118,0.100000,0.344807,0.989553,1.459041,0,1,1,stable,0.344895,0.000088,0.117502,0.117502,0.240981,0.006968,1.347639
0.800000,-0.005716,0.988351,-0.000008,0.014671,0,0.000020,1.202033,0.009150,1.345525,0.009130,0.100000,0.327795,1.202033,1.765775,0,1,1,stable,0.327658,-0.000137,0.119971,0.119971,0.259218,0.009150,1.345525
0.900000,-0.026884,0.989907,0.000013,0.017772,0,0.000020,1.233606,0.011802,1.342872,0.022268,0.100000,0.311926,1.233606,2.124804,0,1,1,stable,0.311264,-0.000662,0.122427,0.122427,0.276734,0.011802,1.342872
1,-0.050508,0.991674,0.000031,0.021197,3,0.000021,1.158698,0.014939,1.339942,0.081550,0.656746,0.296918,1.217819,0.315723,0,4.418864,1,stable,0.295647,-0.001271,0.124869,0.124869,0.293459,0.014939,1.339942
1.100000,-0.057481,0.993071,0.000028,0.025097,3,0.000023,1.116651,0.018723,1.337025,0.073534,0.664403,0.282237,1.198112,-0.749078,0,7.828341,1,stable,0.280762,-0.001475,0.127295,0.127295,0.309334,0.018723,1.337025
1.200000,-0.037315,0.993711,0.000014,0.029894,3,0.000022,1.117623,0.023492,1.334404,0.207879,0.519344,0.267580,1.198112,-0.420473,0,7.734524,1,stable,0.266605,-0.000976,0.129704,0.129704,0.324303,0.023492,1.334404
1.300000,-0.006794,0.993500,0.000025,0.035900,3,0.000021,1.110576,0.029455,1.332332,0.600788,0.352120,0.253381,1.198112,0.009723,0,6.833595,1,stable,0.253195,-0.000185,0.132094,0.132094,0.338318,0.029455,1.332332
1.400000,-0.015975,0.992622,0.000093,0.042767,3,0.000021,1.044136,0.036374,1.331006,0.602693,0.324417,0.240960,1.198112,-0.070464,0,7.560357,1,stable,0.240521,-0.000439,0.134464,0.134464,0.351335,0.036374,1.331006
1.500000,-0.067344,0.991442,0.000182,0.049382,1,0.000021,0.899558,0.043427,1.330549,0.942121,0.388193,0.230326,1.198112,-0.664409,0,6.833595,1,stable,0.228459,-0.001867,0.136812,0.136812,0.363320,0.043427,1.330549
1.600000,-0.041411,0.990387,0.000155,0.055704,1,0.000024,0.781653,0.050454,1.331001,1.674187,0.634631,0.218066,1.177990,-1.445775,0,7.952314,1,stable,0.216885,-0.001181,0.139137,0.139137,0.374240,0.050454,1.331001
1.700000,0.117315,0.989817,-0.000058,0.064028,1,0.000021,0.842940,0.059451,1.332322,2.253280,0.551926,0.202625,1.177990,-1.179048,0,7.899163,1,stable,0.205945,0.003321,0.141438,0.141438,0.384069,0.059451,1.332322
1.800000,0.265307,0.989924,-0.000259,0.075664,1,0.000024,0.942810,0.071730,1.334394,8.421866,0.845503,0.188273,1.177990,0.612863,0,12.782536,1,stable,0.195917,0.007644,0.143712,0.143712,0.392784,0.071730,1.334394
1.900000,0.209380,0.990647,-0.000261,0.087913,3,0.000021,0.837821,0.084409,1.337017,6.330310,0.843355,0.180629,1.177990,0.998708,0,26.989515,1,stable,0.186739,0.006111,0.145958,0.145958,0.400369,0.084409,1.337017
2,0.055433,0.991674,-0.000144,0.095600,3,0.000021,0.518056,0.092399,1.339926,16.803546,0.675083,0.176280,1.177990,-1.049893,0,20.562570,1,stable,0.177897,0.001617,0.148175,0.148175,0.406809,0.092399,1.339926
2.100000,-0.031744,0.992522,-0.000103,0.100092,2,0.000021,0.388775,0.098233,1.342860,19.231458,0.639202,0.170125,1.165722,-3.197655,0,16.607797,1,stable,0.169133,-0.000992,0.150362,0.150362,0.412092,0.098233,1.342860
2.200000,-0.072791,0.992728,-0.000014,0.107259,4,0.000021,0.616340,0.106744,1.345536,17.011057,0.643213,0.162871,1.165722,-1.292803,0,12.380499,1,stable,0.160596,-0.002275,0.152517,0.152517,0.416209,0.106744,1.345536
2.300000,-0.135774,0.992063,0.000149,0.117078,4,0.000021,0.501290,0.116530,1.347657,16.936458,0.653401,0.156630,1.165722,2.275644,0,9.868581,1,stable,0.152382,-0.004248,0.154639,0.154639,0.419154,0.116530,1.347657
2.400000,0.094898,0.990669,0.000154,0.125732,1,0.000021,0.614789,0.124392,1.348992,15.822663,0.651749,0.141474,1.165722,-1.150491,0,9.050545,1,stable,0.144419,0.002945,0.156727,0.156727,0.420923,0.124392,1.348992
2.500000,0.387438,0.989045,-0.000169,0.141943,1,0.000020,0.606864,0.139468,1.349476,32.561753,0.748893,0.125138,1.165722,1.134988,0,8.357747,1,stable,0.137436,0.012298,0.158779,0.158779,0.421513,0.139468,1.349476
2.600000,0.231026,0.987842,-0.000036,0.158322,4,0.000021,0.570008,0.155164,1.349055,29.366062,0.796764,0.124136,1.156531,-0.079252,0,11.220471,1,stable,0.131559,0.007424,0.160793,0.160793,0.420923,0.155164,1.349055
2.700000,-0.303134,0.987566,0.000345,0.160487,4,0.000020,0.231870,0.157431,1.347673,59.093955,0.674682,0.135552,1.156531,-0.368565,0,10.382823,1,stable,0.125582,-0.009970,0.162769,0.162769,0.419154,0.157431,1.347673
2.800000,-0.426874,0.988351,0.000168,0.150002,4,0.000020,0.485944,0.147926,1.345480,97.294648,0.806799,0.132684,1.156531,-3.381375,0,9.842698,1,stable,0.118496,-0.014188,0.164706,0.164706,0.416209,0.147926,1.345480
2.900000,-0.170516,0.989907,-0.000479,0.151566,4,0.000021,0.326617,0.150167,1.342842,87.596955,0.727286,0.117231,1.156531,2.540742,0,10.308305,1,stable,0.111424,-0.005807,0.166601,0.166601,0.412092,0.150167,1.342842
3,0.076575,0.991674,-0.000240,0.164078,4,0.000021,0.462566,0.161781,1.339994,119.901271,0.677291,0.102930,1.156531,-1.593267,0,9.288096,1,stable,0.105383,0.002453,0.168455,0.168455,0.406809,0.161781,1.339994
3.100000,-0.039227,0.993071,0.000521,0.173327,4,0.000020,0.317941,0.170440,1.337119,107.289713,0.681863,0.101754,1.140475,1.359481,0,8.451641,1,stable,0.100312,-0.001442,0.170265,0.170265,0.400369,0.170440,1.337119
3.200000,-0.127167,0.993711,0.000890,0.171806,4,0.000020,0.407531,0.169546,1.334393,122.392256,0.689596,0.099727,1.140475,-1.446248,0,9.288096,1,stable,0.095180,-0.004547,0.172031,0.172031,0.392784,0.169546,1.334393
3.300000,0.034916,0.993500,0.000120,0.174299,1,0.000020,0.342423,0.171210,1.332206,110.138775,0.709183,0.088922,1.140475,0.895900,0,8.451641,1,stable,0.090053,0.001131,0.173751,0.173751,0.384069,0.171210,1.332206
3.400000,0.242973,0.992622,-0.000751,0.183453,4,0.000020,0.419653,0.179084,1.330855,114.517243,0.706846,0.077161,1.140475,-0.651080,0,9.288096,1,stable,0.085642,0.008481,0.175425,0.175425,0.374240,0.179084,1.330855
3.500000,0.099342,0.991442,-0.000888,0.191014,4,0.000022,0.269750,0.185761,1.330462,109.954208,0.741567,0.078537,1.140475,0.772299,0,8.451641,1,stable,0.082046,0.003509,0.177051,0.177051,0.363320,0.185761,1.330462
3.600000,-0.155396,0.990387,-0.000377,0.188571,4,0.000022,0.345568,0.184080,1.330977,120.775145,0.723654,0.083909,1.121609,-1.499024,0,8.058732,1,stable,0.078227,-0.005682,0.178629,0.178629,0.351335,0.184080,1.330977
3.700000,-0.028187,0.989817,-0.000097,0.181695,4,0.000022,0.456473,0.177321,1.332346,118.046298,0.747911,0.074959,1.121609,0.758182,0,7.700732,1,stable,0.073856,-0.001103,0.180157,0.180157,0.338318,0.177321,1.332346
3.800000,0.186630,0.989924,0.000028,0.186335,4,0.000025,0.283366,0.180990,1.334518,126.157676,0.739508,0.063309,1.121609,1.109046,0,8.058732,1,stable,0.070074,0.006765,0.181634,0.181634,0.324303,0.180990,1.334518
3.900000,0.086646,0.990647,0.000644,0.192291,4,0.000022,0.293935,0.185664,1.337174,120.960583,0.740789,0.063955,1.121609,-1.731069,0,7.700732,1,stable,0.067118,0.003163,0.183060,0.183060,0.309334,0.185664,1.337174
4,-0.020365,0.991674,0.000903,0.189840,4,0.000022,0.247536,0.182899,1.339963,124.459689,0.714891,0.064866,1.121609,0.105689,0,7.561073,1,stable,0.064018,-0.000848,0.184433,0.184433,0.293459,0.182899,1.339963
4.100000,0.319645,0.992522,-0.000056,0.183370,4,0.000021,0.264117,0.176757,1.342761,117.275480,0.726479,0.048842,1.101743,-0.463994,0,7.700732,1,stable,0.060748,0.011906,0.185753,0.185753,0.276734,0.176757,1.342761
4.200000,0.511927,0.992728,-0.001076,0.185287,4,0.000022,0.247890,0.179100,1.345497,135.602689,0.775153,0.039496,1.101743,0.165818,0,7.561073,1,stable,0.058674,0.019178,0.187018,0.187018,0.259218,0.179100,1.345497
4.300000,0.039012,0.992063,-0.000367,0.182631,2,0.000021,0.207927,0.176795,1.347741,119.936585,0.747423,0.055832,1.101743,-0.162274,0,8.906074,1,stable,0.057292,0.001460,0.188229,0.188229,0.240981,0.176795,1.347741
