t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000001,0.991674,0,0.001002,0,0.000031,0,0.000457,1.339942,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.100000,0.100000,0.100000,0.000457,1.339942
0.100000,0.000430,0.992522,0,0.001523,0,0.000025,2.460748,0.000702,1.342872,0,1,0.100000,0.469036,2.460748,0,0,1,1,1,stable,0.469099,0.000063,0.187076,0.187076,0.120927,0.000702,1.342872
0.200000,0.001045,0.992728,-0.000000,0.002232,0,0.000024,2.155535,0.001045,1.345525,0,1,0.100000,0.445380,2.155535,24.607481,0,1,1,1,stable,0.445649,0.000269,0.309128,0.309128,0.141753,0.001045,1.345525
0.300000,0.001573,0.992063,-0.000003,0.003191,0,0.000024,2.135902,0.001523,1.347639,0.000000,0.993307,0.100000,0.422681,2.135902,-3.052134,0,1,1,1,stable,0.423388,0.000708,0.496809,0.496809,0.162379,0.001523,1.347639
0.400000,0.001703,0.990669,-0.000014,0.004501,0,0.000023,0.696065,0.002197,1.348999,0.000029,0.993307,0.100000,0.401475,0.696065,-0.196327,0,1,1,1,stable,0.402276,0.000802,0.463942,0.463942,0.182707,0.002197,1.348999
0.500000,0.001370,0.989045,-0.000042,0.005963,0,0.000050,1.722368,0.002995,1.349468,0.000171,0.993307,0.100000,0.381248,1.722368,-14.398368,0,1,1,1,stable,0.382227,0.000979,0.630600,0.630600,0.202643,0.002995,1.349468
0.600000,0.001042,0.987842,-0.000056,0.007760,0,0.000047,1.219370,0.004024,1.348999,0.000305,0.993307,0.100000,0.362369,1.219370,10.263026,0,1,1,1,stable,0.363195,0.000826,0.733838,0.733838,0.222096,0.004024,1.348999
0.700000,0.000604,0.987566,-0.000078,0.009402,0,0.000046,0.837935,0.005115,1.347639,0.000264,0.993307,0.100000,0.344802,0.837935,-5.029975,0,1,1,1,stable,0.345102,0.000300,0.778558,0.778558,0.240981,0.005115,1.347639
0.800000,-0.000707,0.988351,-0.000044,0.010727,3,0.000045,1.358235,0.006249,1.345525,0.000225,0.993307,0.100000,0.328898,1.358235,-3.814350,0,1,1,1,stable,0.327871,-0.001027,0.923176,0.923176,0.259218,0.006249,1.345525
0.900000,-0.003582,0.989907,0.000054,0.011816,3,0.000044,0.977969,0.007417,1.342872,0.000374,0.993307,0.100000,0.315312,0.977969,5.202996,0,1,1,1,stable,0.311395,-0.003918,1,1,0.276734,0.007417,1.342872
1,-0.006112,0.991674,0.000167,0.012783,3,0.000045,42.208232,0.008482,1.339943,0.001348,0.993307,0.596051,0.296191,2.308141,-3.802660,0,3.433096,1,1,transitoire,0.295508,-0.000683,0.107147,0.107147,0.293459,0.008482,1.339943
1.100000,-0.008692,0.993071,0.000167,0.018750,0,0.000047,2.355675,0.012468,1.337025,0.001140,0.993307,0.594786,0.281806,15.608172,412.302633,0,5.851861,1,1,transitoire,0.280677,-0.001129,0.125944,0.125944,0.309334,0.012468,1.337025
1.200000,-0.005463,0.993711,0.000011,0.021665,3,0.000047,4.134761,0.015217,1.334404,0.001020,0.993307,0.544374,0.268691,15.674885,-398.525569,0,7.199930,1,1,transitoire,0.266552,-0.002139,0.354104,0.354104,0.324303,0.015217,1.334404
1.300000,-0.001305,0.993500,0.000034,0.024250,3,0.000045,0.864827,0.018191,1.332332,0.015100,0.993304,0.364525,0.253459,16.267914,17.790855,0,6.344663,1,1,chronique,0.253051,-0.000408,0.356939,0.356939,0.338318,0.018191,1.332332
1.400000,-0.001827,0.992622,0.000197,0.030200,3,0.000046,2.607578,0.023311,1.331005,0.011968,0.993305,0.321563,0.240986,16.267914,-32.699339,0,6.498119,1,1,transitoire,0.240366,-0.000620,0.510554,0.510554,0.351335,0.023311,1.331005
1.500000,-0.008916,0.991442,0.000303,0.035359,3,0.000045,1.156902,0.028028,1.330549,0.016132,0.993304,0.359815,0.231947,16.316857,17.427508,0,6.344663,1,1,chronique,0.228297,-0.003649,0.544723,0.544723,0.363320,0.028028,1.330549
1.600000,-0.007509,0.990387,0.000348,0.039118,0,0.000044,2.168221,0.031496,1.331000,0.033780,0.993301,0.598474,0.217301,12.852830,-14.506762,0,6.060271,1,1,transitoire,0.216587,-0.000714,0.703796,0.703796,0.374240,0.031496,1.331000
1.700000,0.007165,0.989817,-0.000177,0.048323,0,0.000044,1.795876,0.039105,1.332315,0.034301,0.993301,0.546694,0.188582,12.852830,10.113192,0,5.669973,1,1,chronique,0.205700,0.017118,0.817889,0.817889,0.384069,0.039105,1.332315
1.800000,0.018129,0.989924,-0.000832,0.066164,1,0.000045,2.186885,0.056285,1.334358,0.095901,0.993289,0.699516,0.153478,12.852830,-3.723446,0,5.443516,1,1,transitoire,0.196800,0.043322,0.940764,0.940764,0.392784,0.056285,1.334358
1.900000,0.007556,0.990647,-0.001245,0.092156,1,0.000044,1.856266,0.081584,1.336921,0.069013,0.993294,0.770356,0.145275,12.852830,3.910090,0,10.642673,1,1,chronique,0.190465,0.045190,1,1,0.400369,0.081584,1.336921
2,-0.003693,0.991674,-0.001443,0.104631,3,0.000045,46.501015,0.088501,1.339805,0.192610,0.993270,0.672174,0.182338,12.852830,-3.306192,0,10.269098,0.731244,1,transitoire,0.184597,0.002259,0.100000,0.100000,0.406809,0.088501,1.339805
2.100000,-0.011151,0.992522,-0.000939,0.066977,3,0.000046,5.456133,0.063257,1.342868,0.148969,0.993279,0.718321,0.177130,19.582467,446.447494,0,9.920860,0.732350,0.987202,transitoire,0.175550,-0.001580,0.209580,0.209580,0.412092,0.063257,1.342868
2.200000,-0.018799,0.992728,0.000056,0.069400,4,0.000046,2.724878,0.067832,1.345529,0.142645,0.993280,0.691889,0.172082,20.181544,-410.448827,0,6.702902,0.735196,0.975618,transitoire,0.166645,-0.005437,0.361742,0.361742,0.416209,0.067832,1.345529
2.300000,-0.021926,0.992063,0.000099,0.074401,4,0.000046,1.680914,0.073889,1.347653,0.134836,0.993281,0.671264,0.167264,20.205004,-27.312546,0,5.248207,0.735279,0.965165,chronique,0.157873,-0.009391,0.440974,0.440974,0.419154,0.073889,1.347653
2.400000,-0.000784,0.990669,0.000195,0.082538,4,0.000046,2.510064,0.080647,1.348989,0.135802,0.993281,0.626166,0.140685,20.205004,-10.439639,0,6.028109,0.735910,0.955586,transitoire,0.149219,0.008535,0.575351,0.575351,0.420923,0.080647,1.348989
2.500000,-0.004859,0.989045,-0.000279,0.116899,1,0.000044,1.500751,0.110047,1.349499,0.271661,0.993255,0.649824,0.103890,20.205004,8.291494,0,6.121418,0.734276,0.946799,chronique,0.142449,0.038559,0.565463,0.565463,0.421513,0.110047,1.349499
