t,S(t),gamma,gamma_mean(t),An_mean(t),effort(t)
0,0,0.100000,0.100000,0.165069,0
0.100000,0.318316,0.100000,0.100000,0.165069,0
0.200000,0.449027,0.100000,0.100000,0.165069,0.000077
0.300000,0.326046,0.100000,0.100000,0.165069,0.000031
0.400000,0.072041,0.100000,0.100000,0.165069,0.000039
0.500000,-0.135827,0.117680,0.117680,0.165069,0.450823
0.600000,-0.196483,0.137060,0.137060,0.165069,0.424332
0.700000,-0.115490,0.154287,0.154287,0.165069,0.335101
0.800000,-0.017553,0.169090,0.169090,0.165069,0.262684
0.900000,-0.020254,0.181240,0.181240,0.165069,0.201245
1,-0.107609,0.190547,0.190547,0.165069,0.146830
1.100000,-0.158458,0.196867,0.196867,0.165069,0.096683
1.200000,-0.083052,0.200106,0.200106,0.165069,0.048827
1.300000,0.107012,0.200216,0.200216,0.165069,0.001696
1.400000,0.299875,0.197203,0.197203,0.165069,0.046083
1.500000,0.334070,0.191122,0.191122,0.165069,0.095921
1.600000,0.154264,0.182078,0.182078,0.165069,0.149530
1.700000,-0.125107,0.170224,0.170224,0.165069,0.209265
1.800000,-0.307684,0.155761,0.155761,0.165069,0.278619
1.900000,-0.279015,0.138935,0.138935,0.165069,0.363570
2,-0.066727,0.120030,0.120030,0.165069,0.472923
2.100000,0.168685,0.100000,0.100000,0.165069,0.601300
2.200000,0.247215,0.100000,0.100000,0.165069,0.000249
2.300000,0.121685,0.100000,0.100000,0.165069,0.000146
2.400000,-0.092291,0.100000,0.100000,0.165069,0.000039
2.500000,-0.218032,0.100000,0.100000,0.165069,0.000214
2.600000,-0.164491,0.100000,0.100000,0.165069,0.000320
2.700000,0.022577,0.100000,0.100000,0.165069,0.000320
2.800000,0.183897,0.100000,0.100000,0.165069,0.000214
2.900000,0.194264,0.100000,0.100000,0.165069,0.000039
3,0.065975,0.100000,0.100000,0.165069,0.000146
3.100000,-0.073287,0.100000,0.100000,0.165069,0.000279
3.200000,-0.104599,0.100000,0.100000,0.165069,0.000315
3.300000,-0.012277,0.100000,0.100000,0.165069,0.000247
3.400000,0.107974,0.100000,0.100000,0.165069,0.000102
3.500000,0.114727,0.100000,0.100000,0.165069,0.000069
3.600000,-0.036476,0.100000,0.100000,0.165069,0.000207
3.700000,-0.244098,0.100000,0.100000,0.165069,0.000266
3.800000,-0.328030,0.100000,0.100000,0.165069,0.000233
3.900000,-0.189649,0.100000,0.100000,0.165069,0.000125
4,0.112201,0.100000,0.100000,0.165069,0.000013
4.100000,0.386874,0.100000,0.100000,0.165069,0.000132
4.200000,0.449148,0.100000,0.100000,0.165069,0.000191
4.300000,0.259984,0.100000,0.100000,0.165069,0.000176
4.400000,-0.053201,0.100000,0.100000,0.165069,0.000102
4.500000,-0.289147,0.151384,0.151384,0.165069,1.018291
4.600000,-0.327503,0.213675,0.213675,0.165069,0.874565
4.700000,-0.192514,0.280719,0.280719,0.165069,0.716651
4.800000,-0.030766,0.351574,0.351574,0.165069,0.604873
4.900000,0.033018,0.425099,0.425099,0.165069,0.519064
5,-0.002547,0.500000,0.500000,0.165069,0.449457
5.100000,-0.033172,0.574901,0.574901,0.165069,0.391182
5.200000,0.032434,0.648426,0.648426,0.165069,0.340614
5.300000,0.187631,0.719281,0.719281,0.165069,0.295787
5.400000,0.323964,0.786325,0.786325,0.165069,0.255989
5.500000,0.291186,0.848616,0.848616,0.165069,0.220941
5.600000,0.046543,0.905434,0.905434,0.165069,0.189285
5.700000,-0.275524,0.956287,0.956287,0.165069,0.160358
5.800000,-0.451862,1,1,0.165069,0.131242
5.900000,-0.377586,1,1,0.165069,0.000915
6,-0.114238,1,1,0.165069,0.001763
6.100000,0.178676,1,1,0.165069,0.001911
6.200000,0.338629,1,1,0.165069,0.001317
6.300000,0.279715,1,1,0.165069,0.000129
6.400000,0.060199,1,1,0.165069,0.001256
6.500000,-0.112283,1,1,0.165069,0.002328
6.600000,-0.088559,1,1,0.165069,0.002658
6.700000,0.053896,1,1,0.165069,0.002064
6.800000,0.118124,1,1,0.165069,0.000693
6.900000,0.046379,1,1,0.165069,0.001014
7,-0.085989,1,1,0.165069,0.002472
7.100000,-0.183718,1,1,0.165069,0.003156
7.200000,-0.189347,1,1,0.165069,0.002792
7.300000,-0.077563,1,1,0.165069,0.001467
7.400000,0.113307,1,1,0.165069,0.000388
7.500000,0.219678,0.993307,0.993307,0.165069,0.022359
7.600000,0.096478,0.969447,0.969447,0.165069,0.077039
7.700000,-0.152582,0.945766,0.945766,0.165069,0.078220
7.800000,-0.253880,0.922691,0.922691,0.165069,0.076973
7.900000,-0.122660,0.900631,0.900631,0.165069,0.073716
