t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000023,0,0.000457,1.339942,0,0.100000,0.493789,0,0,0,1,1,stable,0.493788,-0.000000,0.383442,0.100000,0.000457,1.339942
0.100000,0.002186,0.992522,0,0.001957,0,0.000021,0.257600,0.000912,1.342872,0,0.100000,0.468929,0.257600,0,0,1,1,stable,0.469099,0.000170,0.384923,0.120927,0.000912,1.342872
0.200000,0.006840,0.992728,-0.000000,0.003431,0,0.000021,0.400389,0.001654,1.345525,0,0.100000,0.445123,0.400389,2.576001,0,1,1,stable,0.445658,0.000534,0.386427,0.141753,0.001654,1.345525
0.300000,0.012250,0.992063,-0.000009,0.005518,0,0.000021,0.593527,0.002786,1.347639,0.000000,0.100000,0.422460,0.593527,1.427885,0,1,1,stable,0.423418,0.000958,0.387953,0.162379,0.002786,1.347639
0.400000,0.014023,0.990669,-0.000027,0.008246,0,0.000021,0.833422,0.004403,1.348999,0.001544,0.100000,0.401227,0.833422,1.931380,0,1,1,stable,0.402325,0.001097,0.389503,0.182707,0.004403,1.348999
0.500000,0.011084,0.989045,-0.000056,0.011485,0,0.000021,1.087917,0.006535,1.349468,0.018808,0.100000,0.381430,1.087917,2.398953,0,1,1,stable,0.382297,0.000867,0.391076,0.202643,0.006535,1.349468
0.600000,0.008564,0.987842,-0.000091,0.014993,0,0.000022,1.350019,0.009191,1.348999,0.037070,0.100000,0.362579,1.350019,2.544955,0,1,1,stable,0.363252,0.000673,0.392672,0.222096,0.009191,1.348999
0.700000,0.008068,0.987566,-0.000099,0.018758,3,0.000022,1.364739,0.012553,1.347638,0.028749,0.100000,0.344504,1.364739,2.621020,0,1,1,stable,0.345144,0.000640,0.394292,0.240981,0.012553,1.347638
0.800000,0.000240,0.988351,-0.000030,0.023182,3,0.000022,1.318106,0.016915,1.345525,0.029497,0.100000,0.327913,1.318106,0.147201,0,1,1,stable,0.327939,0.000025,0.395936,0.259218,0.016915,1.345525
0.900000,-0.027698,0.989907,0.000098,0.028147,3,0.000022,1.202571,0.022093,1.342873,0.035051,0.100000,0.313750,1.202571,-0.466338,0,1,1,stable,0.311544,-0.002206,0.397604,0.276734,0.022093,1.342873
