event_type,t_start,t_end,metric,value,severity,scale
fractal_pattern,500,600,S(t),0.815944,medium,10/100
fractal_pattern,1050,1150,S(t),0.717819,medium,10/100
fractal_pattern,2050,2150,S(t),0.710353,medium,10/100
fractal_pattern,300,400,C(t),0.687234,medium,10/100
fractal_pattern,400,500,C(t),0.751736,medium,10/100
fractal_pattern,600,700,C(t),0.753429,medium,10/100
fractal_pattern,650,750,C(t),0.674385,medium,10/100
fractal_pattern,700,800,C(t),0.847274,medium,10/100
fractal_pattern,750,850,C(t),0.840817,medium,10/100
fractal_pattern,2350,2450,C(t),0.715771,medium,10/100
fractal_pattern,2450,2550,C(t),0.643734,medium,10/100
fractal_pattern,2900,3000,C(t),0.712578,medium,10/100
fractal_pattern,2950,3050,C(t),0.914331,high,10/100
fractal_pattern,3400,3500,C(t),0.668090,medium,10/100
fractal_pattern,3500,3600,C(t),0.726223,medium,10/100
fractal_pattern,3850,3950,C(t),0.826756,medium,10/100
fractal_pattern,4300,4400,C(t),0.775298,medium,10/100
fractal_pattern,4400,4500,C(t),0.690939,medium,10/100
fractal_pattern,200,300,A_mean(t),0.661198,medium,10/100
fractal_pattern,300,400,A_mean(t),0.813731,medium,10/100
fractal_pattern,550,650,A_mean(t),0.735166,medium,10/100
fractal_pattern,700,800,A_mean(t),0.704499,medium,10/100
fractal_pattern,800,900,A_mean(t),0.665801,medium,10/100
fractal_pattern,900,1000,A_mean(t),0.676911,medium,10/100
fractal_pattern,1000,1100,A_mean(t),0.661275,medium,10/100
fractal_pattern,1100,1200,A_mean(t),0.661480,medium,10/100
fractal_pattern,1200,1300,A_mean(t),0.658638,medium,10/100
fractal_pattern,1300,1400,A_mean(t),0.664184,medium,10/100
fractal_pattern,1400,1500,A_mean(t),0.662831,medium,10/100
fractal_pattern,1500,1600,A_mean(t),0.710428,medium,10/100
fractal_pattern,1600,1700,A_mean(t),0.661010,medium,10/100
fractal_pattern,1700,1800,A_mean(t),0.661798,medium,10/100
fractal_pattern,1800,1900,A_mean(t),0.667918,medium,10/100
fractal_pattern,1900,2000,A_mean(t),0.668010,medium,10/100
fractal_pattern,2000,2100,A_mean(t),0.665508,medium,10/100
fractal_pattern,2100,2200,A_mean(t),0.665826,medium,10/100
fractal_pattern,2200,2300,A_mean(t),0.669586,medium,10/100
fractal_pattern,2300,2400,A_mean(t),0.666807,medium,10/100
fractal_pattern,2400,2500,A_mean(t),0.664341,medium,10/100
fractal_pattern,2500,2600,A_mean(t),0.666934,medium,10/100
fractal_pattern,2600,2700,A_mean(t),0.661792,medium,10/100
fractal_pattern,2700,2800,A_mean(t),0.663070,medium,10/100
fractal_pattern,2800,2900,A_mean(t),0.665398,medium,10/100
fractal_pattern,2900,3000,A_mean(t),0.666529,medium,10/100
fractal_pattern,3000,3100,A_mean(t),0.660783,medium,10/100
fractal_pattern,3100,3200,A_mean(t),0.664294,medium,10/100
fractal_pattern,3200,3300,A_mean(t),0.665795,medium,10/100
fractal_pattern,3300,3400,A_mean(t),0.665075,medium,10/100
fractal_pattern,3400,3500,A_mean(t),0.687117,medium,10/100
fractal_pattern,3500,3600,A_mean(t),0.665059,medium,10/100
fractal_pattern,3600,3700,A_mean(t),0.670381,medium,10/100
fractal_pattern,3700,3800,A_mean(t),0.697935,medium,10/100
fractal_pattern,3800,3900,A_mean(t),0.676395,medium,10/100
fractal_pattern,3900,4000,A_mean(t),0.666875,medium,10/100
fractal_pattern,3950,4050,A_mean(t),0.643748,medium,10/100
fractal_pattern,4000,4100,A_mean(t),0.658233,medium,10/100
fractal_pattern,4050,4150,A_mean(t),0.664893,medium,10/100
fractal_pattern,4100,4200,A_mean(t),0.675053,medium,10/100
fractal_pattern,4200,4300,A_mean(t),0.650717,medium,10/100
fractal_pattern,4300,4400,A_mean(t),0.673905,medium,10/100
fractal_pattern,4400,4500,A_mean(t),0.663668,medium,10/100
fractal_pattern,4450,4550,A_mean(t),0.671719,medium,10/100
fractal_pattern,4500,4600,A_mean(t),0.643671,medium,10/100
fractal_pattern,4800,4900,A_mean(t),0.677813,medium,10/100
fractal_pattern,150,250,f_mean(t),0.916902,high,10/100
fractal_pattern,250,350,f_mean(t),0.921895,high,10/100
fractal_pattern,350,450,f_mean(t),0.917899,high,10/100
fractal_pattern,450,550,f_mean(t),0.930281,high,10/100
fractal_pattern,550,650,f_mean(t),0.932569,high,10/100
fractal_pattern,650,750,f_mean(t),0.897379,medium,10/100
fractal_pattern,750,850,f_mean(t),0.919949,high,10/100
fractal_pattern,850,950,f_mean(t),0.920799,high,10/100
fractal_pattern,950,1050,f_mean(t),0.926159,high,10/100
fractal_pattern,1050,1150,f_mean(t),0.923652,high,10/100
fractal_pattern,1150,1250,f_mean(t),0.921497,high,10/100
fractal_pattern,1250,1350,f_mean(t),0.925976,high,10/100
fractal_pattern,1350,1450,f_mean(t),0.919990,high,10/100
fractal_pattern,1450,1550,f_mean(t),0.925058,high,10/100
fractal_pattern,1550,1650,f_mean(t),0.927911,high,10/100
fractal_pattern,1650,1750,f_mean(t),0.928265,high,10/100
fractal_pattern,1750,1850,f_mean(t),0.918220,high,10/100
fractal_pattern,1850,1950,f_mean(t),0.932534,high,10/100
fractal_pattern,1950,2050,f_mean(t),0.924156,high,10/100
fractal_pattern,2050,2150,f_mean(t),0.930116,high,10/100
