t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.100000,0.268941,-0.146848,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.100000,0.500000,-0.268271,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.100000,0.700000,-0.367042,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.100000,0.400000,-0.216518,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.100000,0.600000,-0.318521,adaptive
1.000,-0.008133,1.648902,0.293459,0.047743,0.092540,-0.005409,0.040172,0.700000,0.117689,0.097949,-0.052373,adaptive,0.293459,0.065446,0.176029,0.008157,0.045797,1.227164,0.125229,0.167872,-0.089266,adaptive,0.293459,0.014198,0.244493,0.001522,0.043663,1.211723,0.109289,0.242971,-0.128339,adaptive,0.293459,0.034727,0.135758,-0.002311,0.036640,1.899004,0.118225,0.138069,-0.073597,adaptive,0.293459,0.025935,0.210233,-0.003049,0.034437,2.765636,0.118611,0.213282,-0.112965,adaptive
2.000,-0.056890,1.676779,0.406809,0.121003,0.077298,0.020729,0.076412,0.700000,0.326725,0.056570,-0.056959,resonance,0.406809,0.240609,0.110203,0.007009,0.085639,1.236866,0.367191,0.103194,-0.069544,tanh,0.406809,0.253974,0.140071,0.008750,0.082222,1.236127,0.374589,0.131321,-0.067957,spiral_log,0.406809,0.032875,0.046607,-0.007739,0.070282,1.936410,0.353453,0.054346,-0.033003,adaptive,0.406809,0.191700,0.087983,-0.055977,0.066347,2.823465,0.349378,0.143959,-0.142569,resonance
3.000,-0.042345,1.698902,0.406809,0.117531,0.005855,0.011480,0.105172,0.700000,0.145907,-0.005626,0.002935,adaptive,0.406809,0.050237,0.049965,-0.007787,0.114357,1.244493,0.155008,0.057752,-0.029777,adaptive,0.406809,0.083791,0.065892,-0.013248,0.111175,1.257091,0.162969,0.079140,-0.040639,adaptive,0.406809,0.039430,0.012258,-0.002964,0.098177,1.968105,0.155910,0.015221,-0.007911,adaptive,0.406809,0.043769,0.038390,-0.004221,0.093395,2.871808,0.132073,0.042611,-0.022032,adaptive
4.000,-0.046540,1.713106,0.293459,0.087340,-0.019428,-0.010708,0.123637,0.700000,0.135369,-0.008720,0.004376,adaptive,0.293459,0.143923,-0.003876,0.002568,0.128250,1.249760,0.146367,-0.006444,0.003232,adaptive,0.293459,0.246227,0.005995,0.022274,0.127150,1.270320,0.151921,-0.016279,0.008185,adaptive,0.293459,0.076663,-0.014319,-0.001881,0.118053,1.988457,0.143312,-0.012438,0.006248,adaptive,0.293459,0.052709,0.027178,-0.004662,0.113617,2.903218,0.120657,0.031840,-0.015813,adaptive
5.000,-0.025984,1.718000,0.100000,0.083377,0.023018,-0.010354,0.130000,0.700000,0.957993,0.033372,-0.049991,resonance,0.100000,0.078096,-0.002199,0.068002,0.125570,1.251386,0.883351,-0.070201,0.104669,resonance,0.100000,0.164908,0.015861,0.102423,0.128300,1.274371,0.991605,-0.086562,0.128661,resonance,0.100000,0.086612,-0.020060,-0.002869,0.128300,1.994861,1.000000,-0.017191,0.025777,resonance,0.100000,0.058065,0.024692,-0.027541,0.125570,2.913586,0.903945,0.052234,-0.078090,resonance
6.000,-0.043405,1.713106,0.001000,0.067375,-0.007787,0.034083,0.123637,0.700000,0.515191,-0.041870,0.047326,resonance,0.001000,0.128683,0.011192,-0.006234,0.106746,1.249482,0.556286,0.017426,-0.005295,spiral_log,0.001000,0.171467,0.015823,-0.079772,0.114520,1.269963,0.610178,0.095594,-0.107273,resonance,0.001000,0.093406,-0.011295,-0.017901,0.128104,1.987957,0.598611,0.006606,-0.012286,resonance,0.001000,0.124942,0.004840,0.027177,0.128433,2.902790,0.565694,-0.022338,0.025280,resonance
7.000,-0.090983,1.698902,0.001000,0.071889,-0.010897,-0.014225,0.105172,0.700000,0.396062,0.003328,-0.001682,adaptive,0.001000,0.126216,0.001808,-0.053681,0.074321,1.244504,0.431339,0.055489,-0.027501,adaptive,0.001000,0.146958,-0.005862,-0.060557,0.087457,1.257156,0.447803,0.054694,-0.038780,tanh,0.001000,0.104334,-0.001413,-0.043151,0.117511,1.967929,0.430067,0.041738,-0.020810,adaptive,0.001000,0.142018,-0.007505,0.045284,0.122073,2.871659,0.462579,-0.052789,0.026390,adaptive
8.000,-0.039776,1.676779,0.001000,0.071753,0.006723,-0.017647,0.076412,0.700000,0.379639,0.024370,-0.017082,tanh,0.001000,0.124758,-0.010168,-0.030550,0.032604,1.236739,0.413415,0.020382,-0.009339,adaptive,0.001000,0.159750,-0.014585,-0.038560,0.050309,1.237070,0.427708,0.023974,-0.010968,adaptive,0.001000,0.104838,0.004982,-0.003733,0.097422,1.937378,0.390548,0.008716,-0.004012,adaptive,0.001000,0.147525,0.007021,-0.039168,0.107041,2.824277,0.412607,0.046189,-0.032368,tanh
9.000,-0.037362,1.648902,0.001000,0.070665,0.002966,0.024172,0.040172,0.700000,0.364731,-0.021207,0.009050,adaptive,0.001000,0.134224,-0.014328,0.013453,-0.012909,1.226888,0.403629,-0.027781,0.011831,adaptive,0.001000,0.162048,-0.016577,-0.038755,0.007448,1.211533,0.425417,0.022178,-0.015526,tanh,0.001000,0.108415,-0.008549,0.025783,0.069514,1.898849,0.402157,-0.034333,0.014592,adaptive,0.001000,0.134076,-0.004078,-0.033822,0.084528,2.765508,0.440770,0.029744,-0.012613,adaptive
