t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000001,0.991674,0,0.001002,0,0.000030,0,0.000457,1.339942,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.117184,0.117184,0.100000,0.000457,1.339942
0.100000,0.000457,0.992522,0,0.001608,0,0.000023,3.150551,0.000743,1.342872,0,1,0.100000,0.468994,3.150551,0,0,1,1,1,stable,0.469099,0.000105,0.292420,0.292420,0.100000,0.000743,1.342872
0.200000,0.001159,0.992728,-0.000000,0.002447,0,0.000022,0.517605,0.001155,1.345525,0,1,0.100000,0.445353,0.517605,31.505505,0,1,1,1,stable,0.445652,0.000300,0.311218,0.311218,0.100000,0.001155,1.345525
0.300000,0.001747,0.992063,-0.000006,0.003548,0,0.000022,0.402363,0.001721,1.347639,0,1,0.100000,0.422889,0.402363,-26.329454,0,1,1,1,stable,0.423394,0.000505,0.318317,0.318317,0.100000,0.001721,1.347639
0.400000,0.001756,0.990669,-0.000016,0.004911,0,0.000022,2.546026,0.002464,1.348999,0.000050,0.993307,0.100000,0.401240,2.546026,-1.152425,0,1,1,1,stable,0.402265,0.001026,0.562277,0.562277,0.100000,0.002464,1.348999
0.500000,0.001361,0.989045,-0.000030,0.006734,0,0.000044,1.418765,0.003499,1.349468,0.000342,0.993307,0.100000,0.381112,1.418765,21.436636,0,1,1,1,stable,0.382235,0.001123,0.685641,0.685641,0.100000,0.003499,1.349468
0.600000,0.001067,0.987842,-0.000075,0.008602,0,0.000043,0.739392,0.004673,1.348999,0.000410,0.993307,0.100000,0.362417,0.739392,-11.272612,0,1,1,1,stable,0.363214,0.000797,0.665604,0.665604,0.100000,0.004673,1.348999
0.700000,0.000863,0.987566,-0.000098,0.010159,0,0.000045,1.123623,0.005897,1.347639,0.000376,0.993307,0.100000,0.344665,1.123623,-6.793726,0,1,1,1,stable,0.345118,0.000453,0.740688,0.740688,0.100000,0.005897,1.347639
0.800000,-0.000289,0.988351,-0.000041,0.011685,3,0.000044,1.525995,0.007350,1.345525,0.000359,0.993307,0.100000,0.328605,1.525995,3.842306,0,1,1,1,stable,0.327898,-0.000707,0.879988,0.879988,0.100000,0.007350,1.345525
0.900000,-0.003419,0.989907,0.000070,0.013107,3,0.000044,1.328100,0.008922,1.342872,0.000471,0.993307,0.100000,0.315313,1.328100,4.023720,0,1,1,1,stable,0.311446,-0.003866,0.984819,0.984819,0.100000,0.008922,1.342872
1,-0.006318,0.991674,0.000185,0.014173,1,0.000043,44.920992,0.010300,1.339943,0.002108,0.993307,0.622354,0.296224,2.848288,-1.978952,0,3.071869,1,1,transitoire,0.295561,-0.000663,0.100000,0.100000,0.100000,0.010300,1.339943
1.100000,-0.009116,0.993071,0.000154,0.019499,0,0.000044,4.687912,0.014371,1.337025,0.001648,0.993307,0.623876,0.283362,16.872523,435.928918,0,5.451970,1,1,transitoire,0.280730,-0.002633,0.287473,0.287473,0.100000,0.014371,1.337025
1.200000,-0.005227,0.993711,0.000004,0.021558,3,0.000044,1.095504,0.016969,1.334405,0.001593,0.993307,0.562145,0.268168,17.586485,-402.330794,0,7.234692,1,1,chronique,0.266480,-0.001688,0.307139,0.307139,0.100000,0.016969,1.334405
1.300000,-0.001489,0.993500,0.000049,0.025852,3,0.000043,2.681869,0.021206,1.332332,0.020291,0.993303,0.382268,0.253369,17.586485,-35.924085,0,6.697163,1,1,transitoire,0.253020,-0.000349,0.461879,0.461879,0.100000,0.021206,1.332332
1.400000,-0.002595,0.992622,0.000159,0.030947,3,0.000044,1.951327,0.026181,1.331008,0.013408,0.993305,0.340186,0.241073,17.586485,15.863653,0,6.396533,1,1,chronique,0.240340,-0.000733,0.576824,0.576824,0.100000,0.026181,1.331008
1.500000,-0.012961,0.991442,0.000460,0.035276,0,0.000043,1.377267,0.030762,1.330552,0.019046,0.993304,0.384607,0.234651,17.586485,-7.305422,0,6.121733,1,1,chronique,0.228264,-0.006387,0.660123,0.660123,0.100000,0.030762,1.330552
1.600000,-0.010628,0.990387,0.000475,0.037209,3,0.000042,1.023660,0.033326,1.330998,0.053003,0.993297,0.678749,0.219244,13.860331,-5.740601,0,8.010737,1,1,chronique,0.216334,-0.002910,0.679846,0.679846,0.100000,0.033326,1.330998
1.700000,0.008461,0.989817,-0.000238,0.043900,1,0.000042,1.961565,0.040127,1.332312,0.060069,0.993296,0.606420,0.189280,13.860331,-3.536072,0,7.419511,1,1,chronique,0.205282,0.016002,0.873680,0.873680,0.100000,0.040127,1.332312
1.800000,0.023105,0.989924,-0.000823,0.058157,1,0.000042,1.572035,0.054379,1.334364,0.160684,0.993277,0.729206,0.161378,13.860331,9.379051,0,7.400734,1,1,chronique,0.196312,0.034934,0.831462,0.831462,0.100000,0.054379,1.334364
