t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.117184,0.268941,-0.149108,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.117184,0.500000,-0.272253,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.117184,0.700000,-0.372235,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.117184,0.400000,-0.219791,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.117184,0.600000,-0.323145,adaptive
1.000,-0.008176,1.648902,0.293459,0.047808,0.092615,-0.005053,0.040172,0.700000,0.109790,0.097668,-0.051911,adaptive,0.293459,0.065778,0.176117,0.007651,0.045797,1.227164,0.116878,0.168466,-0.089040,adaptive,0.293459,0.014351,0.244499,0.001436,0.043663,1.211723,0.102023,0.243063,-0.127619,adaptive,0.293459,0.034888,0.135359,-0.002167,0.036640,1.899004,0.110336,0.137526,-0.072871,adaptive,0.293459,0.026161,0.210212,-0.002871,0.034437,2.765636,0.110729,0.213083,-0.112186,adaptive
2.000,-0.056944,1.676779,0.406809,0.120249,0.076016,0.021450,0.076412,0.700000,0.340211,0.054566,-0.055497,resonance,0.406809,0.252127,0.111019,0.007403,0.085639,1.236975,0.376638,0.103617,-0.070686,tanh,0.406809,0.279489,0.141073,0.010164,0.082222,1.236002,0.388787,0.130909,-0.068536,spiral_log,0.406809,0.034378,0.046931,-0.008477,0.070282,1.936288,0.369619,0.055408,-0.034193,adaptive,0.406809,0.193343,0.086936,-0.058997,0.066347,2.823363,0.365409,0.145932,-0.145857,resonance
3.000,-0.041803,1.698902,0.406809,0.117586,0.005809,0.012046,0.105172,0.700000,0.153022,-0.006237,0.003270,adaptive,0.406809,0.050266,0.048774,-0.008177,0.114357,1.244487,0.162679,0.056951,-0.029516,adaptive,0.406809,0.080314,0.064739,-0.013251,0.111175,1.257084,0.170052,0.077990,-0.040260,adaptive,0.406809,0.042241,0.004559,-0.003345,0.098177,1.968125,0.164360,0.007903,-0.004134,adaptive,0.406809,0.050137,0.044647,-0.005127,0.093395,2.871826,0.139986,0.049774,-0.025831,adaptive
4.000,-0.048121,1.713106,0.293459,0.091040,-0.020455,-0.010584,0.123637,0.700000,0.128367,-0.009871,0.004935,adaptive,0.293459,0.139975,-0.007204,0.002356,0.128250,1.249737,0.138690,-0.009560,0.004779,adaptive,0.293459,0.246513,0.003933,0.021164,0.127150,1.270334,0.144110,-0.017232,0.008631,adaptive,0.293459,0.080800,-0.015267,-0.001875,0.118053,1.988500,0.136419,-0.013391,0.006701,adaptive,0.293459,0.054279,0.029486,-0.004572,0.113617,2.903255,0.114801,0.034058,-0.016836,adaptive
5.000,-0.029124,1.718000,0.100000,0.083372,0.021956,-0.010308,0.130000,0.700000,0.953769,0.032264,-0.048334,resonance,0.100000,0.080618,-0.000228,0.070257,0.125570,1.251374,0.884027,-0.070484,0.105087,resonance,0.100000,0.178222,0.018374,0.111888,0.128300,1.274312,1.000000,-0.093514,0.138781,resonance,0.100000,0.089298,-0.020047,-0.003019,0.128300,1.994840,1.000000,-0.017028,0.025533,resonance,0.100000,0.060180,0.025825,-0.028531,0.125570,2.913567,0.904372,0.054356,-0.081240,resonance
6.000,-0.043624,1.713106,0.001000,0.067369,-0.008267,0.034066,0.123637,0.700000,0.514978,-0.042333,0.033321,tanh,0.001000,0.129129,0.012287,-0.006256,0.106746,1.249479,0.556863,0.018542,-0.005621,spiral_log,0.001000,0.170528,0.018048,-0.079403,0.114520,1.269956,0.610831,0.097451,-0.076583,tanh,0.001000,0.093690,-0.011261,-0.017961,0.128104,1.987956,0.598706,0.006700,-0.012459,resonance,0.001000,0.125750,0.005262,0.027377,0.128433,2.902789,0.566130,-0.022115,0.017412,tanh
7.000,-0.091330,1.698902,0.001000,0.071917,-0.011079,-0.014228,0.105172,0.700000,0.395998,0.003150,-0.001592,adaptive,0.001000,0.126224,0.002257,-0.053700,0.074321,1.244502,0.431470,0.055957,-0.027728,adaptive,0.001000,0.146874,-0.004819,-0.060548,0.087457,1.257155,0.447983,0.055730,-0.027618,adaptive,0.001000,0.104433,-0.001395,-0.043194,0.117511,1.967928,0.430088,0.041799,-0.007786,spiral_log,0.001000,0.142256,-0.007369,0.045370,0.122073,2.871658,0.462700,-0.052739,0.026365,adaptive
8.000,-0.039971,1.676779,0.001000,0.071778,0.006662,-0.017651,0.076412,0.700000,0.379600,0.024313,-0.024848,resonance,0.001000,0.124912,-0.010000,-0.030602,0.032604,1.236736,0.413498,0.020602,-0.002588,spiral_log,0.001000,0.159841,-0.014144,-0.038588,0.050309,1.237072,0.427846,0.024444,-0.024981,resonance,0.001000,0.104931,0.004995,-0.003754,0.097422,1.937387,0.390537,0.008749,-0.018036,resonance,0.001000,0.147750,0.007093,-0.039246,0.107041,2.824284,0.412628,0.046339,-0.047281,resonance
9.000,-0.037535,1.648902,0.001000,0.070715,0.002945,0.024189,0.040172,0.700000,0.364711,-0.021243,0.022513,resonance,0.001000,0.134230,-0.014285,0.013432,-0.012909,1.226881,0.403591,-0.027717,0.061725,resonance,0.001000,0.162286,-0.016418,-0.038836,0.007448,1.211528,0.425508,0.022418,-0.023756,resonance,0.001000,0.108418,-0.008554,0.025774,0.069514,1.898845,0.402104,-0.034328,0.003337,spiral_log,0.001000,0.134731,-0.004048,-0.034006,0.084528,2.765505,0.440908,0.029958,-0.031733,resonance
