t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.100000,0.268941,-0.146848,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.100000,0.500000,-0.268271,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.100000,0.700000,-0.367042,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.100000,0.400000,-0.216518,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.100000,0.600000,-0.318521,adaptive
1.000,-0.008178,1.648902,0.293459,0.047845,0.092537,-0.005419,0.040172,0.700000,0.117641,0.097956,-0.052377,adaptive,0.293459,0.065867,0.176038,0.008211,0.045797,1.227165,0.125250,0.167827,-0.089242,adaptive,0.293459,0.014366,0.244497,0.001540,0.043663,1.211723,0.109317,0.242957,-0.128332,adaptive,0.293459,0.034841,0.135748,-0.002318,0.036640,1.899005,0.118201,0.138067,-0.073596,adaptive,0.293459,0.026149,0.210243,-0.003075,0.034437,2.765636,0.118635,0.213318,-0.112984,adaptive
2.000,-0.056902,1.676779,0.406809,0.121009,0.077296,0.020728,0.076412,0.700000,0.326696,0.056568,-0.056957,resonance,0.406809,0.241058,0.110268,0.007019,0.085639,1.236866,0.367083,0.103249,-0.069580,tanh,0.406809,0.254300,0.140148,0.008771,0.082222,1.236118,0.374557,0.131376,-0.067984,spiral_log,0.406809,0.033196,0.046567,-0.007816,0.070282,1.936403,0.353513,0.054383,-0.033026,adaptive,0.406809,0.191736,0.088009,-0.055973,0.066347,2.823460,0.349303,0.143982,-0.142590,resonance
3.000,-0.042646,1.698902,0.406809,0.117562,0.005797,0.011474,0.105172,0.700000,0.145784,-0.005676,0.002961,adaptive,0.406809,0.050839,0.049942,-0.007883,0.114357,1.244490,0.155069,0.057825,-0.029814,adaptive,0.406809,0.083914,0.065807,-0.013259,0.111175,1.257087,0.162866,0.079067,-0.040602,adaptive,0.406809,0.040019,0.012177,-0.003009,0.098177,1.968109,0.155987,0.015186,-0.007892,adaptive,0.406809,0.044649,0.038390,-0.004310,0.093395,2.871812,0.132194,0.042700,-0.022078,adaptive
4.000,-0.046766,1.713106,0.293459,0.087524,-0.019512,-0.010727,0.123637,0.700000,0.135323,-0.008785,0.004409,adaptive,0.293459,0.145049,-0.004021,0.002590,0.128250,1.249763,0.146370,-0.006612,0.003316,adaptive,0.293459,0.246282,0.005806,0.022258,0.127150,1.270319,0.151783,-0.016452,0.008272,adaptive,0.293459,0.077230,-0.014394,-0.001893,0.118053,1.988464,0.143321,-0.012501,0.006279,adaptive,0.293459,0.053895,0.027181,-0.004772,0.113617,2.903224,0.120768,0.031953,-0.015869,adaptive
5.000,-0.026102,1.718000,0.100000,0.083377,0.023019,-0.010351,0.130000,0.700000,0.957652,0.033369,-0.049986,resonance,0.100000,0.078930,-0.002319,0.068769,0.125570,1.251390,0.883901,-0.071088,0.105976,resonance,0.100000,0.164391,0.015869,0.101939,0.128300,1.274366,0.989848,-0.086071,0.127944,resonance,0.100000,0.087018,-0.020096,-0.002889,0.128300,1.994859,1.000000,-0.017206,0.025800,resonance,0.100000,0.059260,0.024678,-0.028137,0.125570,2.913584,0.904960,0.052814,-0.078952,resonance
6.000,-0.043482,1.713106,0.001000,0.067466,-0.007817,0.034128,0.123637,0.700000,0.515181,-0.041945,0.047410,resonance,0.001000,0.128790,0.011172,-0.006233,0.106746,1.249479,0.556230,0.017405,-0.005289,spiral_log,0.001000,0.171627,0.015762,-0.079811,0.114520,1.269955,0.610056,0.095572,-0.107249,resonance,0.001000,0.093688,-0.011274,-0.017961,0.128104,1.987955,0.598656,0.006687,-0.012436,resonance,0.001000,0.125309,0.004868,0.027262,0.128433,2.902789,0.565691,-0.022394,0.025344,resonance
7.000,-0.091402,1.698902,0.001000,0.071903,-0.010908,-0.014226,0.105172,0.700000,0.396004,0.003318,-0.001677,adaptive,0.001000,0.126431,0.001802,-0.053765,0.074321,1.244501,0.431289,0.055567,-0.027539,adaptive,0.001000,0.147548,-0.005925,-0.060817,0.087457,1.257154,0.447911,0.054892,-0.038920,tanh,0.001000,0.104435,-0.001401,-0.043187,0.117511,1.967928,0.430007,0.041786,-0.020833,adaptive,0.001000,0.142333,-0.007514,0.045382,0.122073,2.871658,0.462573,-0.052895,0.026443,adaptive
8.000,-0.039915,1.676779,0.001000,0.071772,0.006725,-0.017650,0.076412,0.700000,0.379604,0.024376,-0.017086,tanh,0.001000,0.124985,-0.010188,-0.030617,0.032604,1.236735,0.413446,0.020429,-0.009360,adaptive,0.001000,0.160108,-0.014652,-0.038647,0.050309,1.237072,0.427790,0.023995,-0.010977,adaptive,0.001000,0.104931,0.004992,-0.003754,0.097422,1.937387,0.390524,0.008746,-0.004026,adaptive,0.001000,0.147731,0.007036,-0.039238,0.107041,2.824285,0.412590,0.046274,-0.032427,tanh
9.000,-0.037521,1.648902,0.001000,0.070719,0.002968,0.024190,0.040172,0.700000,0.364715,-0.021222,0.009057,adaptive,0.001000,0.134237,-0.014361,0.013431,-0.012909,1.226881,0.403556,-0.027792,0.011835,adaptive,0.001000,0.162403,-0.016648,-0.038862,0.007448,1.211528,0.425478,0.022214,-0.015551,tanh,0.001000,0.108418,-0.008555,0.025773,0.069514,1.898846,0.402095,-0.034328,0.014590,adaptive,0.001000,0.134749,-0.004069,-0.034009,0.084528,2.765505,0.440892,0.029940,-0.012695,adaptive
10.000,-0.053302,1.618000,0.100000,0.083358,-0.030341,-0.000000,0.000000,0.700000,0.764046,-0.030341,0.060589,resonance,0.100000,0.132462,-0.027931,0.082773,-0.056263,1.216069,0.766372,-0.110704,0.186999,spiral_log,0.100000,0.139981,-0.024473,-0.105819,-0.036098,1.183791,0.869252,0.081346,-0.138537,spiral_log,0.100000,0.124786,0.014980,-0.050436,0.036098,1.857773,0.807117,0.065416,-0.111787,spiral_log,0.100000,0.147519,-0.018239,0.031885,0.056263,2.702938,0.906025,-0.050124,0.085877,spiral_log
11.000,-0.127709,1.587098,0.293459,0.101314,0.002373,-0.041642,-0.040172,0.700000,0.438240,0.044014,-0.048827,adaptive,0.293459,0.163338,-0.010250,0.070091,-0.091843,1.205326,0.429425,-0.080341,0.088655,adaptive,0.293459,0.194404,-0.002448,-0.090236,-0.075240,1.156107,0.483184,0.087789,-0.096605,adaptive,0.293459,0.155684,-0.016071,-0.003433,-0.000075,1.817506,0.471650,-0.012637,0.013501,spiral_log,0.293459,0.210020,-0.014612,0.044286,0.024376,2.642280,0.502206,-0.058898,0.065232,adaptive
12.000,-0.119218,1.559221,0.406809,0.117773,0.010990,0.028444,-0.076412,0.700000,0.372806,-0.017454,0.017936,tanh,0.406809,0.199751,0.002647,0.067782,-0.115104,1.195617,0.386020,-0.065135,0.062678,adaptive,0.406809,0.288707,0.020795,-0.050417,-0.105425,1.132076,0.420686,0.071212,-0.068324,adaptive,0.406809,0.161134,0.004815,0.042203,-0.036042,1.782328,0.388368,-0.037388,0.036112,adaptive,0.406809,0.239141,-0.014630,0.046501,-0.008769,2.589522,0.439903,-0.061131,0.062597,tanh
13.000,-0.124455,1.537098,0.406809,0.119853,-0.015689,0.022168,-0.105172,0.700000,0.370218,-0.037857,0.033606,adaptive,0.406809,0.218406,0.013500,0.036970,-0.123170,1.188276,0.387205,-0.023471,0.020868,adaptive,0.406809,0.260255,0.019763,0.034700,-0.123174,1.112685,0.395669,-0.014937,0.014647,tanh,0.406809,0.161000,-0.003074,-0.062636,-0.068877,1.754766,0.409899,0.059562,-0.052597,adaptive,0.406809,0.253609,-0.015199,0.077729,-0.040759,2.548624,0.431766,-0.092928,0.081761,adaptive
14.000,-0.128519,1.522894,0.293459,0.101395,-0.003506,-0.038035,-0.123637,0.700000,0.382032,0.034529,-0.032426,tanh,0.293459,0.214544,0.014117,-0.027016,-0.115192,1.183513,0.400967,0.041133,-0.033516,adaptive,0.293459,0.214250,0.010530,0.049811,-0.126481,1.101275,0.387909,-0.039280,0.032065,adaptive,0.293459,0.142652,-0.001747,0.048783,-0.095931,1.738479,0.381916,-0.050530,0.041182,adaptive,0.293459,0.200811,-0.005628,0.073529,-0.069312,2.523760,0.406634,-0.079158,0.074008,tanh
15.000,-0.094459,1.518000,0.100000,0.083245,0.010863,0.004009,-0.130000,0.700000,0.371527,0.006854,-0.005135,adaptive,0.100000,0.150107,0.003102,-0.059422,-0.092447,1.181433,0.410919,0.062523,-0.046226,adaptive,0.100000,0.180529,0.008603,0.029267,-0.115044,1.096668,0.389694,-0.020664,0.018591,tanh,0.100000,0.117573,-0.008095,-0.010383,-0.115044,1.732251,0.410101,0.002287,-0.001715,adaptive,0.100000,0.178300,0.005072,-0.072502,-0.092447,2.514779,0.421960,0.077574,-0.057057,adaptive
16.000,-0.071369,1.522894,0.001000,0.070989,-0.004423,0.023493,-0.123637,0.700000,0.365395,-0.027915,0.023994,tanh,0.001000,0.126542,-0.011388,-0.025399,-0.058134,1.182991,0.410075,0.014011,-0.009501,adaptive,0.001000,0.177691,0.008990,-0.042715,-0.090295,1.100856,0.411376,0.051706,-0.034687,adaptive,0.001000,0.105580,0.000342,-0.041375,-0.124727,1.738294,0.406530,0.041717,-0.028078,adaptive,0.001000,0.149462,-0.002606,0.047107,-0.108625,2.523619,0.410376,-0.049713,0.042681,tanh
17.000,-0.081915,1.537098,0.001000,0.069788,-0.014477,-0.030208,-0.105172,0.700000,0.646562,0.015731,-0.011296,resonance,0.001000,0.122919,-0.009403,0.073507,-0.016939,1.187887,0.641002,-0.082910,0.063826,resonance,0.001000,0.149710,-0.018604,-0.059026,-0.055218,1.112741,0.720246,0.040422,-0.027022,tanh,0.001000,0.097761,0.000875,-0.061375,-0.124270,1.755389,0.697662,0.062250,-0.043535,resonance,0.001000,0.154850,-0.010689,0.100478,-0.116854,2.549103,0.709251,-0.111168,0.071762,adaptive
18.000,-0.034190,1.559221,0.001000,0.072096,0.007139,-0.015349,-0.076412,0.700000,0.406039,0.022488,-0.010580,tanh,0.001000,0.131817,0.009338,-0.010655,0.025620,1.195926,0.420928,0.019993,-0.008490,adaptive,0.001000,0.145052,-0.000563,0.041375,-0.013989,1.132181,0.408654,-0.041938,0.017696,adaptive,0.001000,0.103046,-0.006644,0.019423,-0.113802,1.782669,0.443097,-0.026067,0.011062,adaptive,0.001000,0.131820,0.008628,-0.032306,-0.116749,2.589788,0.425825,0.040934,-0.019083,tanh
