t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.100000,0.268941,-0.146848,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.100000,0.500000,-0.268271,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.100000,0.700000,-0.367042,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.100000,0.400000,-0.216518,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.100000,0.600000,-0.318521,adaptive
1.000,-0.008120,1.648902,0.293459,0.047593,0.092928,-0.007564,0.040172,0.700000,0.165099,0.100493,-0.055671,adaptive,0.293459,0.065487,0.175998,0.011455,0.045797,1.227164,0.175766,0.164542,-0.090691,adaptive,0.293459,0.014199,0.244489,0.002136,0.043663,1.211723,0.153369,0.242353,-0.132646,adaptive,0.293459,0.034753,0.135771,-0.003246,0.036640,1.899004,0.165925,0.139018,-0.076784,adaptive,0.293459,0.025929,0.210247,-0.004278,0.034437,2.765636,0.166450,0.214525,-0.117722,adaptive
2.000,-0.058834,1.676779,0.406809,0.121206,0.076697,0.020795,0.076412,0.700000,0.327217,0.055902,-0.056291,resonance,0.406809,0.233276,0.109003,0.006807,0.085639,1.236871,0.368156,0.102196,-0.068873,tanh,0.406809,0.253952,0.139216,0.008724,0.082222,1.236156,0.374974,0.130492,-0.067547,spiral_log,0.406809,0.032771,0.043004,-0.007714,0.070282,1.936434,0.353558,0.050717,-0.030812,adaptive,0.406809,0.194083,0.089740,-0.056830,0.066347,2.823486,0.350293,0.146570,-0.145052,resonance
3.000,-0.044137,1.698902,0.406809,0.117782,0.006596,0.007885,0.105172,0.700000,0.100000,-0.001289,0.000651,adaptive,0.406809,0.050030,0.048465,-0.005287,0.114357,1.244494,0.105686,0.053752,-0.026866,adaptive,0.406809,0.085021,0.064772,-0.009169,0.111175,1.257092,0.111158,0.073941,-0.036812,adaptive,0.406809,0.040190,0.010959,-0.002063,0.098177,1.968110,0.106510,0.013023,-0.006560,adaptive,0.406809,0.053526,0.048311,-0.003909,0.093395,2.871813,0.100000,0.052219,-0.026108,adaptive
4.000,-0.046401,1.713106,0.293459,0.087289,-0.021282,-0.007906,0.123637,0.700000,0.100000,-0.013376,0.006577,adaptive,0.293459,0.137294,-0.005468,0.001799,0.128250,1.249745,0.107814,-0.007267,0.003568,adaptive,0.293459,0.244058,0.004345,0.016350,0.127150,1.270320,0.112503,-0.012004,0.005900,adaptive,0.293459,0.073374,-0.014392,-0.001327,0.118053,1.988452,0.105578,-0.013065,0.006424,adaptive,0.293459,0.053740,0.030612,-0.003939,0.113617,2.903214,0.100000,0.034551,-0.016777,adaptive
5.000,-0.029512,1.718000,0.100000,0.083370,0.021712,-0.010308,0.130000,0.700000,0.953810,0.032020,-0.047970,resonance,0.100000,0.079527,-0.002135,0.069238,0.125570,1.251370,0.883148,-0.071373,0.106396,resonance,0.100000,0.176255,0.015387,0.110564,0.128300,1.274332,1.000000,-0.095177,0.141196,resonance,0.100000,0.089351,-0.019790,-0.002972,0.128300,1.994857,1.000000,-0.016818,0.025218,resonance,0.100000,0.061987,0.029399,-0.029482,0.125570,2.913582,0.906597,0.058881,-0.087949,resonance
6.000,-0.043455,1.713106,0.001000,0.067254,-0.008335,0.034003,0.123637,0.700000,0.514900,-0.042338,0.047853,resonance,0.001000,0.128709,0.011272,-0.006235,0.106746,1.249482,0.556227,0.017507,-0.005318,spiral_log,0.001000,0.171180,0.016422,-0.079633,0.114520,1.269963,0.610131,0.096055,-0.107781,resonance,0.001000,0.093349,-0.011176,-0.017887,0.128104,1.987957,0.598456,0.006711,-0.012480,resonance,0.001000,0.126759,0.006501,0.027654,0.128433,2.902790,0.567326,-0.021152,0.023939,resonance
7.000,-0.090793,1.698902,0.001000,0.071906,-0.011107,-0.013548,0.105172,0.700000,0.377108,0.002441,-0.001193,adaptive,0.001000,0.126201,0.001837,-0.051118,0.074321,1.244505,0.410792,0.052955,-0.025395,adaptive,0.001000,0.146774,-0.005572,-0.057598,0.087457,1.257156,0.426463,0.052026,-0.024960,adaptive,0.001000,0.104319,-0.001366,-0.041089,0.117511,1.967929,0.409580,0.039724,-0.007362,spiral_log,0.001000,0.141713,-0.006889,0.043039,0.122073,2.871659,0.440592,-0.049928,0.024141,adaptive
8.000,-0.045708,1.676779,0.001000,0.072387,0.001184,-0.005776,0.076412,0.700000,0.123175,0.006960,-0.003003,adaptive,0.001000,0.133506,-0.004730,-0.010445,0.032604,1.236816,0.132768,0.005715,-0.002467,adaptive,0.001000,0.175017,-0.006496,-0.013639,0.050309,1.237015,0.137537,0.007144,-0.003082,adaptive,0.001000,0.107873,0.000807,-0.001149,0.097422,1.937194,0.130016,0.001957,-0.000847,adaptive,0.001000,0.154952,0.002869,-0.013659,0.107041,2.824123,0.138275,0.016528,-0.007090,adaptive
9.000,-0.044514,1.648902,0.001000,0.072273,0.000390,0.006778,0.040172,0.700000,0.100000,-0.006388,0.002664,adaptive,0.001000,0.134695,-0.004235,0.003566,-0.012909,1.227049,0.102962,-0.007801,0.003256,adaptive,0.001000,0.176303,-0.004962,-0.010529,0.007448,1.211649,0.107262,0.005567,-0.002302,adaptive,0.001000,0.108533,-0.002532,0.006662,0.069514,1.898949,0.103001,-0.009194,0.003841,adaptive,0.001000,0.154648,-0.000759,-0.009762,0.084528,2.765590,0.111036,0.009003,-0.003714,adaptive
