t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.100000,0.268941,-0.146848,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.100000,0.500000,-0.268271,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.100000,0.700000,-0.367042,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.100000,0.400000,-0.216518,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.100000,0.600000,-0.318521,adaptive
1.000,-0.008191,1.648902,0.293459,0.047962,0.091989,-0.005704,0.040172,0.700000,0.123529,0.097692,-0.052468,adaptive,0.293459,0.065426,0.176069,0.008553,0.045797,1.227164,0.131359,0.167516,-0.089472,adaptive,0.293459,0.014118,0.244451,0.001587,0.043663,1.211723,0.114630,0.242864,-0.128850,adaptive,0.293459,0.034755,0.135683,-0.002427,0.036640,1.899005,0.124034,0.138110,-0.073944,adaptive,0.293459,0.025958,0.210181,-0.003202,0.034437,2.765636,0.124441,0.213383,-0.113516,adaptive
2.000,-0.059773,1.676779,0.406809,0.120728,0.076831,0.020603,0.076412,0.700000,0.325481,0.056228,-0.056617,resonance,0.406809,0.248287,0.108745,0.007050,0.085639,1.236959,0.363318,0.101695,-0.068536,tanh,0.406809,0.277047,0.139345,0.009538,0.082222,1.236074,0.371636,0.129806,-0.067208,spiral_log,0.406809,0.033148,0.044788,-0.007793,0.070282,1.936350,0.352721,0.052581,-0.031938,adaptive,0.406809,0.196697,0.089848,-0.057516,0.066347,2.823415,0.350011,0.147364,-0.145805,resonance
3.000,-0.043100,1.698902,0.406809,0.117700,0.006327,0.008618,0.105172,0.700000,0.109366,-0.002291,0.001165,adaptive,0.406809,0.050035,0.048580,-0.005812,0.114357,1.244493,0.116160,0.054392,-0.027370,adaptive,0.406809,0.084394,0.064935,-0.010000,0.111175,1.257087,0.122129,0.074935,-0.037557,adaptive,0.406809,0.041131,0.005799,-0.002323,0.098177,1.968114,0.117213,0.008122,-0.004123,adaptive,0.406809,0.049572,0.044842,-0.003620,0.093395,2.871816,0.100000,0.048462,-0.024413,adaptive
4.000,-0.046032,1.713106,0.293459,0.086291,-0.019859,-0.012876,0.123637,0.700000,0.164752,-0.006983,0.003563,adaptive,0.293459,0.133457,-0.005166,0.002877,0.128250,1.249746,0.177344,-0.008043,0.004105,adaptive,0.293459,0.244384,0.005558,0.027000,0.127150,1.270329,0.185482,-0.021441,0.010980,adaptive,0.293459,0.073821,-0.015211,-0.002198,0.118053,1.988459,0.173988,-0.013013,0.006650,adaptive,0.293459,0.053082,0.029695,-0.005701,0.113617,2.903220,0.146500,0.035396,-0.017870,adaptive
5.000,-0.029063,1.718000,0.100000,0.083376,0.022559,-0.010323,0.130000,0.700000,0.955083,0.032882,-0.049258,resonance,0.100000,0.078977,-0.003091,0.068731,0.125570,1.251371,0.882795,-0.071823,0.107057,resonance,0.100000,0.176243,0.016214,0.110563,0.128300,1.274331,1.000000,-0.094349,0.139994,resonance,0.100000,0.089170,-0.020665,-0.002975,0.128300,1.994854,1.000000,-0.017690,0.026524,resonance,0.100000,0.059702,0.026728,-0.028321,0.125570,2.913579,0.904348,0.055049,-0.082268,resonance
6.000,-0.043436,1.713106,0.001000,0.067332,-0.007982,0.034055,0.123637,0.700000,0.515093,-0.042037,0.033088,tanh,0.001000,0.128548,0.010755,-0.006225,0.106746,1.249482,0.556035,0.016980,-0.005164,spiral_log,0.001000,0.170975,0.016841,-0.079581,0.114520,1.269964,0.610455,0.096423,-0.075777,tanh,0.001000,0.093522,-0.011565,-0.017920,0.128104,1.987958,0.598551,0.006355,-0.011818,resonance,0.001000,0.125733,0.005554,0.027383,0.128433,2.902791,0.566421,-0.021829,0.017186,tanh
7.000,-0.090880,1.698902,0.001000,0.071895,-0.010972,-0.014226,0.105172,0.700000,0.396055,0.003255,-0.001645,adaptive,0.001000,0.126299,0.001623,-0.053716,0.074321,1.244505,0.431337,0.055339,-0.104908,resonance,0.001000,0.146652,-0.005367,-0.060433,0.087457,1.257156,0.447820,0.055066,-0.055041,resonance,0.001000,0.104365,-0.001516,-0.043164,0.117511,1.967929,0.430066,0.041647,-0.007761,spiral_log,0.001000,0.141885,-0.007241,0.045247,0.122073,2.871659,0.462640,-0.052488,0.026241,adaptive
8.000,-0.039807,1.676779,0.001000,0.071756,0.006695,-0.017647,0.076412,0.700000,0.379634,0.024342,-0.024877,resonance,0.001000,0.124789,-0.010247,-0.030557,0.032604,1.236740,0.413411,0.020310,-0.002556,spiral_log,0.001000,0.159629,-0.014356,-0.038532,0.050309,1.237070,0.427723,0.024176,-0.011059,adaptive,0.001000,0.104829,0.004942,-0.003733,0.097422,1.937378,0.390536,0.008675,-0.017883,resonance,0.001000,0.147560,0.007122,-0.039181,0.107041,2.824277,0.412647,0.046304,-0.047245,resonance
9.000,-0.037374,1.648902,0.001000,0.070663,0.002956,0.024172,0.040172,0.700000,0.364729,-0.021216,0.009054,adaptive,0.001000,0.134227,-0.014361,0.013453,-0.012909,1.226888,0.403625,-0.027814,0.061941,resonance,0.001000,0.161994,-0.016473,-0.038743,0.007448,1.211533,0.425432,0.022271,-0.023600,resonance,0.001000,0.108415,-0.008565,0.025783,0.069514,1.898849,0.402157,-0.034348,0.003340,spiral_log,0.001000,0.134045,-0.004040,-0.033815,0.084528,2.765508,0.440780,0.029775,-0.012626,adaptive
