t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.165478,0.268941,-0.155452,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.165478,0.500000,-0.283395,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.165478,0.700000,-0.386703,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.165478,0.400000,-0.228964,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.165478,0.600000,-0.336059,adaptive
1.000,-0.008176,1.648902,0.293459,0.048043,0.091785,-0.007123,0.040172,0.700000,0.154013,0.098908,-0.054346,adaptive,0.293459,0.065481,0.176028,0.010672,0.045797,1.227164,0.163755,0.165357,-0.090381,adaptive,0.293459,0.014199,0.244491,0.001990,0.043663,1.211723,0.142933,0.242501,-0.131631,adaptive,0.293459,0.034743,0.135902,-0.003024,0.036640,1.899005,0.154611,0.138926,-0.076099,adaptive,0.293459,0.025959,0.210184,-0.003991,0.034437,2.765636,0.155126,0.214175,-0.116563,adaptive
2.000,-0.058293,1.676779,0.406809,0.120620,0.076453,0.021427,0.076412,0.700000,0.338806,0.055026,-0.055887,resonance,0.406809,0.248717,0.110215,0.007372,0.085639,1.236944,0.378357,0.102843,-0.070044,tanh,0.406809,0.273712,0.140312,0.009834,0.082222,1.236068,0.387503,0.130478,-0.068213,spiral_log,0.406809,0.033331,0.045517,-0.008161,0.070282,1.936347,0.367341,0.053678,-0.033059,adaptive,0.406809,0.194669,0.088670,-0.059173,0.066347,2.823413,0.363853,0.147843,-0.147494,resonance
3.000,-0.049089,1.698902,0.406809,0.118567,0.006361,0.011029,0.105172,0.700000,0.138950,-0.004668,0.002424,adaptive,0.406809,0.054439,0.052516,-0.008059,0.114357,1.244497,0.148041,0.060575,-0.031077,adaptive,0.406809,0.094274,0.068515,-0.014298,0.111175,1.257086,0.156323,0.082813,-0.042306,adaptive,0.406809,0.045789,0.009065,-0.003298,0.098177,1.968134,0.149541,0.012363,-0.006400,adaptive,0.406809,0.048762,0.043995,-0.004504,0.093395,2.871833,0.126443,0.048500,-0.024938,adaptive
4.000,-0.044701,1.713106,0.293459,0.088727,-0.018312,-0.010713,0.123637,0.700000,0.133320,-0.007599,0.003808,adaptive,0.293459,0.143985,-0.000306,0.002525,0.128250,1.249748,0.144219,-0.002831,0.001417,adaptive,0.293459,0.242037,0.010889,0.021596,0.127150,1.270300,0.149941,-0.010707,0.005369,adaptive,0.293459,0.078090,-0.015308,-0.001891,0.118053,1.988451,0.141326,-0.013417,0.006733,adaptive,0.293459,0.053319,0.029302,-0.004649,0.113617,2.903213,0.118948,0.033950,-0.016832,adaptive
5.000,-0.028855,1.718000,0.100000,0.083378,0.022827,-0.010323,0.130000,0.700000,0.955048,0.033150,-0.049658,resonance,0.100000,0.079992,0.000296,0.069688,0.125570,1.251371,0.883725,-0.069392,0.103478,resonance,0.100000,0.177909,0.017782,0.111677,0.128300,1.274315,1.000000,-0.093896,0.139336,resonance,0.100000,0.089738,-0.023085,-0.003028,0.128300,1.994842,1.000000,-0.020057,0.030071,resonance,0.100000,0.058764,0.025555,-0.027824,0.125570,2.913569,0.903142,0.053379,-0.079791,resonance
6.000,-0.043459,1.713106,0.001000,0.067356,-0.007875,0.034070,0.123637,0.700000,0.515141,-0.041945,0.014679,spiral_log,0.001000,0.129095,0.012531,-0.006261,0.106746,1.249481,0.556980,0.018792,-0.005693,spiral_log,0.001000,0.170526,0.017748,-0.079401,0.114520,1.269963,0.610696,0.097150,-0.022678,spiral_log,0.001000,0.093999,-0.012646,-0.018006,0.128104,1.987958,0.598401,0.005360,-0.009968,resonance,0.001000,0.125298,0.005139,0.027268,0.128433,2.902791,0.566004,-0.022129,0.007379,spiral_log
7.000,-0.090893,1.698902,0.001000,0.071891,-0.010929,-0.014227,0.105172,0.700000,0.396090,0.003297,-0.001667,adaptive,0.001000,0.125960,0.002357,-0.053594,0.074321,1.244505,0.431513,0.055951,-0.106054,resonance,0.001000,0.146383,-0.004927,-0.060325,0.087457,1.257157,0.447851,0.055398,-0.055372,resonance,0.001000,0.104493,-0.001934,-0.043208,0.117511,1.967929,0.429984,0.041274,-0.007702,spiral_log,0.001000,0.141957,-0.007394,0.045274,0.122073,2.871659,0.462678,-0.052668,0.026330,adaptive
8.000,-0.039826,1.676779,0.001000,0.071754,0.006710,-0.017648,0.076412,0.700000,0.379652,0.024358,-0.024894,resonance,0.001000,0.124667,-0.009939,-0.030532,0.032604,1.236740,0.413475,0.020592,-0.021049,resonance,0.001000,0.159518,-0.014154,-0.038509,0.050309,1.237070,0.427764,0.024356,-0.011141,adaptive,0.001000,0.104791,0.004780,-0.003730,0.097422,1.937378,0.390488,0.008510,-0.017544,resonance,0.001000,0.147539,0.007065,-0.039175,0.107041,2.824277,0.412643,0.046240,-0.047180,resonance
9.000,-0.037379,1.648902,0.001000,0.070664,0.002961,0.024172,0.040172,0.700000,0.364732,-0.021211,0.009052,adaptive,0.001000,0.134214,-0.014235,0.013454,-0.012909,1.226888,0.403667,-0.027689,0.061662,resonance,0.001000,0.161946,-0.016382,-0.038733,0.007448,1.211533,0.425441,0.022351,-0.023686,resonance,0.001000,0.108418,-0.008626,0.025783,0.069514,1.898849,0.402139,-0.034409,0.036435,resonance,0.001000,0.134062,-0.004062,-0.033820,0.084528,2.765508,0.440783,0.029758,-0.012619,adaptive
10.000,-0.052629,1.618000,0.100000,0.083358,-0.030279,-0.000000,0.000000,0.700000,0.764245,-0.030279,0.060465,resonance,0.100000,0.131652,-0.027671,0.082275,-0.056263,1.216079,0.766103,-0.109946,0.185764,spiral_log,0.100000,0.138540,-0.024110,-0.104608,-0.036098,1.183800,0.868503,0.080498,-0.137119,spiral_log,0.100000,0.124691,0.014857,-0.050439,0.036098,1.857780,0.807169,0.065296,-0.111585,spiral_log,0.100000,0.147925,-0.018053,0.032012,0.056263,2.702944,0.905821,-0.050064,0.085776,spiral_log
11.000,-0.125732,1.587098,0.293459,0.101101,0.002341,-0.041566,-0.040172,0.700000,0.438360,0.043907,-0.048708,adaptive,0.293459,0.161749,-0.010158,0.069372,-0.091843,1.205333,0.429189,-0.079531,0.192992,resonance,0.293459,0.192279,-0.002336,-0.089246,-0.075240,1.156130,0.482942,0.086911,-0.102132,resonance,0.293459,0.155444,-0.015996,-0.003333,-0.000075,1.817525,0.471775,-0.012663,0.013528,spiral_log,0.293459,0.209995,-0.014346,0.044391,0.024376,2.642296,0.502321,-0.058737,0.065054,adaptive
12.000,-0.118528,1.559221,0.406809,0.117602,0.010949,0.028404,-0.076412,0.700000,0.372819,-0.017454,0.017937,tanh,0.406809,0.198632,0.002563,0.067386,-0.115104,1.195622,0.386000,-0.064823,0.066346,tanh,0.406809,0.288676,0.020713,-0.050483,-0.105425,1.132083,0.420798,0.071196,-0.068309,adaptive,0.406809,0.160272,0.004815,0.041904,-0.036042,1.782348,0.388317,-0.037088,0.038071,tanh,0.406809,0.239103,-0.014337,0.046594,-0.008769,2.589537,0.439820,-0.060931,0.062393,tanh
13.000,-0.123734,1.537098,0.406809,0.119756,-0.015667,0.022153,-0.105172,0.700000,0.370268,-0.037820,0.033573,adaptive,0.406809,0.217135,0.013335,0.036841,-0.123170,1.188261,0.387110,-0.023506,0.056368,resonance,0.406809,0.259423,0.019570,0.034501,-0.123174,1.112697,0.395741,-0.014930,0.016434,resonance,0.406809,0.159611,-0.003125,-0.062023,-0.068877,1.754798,0.409788,0.058898,-0.064580,resonance,0.406809,0.253715,-0.014905,0.077927,-0.040759,2.548649,0.431809,-0.092832,0.081678,adaptive
14.000,-0.127108,1.522894,0.293459,0.101140,-0.003507,-0.037946,-0.123637,0.700000,0.382100,0.034439,-0.037833,resonance,0.293459,0.214405,0.014070,-0.026844,-0.115192,1.183490,0.401128,0.040914,-0.044920,resonance,0.293459,0.212821,0.010435,0.049596,-0.126481,1.101253,0.387849,-0.039161,0.031969,adaptive,0.293459,0.141559,-0.001653,0.048413,-0.095931,1.738468,0.381765,-0.050066,0.119577,resonance,0.293459,0.199604,-0.005482,0.073096,-0.069312,2.523752,0.406542,-0.078578,0.085817,resonance
15.000,-0.094142,1.518000,0.100000,0.083237,0.010846,0.004009,-0.130000,0.700000,0.371575,0.006837,-0.005123,adaptive,0.100000,0.149559,0.003112,-0.059190,-0.092447,1.181426,0.410898,0.062303,-0.148404,resonance,0.100000,0.179695,0.008600,0.029149,-0.115044,1.096665,0.389660,-0.020549,0.022593,resonance,0.100000,0.117151,-0.008079,-0.010329,-0.115044,1.732255,0.410056,0.002250,-0.002475,resonance,0.100000,0.178302,0.005124,-0.072545,-0.092447,2.514781,0.422177,0.077668,-0.057125,adaptive
16.000,-0.071185,1.522894,0.001000,0.070905,-0.004419,0.023465,-0.123637,0.700000,0.365395,-0.027884,0.030644,resonance,0.001000,0.126149,-0.011329,-0.025308,-0.058134,1.182992,0.409970,0.013979,-0.015373,resonance,0.001000,0.177691,0.009009,-0.042705,-0.090295,1.100853,0.411440,0.051714,-0.034692,adaptive,0.001000,0.105404,0.000351,-0.041313,-0.124727,1.738289,0.406541,0.041664,-0.099657,resonance,0.001000,0.149174,-0.002591,0.047038,-0.108625,2.523615,0.410428,-0.049629,0.054433,resonance
17.000,-0.081481,1.537098,0.001000,0.069641,-0.014412,-0.030144,-0.105172,0.700000,0.646553,0.015732,-0.022948,adaptive,0.001000,0.122256,-0.009239,0.073119,-0.016939,1.187898,0.640780,-0.082358,0.216938,resonance,0.001000,0.149886,-0.018078,-0.058869,-0.055218,1.112759,0.719616,0.040791,-0.061441,resonance,0.001000,0.097124,0.000855,-0.060964,-0.124270,1.755387,0.697464,0.061819,-0.092842,resonance,0.001000,0.154793,-0.010562,0.100485,-0.116854,2.549101,0.709508,-0.111047,0.159292,adaptive
18.000,-0.033641,1.559221,0.001000,0.072074,0.007138,-0.015350,-0.076412,0.700000,0.406190,0.022487,-0.025709,resonance,0.001000,0.131672,0.009370,-0.010580,0.025620,1.195915,0.421144,0.019950,-0.022811,resonance,0.001000,0.143626,-0.000360,0.040940,-0.013989,1.132184,0.408485,-0.041300,0.042395,adaptive,0.001000,0.102719,-0.006611,0.019374,-0.113802,1.782671,0.443216,-0.025985,0.063042,resonance,0.001000,0.130665,0.008816,-0.032019,-0.116749,2.589789,0.425689,0.040835,-0.046621,resonance
19.000,-0.040788,1.587098,0.001000,0.070527,0.001616,0.024965,-0.040172,0.700000,0.367698,-0.023349,0.021497,adaptive,0.001000,0.123600,-0.008518,-0.027581,0.063927,1.205266,0.417405,0.019063,-0.045778,resonance,0.001000,0.160161,-0.014071,-0.008041,0.028521,1.156678,0.431097,-0.006030,0.006661,resonance,0.001000,0.100980,0.003504,-0.006059,-0.094264,1.817885,0.386357,0.009562,-0.010563,resonance,0.001000,0.135174,-0.003511,0.056299,-0.108536,2.642581,0.446016,-0.059810,0.054820,adaptive
20.000,-0.096799,1.618000,0.100000,0.083369,-0.011477,-0.000000,-0.000000,0.700000,0.374113,-0.011477,0.012629,resonance,0.100000,0.140759,0.002324,0.044893,0.093026,1.216316,0.379460,-0.042569,0.046747,resonance,0.100000,0.200761,0.005566,-0.076759,0.067328,1.183716,0.416560,0.082325,-0.068710,adaptive,0.100000,0.122251,-0.005839,0.038359,-0.067328,1.857516,0.408061,-0.044198,0.105687,resonance,0.100000,0.161928,-0.001310,0.017518,-0.093026,2.702731,0.437091,-0.018828,0.020712,resonance
21.000,-0.095969,1.648902,0.293459,0.102163,0.002625,-0.037595,0.040172,0.700000,0.382243,0.040220,-0.031069,adaptive,0.293459,0.174811,-0.000969,-0.069797,0.109270,1.227495,0.415621,0.068827,-0.163676,resonance,0.293459,0.203074,0.006240,0.014597,0.097920,1.212122,0.385474,-0.008358,0.009193,resonance,0.293459,0.156950,-0.000002,-0.047045,-0.035250,1.898849,0.411715,0.047043,-0.051614,resonance,0.293459,0.195553,-0.003660,0.033750,-0.071528,2.765508,0.439193,-0.037410,0.028963,adaptive
22.000,-0.236820,1.676779,0.406809,0.119263,0.013257,0.023053,0.076412,0.700000,0.368664,-0.009795,0.010774,resonance,0.406809,0.218003,-0.010632,0.083729,0.110788,1.236884,0.387418,-0.094361,0.102719,resonance,0.406809,0.256253,-0.013796,0.100927,0.116790,1.237036,0.396015,-0.114723,0.079637,adaptive,0.406809,0.169294,0.006113,-0.040913,-0.000680,1.936699,0.387247,0.047027,-0.112379,resonance,0.406809,0.208229,-0.003360,0.059626,-0.045737,2.823707,0.435234,-0.062987,0.068961,resonance
23.000,-0.147150,1.698902,0.406809,0.118246,-0.012909,0.029089,0.105172,0.700000,0.367460,-0.041998,0.026575,adaptive,0.406809,0.251166,0.011676,-0.073951,0.097706,1.244032,0.408073,0.085627,-0.202608,resonance,0.406809,0.212478,-0.017701,-0.040414,0.121836,1.256747,0.416739,0.022713,-0.024969,resonance,0.406809,0.189541,-0.007051,0.075635,0.033562,1.967704,0.400284,-0.082686,0.090226,resonance,0.406809,0.219719,-0.002478,0.024305,-0.017591,2.871467,0.434686,-0.026784,0.016997,adaptive
24.000,-0.105091,1.713106,0.293459,0.101976,-0.006772,-0.035107,0.123637,0.700000,0.380116,0.028335,-0.031139,resonance,0.293459,0.205489,-0.015768,0.005426,0.072100,1.249948,0.410842,-0.021194,0.023301,resonance,0.293459,0.240005,0.008411,-0.010887,0.112603,1.270841,0.399472,0.019297,-0.010897,adaptive,0.293459,0.165765,0.004279,-0.066620,0.064719,1.988697,0.402854,0.070900,-0.168508,resonance,0.293459,0.175070,0.010785,-0.063382,0.010873,2.903424,0.395673,0.074167,-0.081056,resonance
25.000,-0.096244,1.718000,0.100000,0.083370,0.011086,-0.004039,0.130000,0.700000,0.373683,0.015125,-0.007489,adaptive,0.100000,0.140706,-0.000866,0.052282,0.037680,1.251055,0.379386,-0.053149,0.126858,resonance,0.100000,0.172935,-0.015959,-0.052454,0.090320,1.274370,0.425306,0.036495,-0.040081,resonance,0.100000,0.115239,-0.004012,-0.031498,0.090320,1.994821,0.413035,0.027486,-0.030208,resonance,0.100000,0.172014,0.007567,-0.062231,0.037680,2.913551,0.437009,0.069798,-0.033581,adaptive
26.000,-0.029259,1.713106,0.001000,0.070692,-0.002096,0.025260,0.123637,0.700000,0.363908,-0.027356,0.030065,resonance,0.001000,0.131132,0.010401,0.004638,-0.000737,1.249446,0.388424,0.005763,-0.006339,resonance,0.001000,0.177242,-0.023143,0.014464,0.057741,1.270086,0.416136,-0.037607,0.015870,adaptive,0.001000,0.107541,0.003383,-0.042040,0.108378,1.988132,0.404472,0.045423,-0.108578,resonance,0.001000,0.133054,0.006674,0.004591,0.061057,2.902940,0.397244,0.002083,-0.002292,resonance
27.000,-0.032718,1.698902,0.001000,0.071271,-0.025734,-0.026011,0.105172,0.700000,0.730501,0.000278,-0.000441,spiral_log,0.001000,0.132992,0.024914,-0.058152,-0.037903,1.244481,0.778236,0.083066,-0.130209,spiral_log,0.001000,0.163536,-0.050392,-0.044464,0.018806,1.257152,0.818256,-0.005928,0.009425,spiral_log,0.001000,0.103453,-0.014664,0.065032,0.117545,1.968207,0.743660,-0.079696,0.126017,spiral_log,0.001000,0.150381,0.012523,-0.039657,0.079548,2.871895,0.794875,0.052180,-0.082404,spiral_log
28.000,-0.075225,1.676779,0.001000,0.071938,0.004177,-0.019565,0.076412,0.700000,0.419825,0.023742,-0.058005,resonance,0.001000,0.131999,0.012921,-0.040662,-0.068852,1.236795,0.452099,0.053584,-0.062407,resonance,0.001000,0.161970,0.009122,-0.056960,-0.021839,1.237040,0.472412,0.066082,-0.076826,resonance,0.001000,0.100079,-0.003885,0.042479,0.117214,1.937153,0.425129,-0.046364,0.049319,adaptive,0.001000,0.156174,-0.017285,0.039623,0.092104,2.824088,0.477592,-0.056908,0.138297,resonance
29.000,-0.076920,1.648902,0.001000,0.070539,0.001547,0.024380,0.040172,0.700000,0.368523,-0.022834,0.025270,resonance,0.001000,0.134501,0.012867,-0.024107,-0.089576,1.227132,0.407104,0.036974,-0.034582,adaptive,0.001000,0.154761,-0.023931,0.044139,-0.059394,1.211699,0.391669,-0.068070,0.162234,resonance,0.001000,0.106894,-0.015763,0.022447,0.107553,1.899014,0.397683,-0.038210,0.042239,resonance,0.001000,0.138565,-0.008796,0.055339,0.098140,2.765644,0.406924,-0.064135,0.070676,resonance
30.000,-0.044234,1.618000,0.100000,0.083376,-0.011973,0.000000,0.000000,0.700000,0.373403,-0.011973,0.028732,resonance,0.100000,0.157478,0.015355,0.009144,-0.097548,1.216397,0.392754,0.006211,-0.006836,resonance,0.100000,0.198009,0.038497,-0.000029,-0.089478,1.183810,0.416582,0.038525,-0.042333,resonance,0.100000,0.118336,-0.004138,-0.048402,0.089478,1.857678,0.409256,0.044263,-0.037949,adaptive,0.100000,0.172575,-0.021117,0.042507,0.097548,2.702861,0.414185,-0.063624,0.151536,resonance
31.000,-0.131643,1.587098,0.293459,0.102585,0.003582,-0.036571,-0.040172,0.700000,0.380109,0.040153,-0.044087,resonance,0.293459,0.186225,0.008527,0.058359,-0.092039,1.205228,0.382876,-0.049831,0.039212,adaptive,0.293459,0.241863,-0.057458,-0.088923,-0.108647,1.156360,0.419352,0.031466,-0.075374,resonance,0.293459,0.155871,0.017624,0.046871,0.064571,1.817713,0.389033,-0.029247,0.032141,resonance,0.293459,0.211348,-0.027637,-0.038957,0.090677,2.642445,0.434211,0.011321,-0.012452,resonance
