t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
0,-0.000010,0.926469,0,0.000870,0,0.000020,0,0.000396,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable
0.100000,0.001530,0.928852,0,0.001185,0,0.000019,1.589053,0.000542,1.348769,0,0.100000,0.000000,1.589053,0,0,1,1,stable
0.200000,0.003384,0.926365,-0.000000,0.001582,0,0.000017,1.572487,0.000726,1.356829,0,0.100000,0.000000,1.572487,15.890532,0,1,1,stable
0.300000,0.004580,0.916137,-0.000000,0.002063,0,0.000016,1.553142,0.000951,1.363293,0.000000,0.100000,0.000000,1.553142,-0.165666,0,1,1,stable
0.400000,0.004242,0.899078,-0.000000,0.002631,0,0.000017,1.531704,0.001219,1.367475,0.000374,0.100000,0.000000,1.531704,-0.193446,0,1,1,stable
0.500000,0.002337,0.880554,-0.000000,0.003280,0,0.000017,1.509106,0.001527,1.368921,0.001858,0.100000,0.000000,1.509106,-0.214384,0,1,1,stable
0.600000,-0.000406,0.868472,-0.000000,0.004002,0,0.000017,1.492234,0.001873,1.367475,0.002998,0.100000,0.000000,1.492234,-0.225977,0,1,1,stable
0.700000,-0.003562,0.869010,-0.000000,0.004786,0,0.000017,1.481589,0.002252,1.363293,0.003030,0.100000,0.000000,1.481589,-0.168718,0,1,1,stable
0.800000,-0.007531,0.882722,0.000000,0.005618,0,0.000016,1.471186,0.002658,1.356829,0.002921,0.100000,0.000000,1.471186,-0.106454,0,1,1,stable
0.900000,-0.012365,0.904370,0.000000,0.006488,0,0.000017,1.460813,0.003088,1.348769,0.002432,0.100000,0.000000,1.460813,-0.104026,0,1,1,stable
1,-0.016754,0.926469,0.000000,0.007385,0,0.000016,1.450272,0.003537,1.339942,0.002168,0.427217,0.000000,1.580770,-0.103729,0,3.560238,1,stable
1.100000,-0.019005,0.943205,0.000000,0.008302,0,0.000017,1.439426,0.004002,1.331227,0.002861,0.448947,0.000000,1.571561,-0.105416,0,4.703441,1,chronique
1.200000,-0.018517,0.952136,0.000000,0.009232,0,0.000017,1.428239,0.004480,1.323459,0.006735,0.388293,0.000000,1.571561,-0.108459,0,4.870529,1,stable
1.300000,-0.015768,0.953688,0.000000,0.010170,0,0.000019,1.416789,0.004970,1.317356,0.011812,0.314737,0.000000,1.571561,-0.111871,0,4.480371,1,stable
1.400000,-0.011093,0.949772,0.000000,0.011115,0,0.000018,1.405270,0.005470,1.313467,0.014493,0.206037,0.000000,1.571561,-0.114494,0,4.308813,1,stable
1.500000,-0.003792,0.942661,0.000000,0.012064,0,0.000018,1.393969,0.005981,1.312132,0.015725,0.107743,0.000000,1.571561,-0.115191,0,4.149909,1,stable
1.600000,0.007297,0.934548,0.000000,0.013016,0,0.000018,1.388838,0.006503,1.313467,0.017697,0.065608,0.000000,1.561596,-0.113009,0,4.308813,1,stable
1.700000,0.021578,0.927558,0.000000,0.013970,0,0.000018,1.389725,0.007034,1.317356,0.021787,0.245365,0.000000,1.561596,-0.051312,0,4.149909,1,stable
1.800000,0.034408,0.923592,-0.000000,0.014926,0,0.000018,1.390413,0.007575,1.323459,0.024137,0.479220,0.000000,1.561596,0.008867,0,3.633630,1,stable
1.900000,0.037728,0.923588,-0.000000,0.015882,0,0.000018,1.390369,0.008127,1.331227,0.022970,0.572735,0.000000,1.561596,0.006880,0,4.715327,1,stable
2,0.025174,0.926469,-0.000000,0.016838,0,0.000019,1.389178,0.008688,1.339942,0.051797,0.517663,0.000000,1.561596,-0.000432,0,5.088696,1,stable
2.100000,-0.001245,0.928852,-0.000000,0.017794,0,0.000018,1.386569,0.009260,1.348769,0.138738,0.422600,0.000000,1.551098,-0.011912,0,5.009660,1,stable
2.200000,-0.029290,0.926365,-0.000000,0.018748,0,0.000018,1.382441,0.009840,1.356829,0.204318,0.447808,0.000000,1.551098,-0.026094,0,5.088696,1,stable
2.300000,-0.043796,0.916137,-0.000000,0.019699,0,0.000018,1.376877,0.010430,1.363293,0.189219,0.621035,0.000000,1.551098,-0.041279,0,5.009660,1,stable
2.400000,-0.039977,0.899078,0.000000,0.020644,0,0.000019,1.370138,0.011027,1.367475,0.223192,0.588229,0.000000,1.551098,-0.055640,0,4.703246,1,stable
2.500000,-0.029010,0.880554,0.000000,0.021583,0,0.000018,1.362636,0.011631,1.368921,0.326060,0.477488,0.000000,1.551098,-0.067395,0,3.948208,1,stable
2.600000,-0.023749,0.868472,0.000000,0.022512,0,0.000019,1.360699,0.012241,1.367475,0.329061,0.380611,0.000000,1.541288,-0.075018,0,3.734009,1,stable
2.700000,-0.020996,0.869010,0.000000,0.023429,0,0.000017,1.364306,0.012855,1.363293,0.309452,0.356257,0.000000,1.541288,-0.019364,0,3.541856,1,stable
2.800000,-0.007892,0.882722,0.000000,0.024329,0,0.000017,1.367041,0.013471,1.356829,0.299306,0.358029,0.000000,1.541288,0.036062,0,3.113510,1,stable
2.900000,0.017646,0.904370,0.000000,0.025207,0,0.000017,1.368387,0.014086,1.348769,0.299936,0.364370,0.000000,1.541288,0.027352,0,3.541856,1,stable
3,0.043315,0.926469,-0.000000,0.026058,0,0.000017,1.367967,0.014695,1.339942,0.326499,0.409575,0.000000,1.541288,0.013460,0,3.113510,1,stable
3.100000,0.056697,0.943205,-0.000000,0.026875,0,0.000017,1.365573,0.015296,1.331227,0.308768,0.475877,0.000000,1.532759,-0.004195,0,2.777593,1,stable
3.200000,0.056194,0.952136,-0.000000,0.027647,0,0.000017,1.361164,0.015882,1.323459,0.324599,0.497475,0.000000,1.532759,-0.023940,0,3.486678,1,stable
3.300000,0.049355,0.953688,-0.000000,0.028363,0,0.000017,1.354846,0.016445,1.317356,0.365290,0.489182,0.000000,1.532759,-0.044094,0,3.383984,1,stable
3.400000,0.044055,0.949772,-0.000000,0.029009,0,0.000018,1.346838,0.016977,1.313467,0.365781,0.460464,0.000000,1.532759,-0.063180,0,3.296261,1,stable
3.500000,0.040142,0.942661,-0.000000,0.029566,0,0.000019,1.337424,0.017467,1.312132,0.351891,0.454138,0.000000,1.532759,-0.080081,0,3.212970,1,stable
3.600000,0.028212,0.934548,-0.000000,0.030013,3,0.000018,1.332504,0.017899,1.313467,0.342412,0.448417,0.000000,1.525062,-0.094134,0,3.135598,1,stable
3.700000,-0.000542,0.927558,-0.000000,0.030325,3,0.000018,1.331804,0.018256,1.317356,0.339368,0.445134,0.000000,1.525062,-0.049209,0,3.061865,1,stable
3.800000,-0.041509,0.923592,-0.000000,0.030469,3,0.000018,1.328912,0.018518,1.323459,0.379629,0.443638,0.000000,1.525062,-0.006997,0,3.135598,1,stable
3.900000,-0.075026,0.923588,0.000000,0.030411,3,0.000018,1.334815,0.018660,1.331227,0.401676,0.490689,0.000000,1.525062,-0.028920,0,3.061865,1,stable
4,-0.075872,0.926469,0.000000,0.030115,0,0.000019,1.341437,0.018654,1.339942,0.383563,0.507263,0.000000,1.525062,0.059034,0,3.999080,1,stable
4.100000,-0.035125,0.928852,0.000000,0.029544,0,0.000018,1.346678,0.018473,1.348769,0.542114,0.468202,0.000000,1.517924,0.066216,0,3.992299,1,stable
4.200000,0.016161,0.926365,0.000000,0.028667,0,0.000018,1.353484,0.018089,1.356829,0.870455,0.407551,0.000000,1.517924,0.052413,0,3.793558,1,stable
4.300000,0.038051,0.916137,0.000000,0.027462,0,0.000018,1.367222,0.017483,1.363293,0.849067,0.452165,0.000000,1.517924,0.068059,0,3.992299,1,stable
4.400000,0.032259,0.899078,0.000000,0.025929,0,0.000018,1.383910,0.016646,1.367475,0.879234,0.486915,0.000000,1.517924,0.137382,0,3.793558,1,stable
4.500000,0.026165,0.880554,-0.000000,0.024091,0,0.000018,1.406477,0.015584,1.368921,1.001652,0.484934,0.000000,1.517924,0.166873,0,3.613666,1,stable
4.600000,0.033817,0.868472,-0.000000,0.021998,0,0.000019,1.438728,0.014326,1.367475,0.950502,0.474924,0.000000,1.511158,0.225678,0,3.564283,1,stable
4.700000,0.043395,0.869010,-0.000000,0.019730,0,0.000019,1.478909,0.012922,1.363293,0.942177,0.478836,0.000000,1.511158,0.322508,0,3.516232,1,stable
4.800000,0.037660,0.882722,-0.000000,0.017380,0,0.000017,1.519332,0.011434,1.356829,0.918435,0.471520,0.000000,1.514022,0.401808,0,3.347755,1,stable
4.900000,0.017679,0.904370,-0.000000,0.015049,0,0.000017,1.557603,0.009934,1.348769,0.917897,0.459791,0.000000,1.519874,0.404233,0,3.194684,1,stable
5,-0.002828,0.926469,-0.000000,0.012829,0,0.000017,1.591621,0.008488,1.339942,0.932698,0.447382,0.000000,1.528516,0.382708,0,3.347755,1,stable
5.100000,-0.014370,0.943205,-0.000000,0.010788,0,0.000017,1.619750,0.007149,1.331227,0.908488,0.448543,0.000000,1.534253,0.340184,0,3.516232,1,transitoire
5.200000,-0.016525,0.952136,-0.000000,0.008971,0,0.000017,1.641014,0.005950,1.323459,0.897593,0.448408,0.000000,1.547056,0.281290,0,3.564283,1,transitoire
5.300000,-0.013476,0.953688,-0.000000,0.007397,0,0.000017,1.655133,0.004908,1.317356,0.895399,0.443551,0.000000,1.561550,0.212638,0,3.613666,1,transitoire
5.400000,-0.009398,0.949772,0.000000,0.006062,0,0.000017,1.662420,0.004023,1.313467,0.884162,0.437807,0.000000,1.576359,0.141184,0,3.793558,1,transitoire
5.500000,-0.006633,0.942661,0.000000,0.004952,0,0.000017,1.663614,0.003287,1.312132,0.867978,0.433810,0.000000,1.590296,0.072873,0,3.992299,1,transitoire
5.600000,-0.005521,0.934548,0.000000,0.004041,0,0.000019,1.665295,0.002682,1.313467,0.852366,0.431347,0.000000,1.596406,0.011943,0,4.044171,1,transitoire
5.700000,-0.004388,0.927558,0.000000,0.003300,0,0.000018,1.667999,0.002191,1.317356,0.837780,0.430147,0.000000,1.608570,0.016808,0,4.097408,1,transitoire
5.800000,-0.000972,0.923592,0.000000,0.002703,0,0.000018,1.666182,0.001796,1.323459,0.823245,0.430034,0.000000,1.619928,0.027040,0,4.192234,1,transitoire
5.900000,0.003315,0.923588,-0.000000,0.002224,0,0.000018,1.659926,0.001479,1.331227,0.809694,0.430037,0.000000,1.629348,-0.018170,0,4.291554,1,transitoire
6,0.004615,0.926469,-0.000000,0.001841,0,0.000019,1.649356,0.001225,1.339942,0.796267,0.427353,0.000000,1.637875,-0.062558,0,4.295582,1,chronique
6.100000,0.003353,0.928852,-0.000000,0.001536,0,0.000019,1.634665,0.001023,1.348769,0.783683,0.422257,0.000000,1.638758,-0.105707,0,4.299618,1,chronique
6.200000,0.001303,0.926365,-0.000000,0.001292,0,0.000018,1.616151,0.000862,1.356829,0.771913,0.418444,0.000000,1.643541,-0.146905,0,4.411077,1,chronique
6.300000,-0.000484,0.916137,-0.000000,0.001097,0,0.000018,1.594234,0.000733,1.363293,0.759722,0.416296,0.000000,1.645625,-0.185139,0,4.528470,1,chronique
6.400000,-0.000651,0.899078,-0.000000,0.000941,0,0.000018,1.569464,0.000631,1.367475,0.747819,0.414044,0.000000,1.645826,-0.219171,0,4.559675,1,chronique
6.500000,-0.000525,0.880554,-0.000000,0.000817,0,0.000018,1.542506,0.000549,1.368921,0.736568,0.410733,0.000000,1.645826,-0.247699,0,4.591312,1,chronique
6.600000,-0.001187,0.868472,0.000000,0.000718,0,0.000019,1.519911,0.000484,1.367475,0.725378,0.408896,0.000000,1.641954,-0.269577,0,4.642398,1,chronique
