t,S_t,r_t,In_0,An_0,En_0,On_0,phi_0,fn_0,gamma_0,erreur_0,G_0,G_arch_0,In_1,An_1,En_1,On_1,phi_1,fn_1,gamma_1,erreur_1,G_1,G_arch_1,In_2,An_2,En_2,On_2,phi_2,fn_2,gamma_2,erreur_2,G_2,G_arch_2,In_3,An_3,En_3,On_3,phi_3,fn_3,gamma_3,erreur_3,G_3,G_arch_3,In_4,An_4,En_4,On_4,phi_4,fn_4,gamma_4,erreur_4,G_4,G_arch_4
0.000,0.000000,1.618000,0.100000,0.002241,0.268941,0.000000,0.000000,0.700000,0.165478,0.268941,-0.155452,adaptive,0.100000,0.000001,0.500000,0.000000,0.000000,1.216300,0.165478,0.500000,-0.283395,adaptive,0.100000,0.000000,0.700000,0.000000,0.000000,1.183987,0.165478,0.700000,-0.386703,adaptive,0.100000,0.000042,0.400000,0.000000,0.000000,1.857845,0.165478,0.400000,-0.228964,adaptive,0.100000,0.000000,0.600000,0.000000,0.000000,2.702997,0.165478,0.600000,-0.336059,adaptive
1.000,-0.008221,1.648902,0.293459,0.048145,0.091780,-0.007135,0.040172,0.700000,0.153950,0.098916,-0.054350,adaptive,0.293459,0.065903,0.176037,0.010742,0.045797,1.227165,0.163782,0.165295,-0.090347,adaptive,0.293459,0.014367,0.244496,0.002014,0.043663,1.211724,0.142970,0.242482,-0.131621,adaptive,0.293459,0.034857,0.135894,-0.003033,0.036640,1.899005,0.154580,0.138927,-0.076100,adaptive,0.293459,0.026173,0.210193,-0.004025,0.034437,2.765636,0.155157,0.214218,-0.116587,adaptive
2.000,-0.058305,1.676779,0.406809,0.120628,0.076448,0.021427,0.076412,0.700000,0.338789,0.055021,-0.055882,resonance,0.406809,0.248932,0.110279,0.007375,0.085639,1.236946,0.378234,0.102904,-0.070085,tanh,0.406809,0.273893,0.140381,0.009852,0.082222,1.236059,0.387467,0.130529,-0.068239,spiral_log,0.406809,0.033656,0.045477,-0.008243,0.070282,1.936340,0.367410,0.053720,-0.033085,adaptive,0.406809,0.194691,0.088700,-0.059165,0.066347,2.823407,0.363784,0.147865,-0.147515,resonance
3.000,-0.049463,1.698902,0.406809,0.118589,0.006307,0.011022,0.105172,0.700000,0.138834,-0.004715,0.002449,adaptive,0.406809,0.055054,0.052504,-0.008152,0.114357,1.244494,0.148091,0.060656,-0.031118,adaptive,0.406809,0.094473,0.068443,-0.014320,0.111175,1.257083,0.156232,0.082763,-0.042281,adaptive,0.406809,0.046437,0.008997,-0.003345,0.098177,1.968139,0.149610,0.012342,-0.006390,adaptive,0.406809,0.049690,0.044013,-0.004594,0.093395,2.871837,0.126554,0.048607,-0.024993,adaptive
4.000,-0.044941,1.713106,0.293459,0.088885,-0.018403,-0.010729,0.123637,0.700000,0.133273,-0.007674,0.003845,adaptive,0.293459,0.145068,-0.000456,0.002546,0.128250,1.249751,0.144218,-0.003002,0.001503,adaptive,0.293459,0.242150,0.010701,0.021586,0.127150,1.270299,0.149807,-0.010885,0.005459,adaptive,0.293459,0.078660,-0.015386,-0.001903,0.118053,1.988458,0.141334,-0.013483,0.006766,adaptive,0.293459,0.054528,0.029322,-0.004759,0.113617,2.903219,0.119060,0.034082,-0.016896,adaptive
5.000,-0.029015,1.718000,0.100000,0.083378,0.022821,-0.010319,0.130000,0.700000,0.954731,0.033140,-0.049643,resonance,0.100000,0.080818,0.000181,0.070449,0.125570,1.251375,0.884262,-0.070268,0.104768,resonance,0.100000,0.177337,0.017787,0.111342,0.128300,1.274309,1.000000,-0.093555,0.138841,resonance,0.100000,0.090108,-0.023135,-0.003049,0.128300,1.994839,1.000000,-0.020086,0.030115,resonance,0.100000,0.059983,0.025568,-0.028430,0.125570,2.913567,0.904164,0.053998,-0.080709,resonance
6.000,-0.043543,1.713106,0.001000,0.067447,-0.007907,0.034115,0.123637,0.700000,0.515131,-0.042023,0.014708,spiral_log,0.001000,0.129195,0.012510,-0.006259,0.106746,1.249479,0.556919,0.018769,-0.005687,spiral_log,0.001000,0.170703,0.017697,-0.079450,0.114520,1.269955,0.610586,0.097147,-0.022677,spiral_log,0.001000,0.094273,-0.012627,-0.018064,0.128104,1.987956,0.598439,0.005438,-0.001688,spiral_log,0.001000,0.125668,0.005176,0.027353,0.128433,2.902789,0.566006,-0.022177,0.007396,spiral_log
7.000,-0.091315,1.698902,0.001000,0.071905,-0.010941,-0.014227,0.105172,0.700000,0.396031,0.003286,-0.001661,adaptive,0.001000,0.126182,0.002349,-0.053681,0.074321,1.244502,0.431465,0.056031,-0.027763,adaptive,0.001000,0.146977,-0.004990,-0.060588,0.087457,1.257155,0.447963,0.055598,-0.027554,adaptive,0.001000,0.104590,-0.001922,-0.043243,0.117511,1.967928,0.429922,0.041321,-0.007709,spiral_log,0.001000,0.142271,-0.007399,0.045372,0.122073,2.871659,0.462671,-0.052771,0.026381,adaptive
8.000,-0.039966,1.676779,0.001000,0.071774,0.006713,-0.017651,0.076412,0.700000,0.379617,0.024364,-0.024899,resonance,0.001000,0.124897,-0.009961,-0.030599,0.032604,1.236736,0.413506,0.020638,-0.002592,spiral_log,0.001000,0.159881,-0.014223,-0.038598,0.050309,1.237072,0.427847,0.024375,-0.024911,resonance,0.001000,0.104885,0.004790,-0.003751,0.097422,1.937387,0.390464,0.008542,-0.017609,resonance,0.001000,0.147745,0.007081,-0.039245,0.107041,2.824284,0.412625,0.046326,-0.047268,resonance
9.000,-0.037539,1.648902,0.001000,0.070718,0.002964,0.024190,0.040172,0.700000,0.364717,-0.021226,0.022495,resonance,0.001000,0.134228,-0.014269,0.013432,-0.012909,1.226881,0.403594,-0.027701,0.061689,resonance,0.001000,0.162305,-0.016454,-0.038840,0.007448,1.211528,0.425503,0.022386,-0.023723,resonance,0.001000,0.108422,-0.008631,0.025773,0.069514,1.898845,0.402077,-0.034404,0.003347,spiral_log,0.001000,0.134735,-0.004052,-0.034007,0.084528,2.765505,0.440905,0.029955,-0.031729,resonance
