t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status
3.500000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
3.600000,0.381832,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
3.700000,0.470464,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
3.800000,0.316090,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
3.900000,0.097727,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.000000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.100000,0.095752,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.200000,0.303425,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.300000,0.442426,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.400000,0.351721,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.500000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.600000,-0.479308,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.700000,-0.851175,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.800000,-0.906297,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
4.900000,-0.580835,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.000000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.100000,0.580835,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.200000,0.906297,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.300000,0.851175,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.400000,0.479308,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.500000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.600000,-0.351721,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.700000,-0.442426,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.800000,-0.303425,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
5.900000,-0.095752,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.000000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.100000,-0.097727,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.200000,-0.316090,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.300000,-0.470464,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.400000,-0.381832,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.500000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.600000,0.542651,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.700000,0.984497,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.800000,1.071276,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
6.900000,0.701925,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.000000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.100000,-0.734728,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.200000,-1.173904,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.300000,-1.129696,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.400000,-0.652330,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.500000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.600000,0.504701,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.700000,0.652900,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.800000,0.461063,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
7.900000,0.150023,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.000000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.100000,0.163588,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.200000,0.548484,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.300000,0.848203,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.400000,0.717154,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.500000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.600000,-1.116842,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.700000,-2.133708,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.800000,-2.457072,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
8.900000,-1.713858,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.000000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.100000,2.080886,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.200000,3.637094,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.300000,3.884592,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.400000,2.537757,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.500000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.600000,-2.756583,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.700000,-4.588018,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.800000,-4.680525,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
9.900000,-2.927337,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.000000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.100000,2.927337,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.200000,4.680525,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.300000,4.588018,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.400000,2.756583,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.500000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.600000,-2.537757,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.700000,-3.884592,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.800000,-3.637094,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
10.900000,-2.080886,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.000000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.100000,1.713858,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.200000,2.457072,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.300000,2.133708,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.400000,1.116842,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.500000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.600000,-0.717154,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.700000,-0.848203,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.800000,-0.548484,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
11.900000,-0.163588,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.000000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.100000,-0.150023,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.200000,-0.461063,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.300000,-0.652900,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.400000,-0.504701,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.500000,-0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.600000,0.652330,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.700000,1.129696,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.800000,1.173904,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
12.900000,0.734728,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.000000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.100000,-0.701925,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.200000,-1.071276,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.300000,-0.984497,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.400000,-0.542651,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.500000,0.000000,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.600000,0.381832,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
13.700000,0.470464,1.000000,0.0,1.000000,0.000000,0.000001,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000,0.0,0.0,0.0,0.0,0.0,stable
