t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.926469,0,0.001002,0,0.000019,0,0.000457,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.000000,0.100000,0.000457,1.339942
0.100000,0.000382,0.928852,0,0.001178,0,0.000017,1.469153,0.000539,1.348769,0,0.100000,0.469099,1.469153,0,0,1,1,stable,0.469099,0.000000,0.000000,0.120927,0.000539,1.348769
0.200000,0.000701,0.926365,-0.000000,0.001374,0,0.000017,1.461680,0.000630,1.356829,0,0.100000,0.445644,1.461680,14.691532,0,1,1,stable,0.445644,0.000000,0.000000,0.141753,0.000630,1.356829
0.300000,0.000793,0.916137,-0.000000,0.001590,0,0.000017,1.452864,0.000733,1.363293,0.000000,0.100000,0.423362,1.452864,-0.074729,0,1,1,stable,0.423362,0.000000,0.000000,0.162379,0.000733,1.363293
0.400000,0.000618,0.899078,-0.000000,0.001828,0,0.000017,1.442988,0.000846,1.367475,0.000013,0.100000,0.402194,1.442988,-0.088159,0,1,1,stable,0.402194,0.000000,0.000000,0.182707,0.000846,1.367475
0.500000,0.000286,0.880554,-0.000000,0.002087,0,0.000017,1.432484,0.000971,1.368921,0.000038,0.100000,0.382084,1.432484,-0.098769,0,1,1,stable,0.382084,0.000000,0.000000,0.202643,0.000971,1.368921
0.600000,-0.000050,0.868472,-0.000000,0.002368,0,0.000017,1.427702,0.001107,1.367475,0.000046,0.100000,0.362980,1.427702,-0.105040,0,1,1,stable,0.362980,-0.000000,0.000000,0.222096,0.001107,1.367475
0.700000,-0.000352,0.869010,-0.000000,0.002671,0,0.000018,1.428643,0.001255,1.363293,0.000065,0.100000,0.344831,1.428643,-0.047820,0,1,1,stable,0.344831,-0.000000,0.000000,0.240981,0.001255,1.363293
0.800000,-0.000706,0.882722,0.000000,0.002994,0,0.000017,1.428921,0.001416,1.356829,0.000078,0.100000,0.327589,1.428921,0.009411,0,1,1,stable,0.327589,-0.000000,0.000000,0.259218,0.001416,1.356829
0.900000,-0.001119,0.904370,0.000000,0.003338,0,0.000019,1.428054,0.001588,1.348769,0.000065,0.100000,0.311210,1.428054,0.002786,0,1,1,stable,0.311210,-0.000000,0.000000,0.276734,0.001588,1.348769
1,-0.001440,0.926469,0.000000,0.003702,0,0.000021,1.425708,0.001773,1.339942,0.000058,0.269970,0.295649,1.465417,-0.008673,0,2.237736,1,stable,0.295649,-0.000000,0.000000,0.293459,0.001773,1.339942
1.100000,-0.001516,0.943205,0.000000,0.004084,0,0.000034,1.421728,0.001969,1.331227,0.000076,0.308921,0.280867,1.461233,-0.023463,0,2.330160,1,stable,0.280867,-0.000000,0.000000,0.309334,0.001969,1.331227
1.200000,-0.001350,0.952136,0.000000,0.004484,0,0.000018,1.416146,0.002177,1.323459,0.000129,0.257814,0.266823,1.461233,-0.039792,0,2.299448,1,stable,0.266823,-0.000000,0.000000,0.324303,0.002177,1.323459
1.300000,-0.001053,0.953688,0.000000,0.004899,0,0.000020,1.409160,0.002396,1.317356,0.000170,0.184909,0.253482,1.461233,-0.055820,0,2.163900,1,stable,0.253482,-0.000000,0.000000,0.338318,0.002396,1.317356
1.400000,-0.000703,0.949772,0.000000,0.005329,0,0.000018,1.401106,0.002626,1.313467,0.000173,0.096952,0.240808,1.461233,-0.069864,0,2.155363,1,stable,0.240808,-0.000000,0.000000,0.351335,0.002626,1.313467
1.500000,-0.000279,0.942661,0.000000,0.005771,0,0.000017,1.392421,0.002867,1.312132,0.000164,0.039045,0.228768,1.461233,-0.080542,0,2.157485,1,stable,0.228768,-0.000000,0.000000,0.363320,0.002867,1.312132
1.600000,0.000290,0.934548,0.000000,0.006224,0,0.000018,1.389197,0.003117,1.313467,0.000157,0.019455,0.217329,1.456671,-0.086851,0,2.160688,1,stable,0.217329,0.000000,0.000000,0.374240,0.003117,1.313467
1.700000,0.000984,0.927558,0.000000,0.006686,0,0.000017,1.391409,0.003376,1.317356,0.000156,0.094738,0.206463,1.456671,-0.032238,0,2.163900,1,stable,0.206463,0.000000,0.000000,0.384069,0.003376,1.317356
1.800000,0.001575,0.923592,-0.000000,0.007155,0,0.000017,1.392949,0.003644,1.323459,0.000154,0.228788,0.196140,1.456671,0.022119,0,2.160688,1,stable,0.196140,0.000000,0.000000,0.392784,0.003644,1.323459
1.900000,0.001703,0.923588,-0.000000,0.007628,0,0.000017,1.393375,0.003918,1.331227,0.000146,0.340357,0.186333,1.456671,0.015397,0,2.241376,1,stable,0.186333,0.000000,0.000000,0.400369,0.003918,1.331227
2,0.001119,0.926469,-0.000000,0.008105,0,0.000017,1.392347,0.004200,1.339942,0.000203,0.349793,0.177016,1.456671,0.004265,0,2.418110,1,stable,0.177016,0.000000,0.000000,0.406809,0.004200,1.339942
2.100000,-0.000127,0.928852,-0.000000,0.008582,0,0.000017,1.389658,0.004487,1.348769,0.000366,0.320106,0.168165,1.451834,-0.010275,0,2.412174,1,stable,0.168165,-0.000000,0.000000,0.412092,0.004487,1.348769
2.200000,-0.001516,0.926365,-0.000000,0.009058,0,0.000017,1.385258,0.004778,1.356829,0.000503,0.382060,0.159757,1.451834,-0.026893,0,2.418110,1,stable,0.159757,-0.000000,0.000000,0.416209,0.004778,1.356829
2.300000,-0.002199,0.916137,-0.000000,0.009530,0,0.000017,1.379273,0.005073,1.363293,0.000479,0.563596,0.151769,1.451834,-0.043999,0,2.412174,1,stable,0.151769,-0.000000,0.000000,0.419154,0.005073,1.363293
2.400000,-0.001869,0.899078,0.000000,0.009997,0,0.000017,1.371999,0.005370,1.367475,0.000575,0.543881,0.144181,1.451834,-0.059853,0,2.933693,1,stable,0.144181,-0.000000,0.000000,0.420923,0.005370,1.367475
2.500000,-0.001201,0.880554,0.000000,0.010456,0,0.000017,1.363883,0.005668,1.368921,0.000894,0.415284,0.136972,1.451834,-0.072735,0,2.773497,1,stable,0.136972,-0.000000,0.000000,0.421513,0.005668,1.368921
2.600000,-0.000907,0.868472,0.000000,0.010904,0,0.000017,1.361283,0.005966,1.367475,0.000887,0.300213,0.130123,1.448015,-0.081160,0,2.474391,1,stable,0.130123,-0.000000,0.000000,0.420923,0.005966,1.367475
2.700000,-0.000890,0.869010,0.000000,0.011341,0,0.000017,1.364207,0.006262,1.363293,0.000835,0.256942,0.123617,1.448015,-0.026002,0,2.425385,1,stable,0.123617,-0.000000,0.000000,0.419154,0.006262,1.363293
2.800000,-0.000474,0.882722,0.000000,0.011764,0,0.000018,1.366274,0.006556,1.356829,0.000824,0.240936,0.117436,1.448015,0.029236,0,2.447191,1,stable,0.117436,-0.000000,0.000000,0.416209,0.006556,1.356829
2.900000,0.000394,0.904370,0.000000,0.012170,0,0.000018,1.367005,0.006845,1.348769,0.000799,0.242138,0.111564,1.448015,0.020671,0,2.469393,1,stable,0.111564,0.000000,0.000000,0.412092,0.006845,1.348769
3,0.001024,0.926469,-0.000000,0.012558,0,0.000018,1.366070,0.007128,1.339942,0.000821,0.287126,0.105986,1.448015,0.007310,0,2.612626,1,stable,0.105986,0.000000,0.000000,0.406809,0.007128,1.339942
3.100000,0.001071,0.943205,-0.000000,0.012927,0,0.000018,1.363318,0.007403,1.331227,0.000775,0.357641,0.100687,1.445248,-0.009350,0,2.469393,1,stable,0.100687,0.000000,0.000000,0.400369,0.007403,1.331227
3.200000,0.000653,0.952136,-0.000000,0.013273,0,0.000019,1.358782,0.007670,1.323459,0.000816,0.389157,0.095652,1.445248,-0.027519,0,2.447191,1,stable,0.095652,0.000000,0.000000,0.392784,0.007670,1.323459
3.300000,0.000151,0.953688,-0.000000,0.013596,0,0.000018,1.352665,0.007927,1.317356,0.000849,0.410650,0.090870,1.445248,-0.045357,0,2.469393,1,stable,0.090870,0.000000,0.000000,0.384069,0.007927,1.317356
3.400000,0.000096,0.949772,-0.000000,0.013894,0,0.000018,1.345307,0.008172,1.313467,0.000821,0.426499,0.086326,1.445248,-0.061173,0,2.612626,1,stable,0.086326,0.000000,0.000000,0.374240,0.008172,1.313467
3.500000,0.000485,0.942661,-0.000000,0.014165,0,0.000018,1.337153,0.008405,1.312132,0.000823,0.444779,0.082010,1.445248,-0.073574,0,2.773497,1,stable,0.082010,0.000000,0.000000,0.363320,0.008405,1.312132
3.600000,0.000578,0.934548,-0.000000,0.014408,3,0.000018,1.334303,0.008623,1.313467,0.000847,0.459996,0.077910,1.443098,-0.081543,0,2.933693,1,stable,0.077910,0.000000,0.000000,0.351335,0.008623,1.313467
3.700000,-0.000075,0.927558,-0.000000,0.014623,3,0.000018,1.336741,0.008826,1.317356,0.000805,0.474218,0.074014,1.443098,-0.028506,0,3.113528,1,stable,0.074014,-0.000000,0.000000,0.338318,0.008826,1.317356
3.800000,-0.001241,0.923592,-0.000000,0.014808,3,0.000018,1.338372,0.009012,1.323459,0.000870,0.463766,0.070313,1.443098,0.024379,0,3.121190,1,stable,0.070313,-0.000000,0.000000,0.324303,0.009012,1.323459
3.900000,-0.002418,0.923588,0.000000,0.014962,3,0.000018,1.338773,0.009181,1.331227,0.000904,0.464154,0.066798,1.443098,0.016317,0,3.113528,1,stable,0.066798,-0.000000,0.000000,0.309334,0.009181,1.331227
4,-0.002443,0.926469,0.000000,0.015086,3,0.000018,1.337620,0.009332,1.339942,0.000873,0.436071,0.063458,1.443098,0.004005,0,3.226198,1,stable,0.063458,-0.000000,0.000000,0.293459,0.009332,1.339942
4.100000,-0.000927,0.928852,0.000000,0.015180,3,0.000019,1.334729,0.009464,1.348769,0.001029,0.363655,0.060285,1.441388,-0.011526,0,3.081725,1,stable,0.060285,-0.000000,0.000000,0.276734,0.009464,1.348769
4.200000,0.000319,0.926365,0.000000,0.015244,3,0.000018,1.330075,0.009578,1.356829,0.001462,0.295236,0.057271,1.441388,-0.028915,0,2.902976,1,stable,0.057271,0.000000,0.000000,0.259218,0.009578,1.356829
4.300000,0.000319,0.916137,0.000000,0.015279,3,0.000018,1.326425,0.009672,1.363293,0.001286,0.312962,0.054407,1.441388,-0.046538,0,3.081725,1,stable,0.054407,0.000000,0.000000,0.240981,0.009672,1.363293
4.400000,-0.000387,0.899078,0.000000,0.015285,3,0.000018,1.322627,0.009748,1.367475,0.001436,0.331588,0.051687,1.441388,-0.036499,0,3.259724,1,stable,0.051687,0.000000,0.000000,0.222096,0.009748,1.367475
4.500000,-0.000890,0.880554,-0.000000,0.015264,3,0.000018,1.317830,0.009805,1.368921,0.001499,0.369322,0.049102,1.441388,-0.037977,0,3.459545,1,stable,0.049102,0.000000,0.000000,0.202643,0.009805,1.368921
4.600000,-0.000364,0.868472,-0.000000,0.015219,0,0.000019,1.318404,0.009845,1.367475,0.001433,0.406380,0.046647,1.439820,-0.047971,0,3.259724,1,stable,0.046647,0.000000,0.000000,0.182707,0.009845,1.367475
4.700000,0.000275,0.869010,-0.000000,0.015150,0,0.000018,1.324369,0.009868,1.363293,0.001534,0.432655,0.044315,1.439820,0.005735,0,3.459545,1,stable,0.044315,0.000000,0.000000,0.162379,0.009868,1.363293
4.800000,0.000500,0.882722,-0.000000,0.015061,0,0.000019,1.329358,0.009875,1.356829,0.001475,0.458841,0.042099,1.439820,0.059650,0,3.468059,1,stable,0.042099,0.000000,0.000000,0.141753,0.009875,1.356829
4.900000,0.000413,0.904370,-0.000000,0.014953,0,0.000018,1.332908,0.009869,1.348769,0.001448,0.481298,0.039994,1.439820,0.049898,0,3.476614,1,stable,0.039994,0.000000,0.000000,0.120927,0.009869,1.348769
5,-0.000139,0.926469,-0.000000,0.014829,0,0.000018,1.334703,0.009850,1.339942,0.001435,0.493124,0.037995,1.439820,0.035497,0,3.481775,1,stable,0.037995,-0.000000,0.000000,0.100000,0.009850,1.339942
5.100000,-0.000730,0.943205,-0.000000,0.014692,0,0.000018,1.334608,0.009820,1.331227,0.001443,0.494634,0.036095,1.438175,0.017949,0,3.486951,1,stable,0.036095,-0.000000,0.000000,0.079073,0.009820,1.331227
5.200000,-0.000973,0.952136,-0.000000,0.014545,0,0.000018,1.332672,0.009781,1.323459,0.001410,0.509777,0.034290,1.438175,-0.000951,0,3.481775,1,stable,0.034290,-0.000000,0.000001,0.058247,0.009781,1.323459
5.300000,-0.001140,0.953688,-0.000000,0.014391,0,0.000018,1.329112,0.009735,1.317356,0.001393,0.524241,0.032576,1.438175,-0.019363,0,3.476614,1,stable,0.032576,-0.000000,0.000001,0.037621,0.009735,1.317356
5.400000,-0.001312,0.949772,0.000000,0.014232,0,0.000020,1.324284,0.009684,1.313467,0.001367,0.540937,0.030947,1.438175,-0.035600,0,3.468059,1,stable,0.030947,-0.000000,0.000001,0.017293,0.009684,1.313467
5.500000,-0.001102,0.942661,0.000000,0.014149,0,0.000019,1.317523,0.009683,1.312132,0.001341,0.564538,0.029399,1.438175,-0.048275,0,3.459545,1,stable,0.029399,-0.000000,0.000001,0.001000,0.009683,1.312132
5.600000,-0.000720,0.934548,0.000000,0.014404,3,0.000022,1.340336,0.009920,1.313467,0.001334,0.568518,0.027929,1.436339,-0.067614,0,3.403056,1,stable,0.027929,-0.000000,0.000002,0.001000,0.009920,1.313467
5.700000,-0.000616,0.927558,0.000000,0.014658,3,0.000017,1.345133,0.010158,1.317356,0.001314,0.561888,0.026533,1.436339,0.228134,0,3.394215,1,stable,0.026533,-0.000000,0.000002,0.001000,0.010158,1.317356
5.800000,-0.000300,0.923592,0.000000,0.014910,3,0.000019,1.349162,0.010396,1.323459,0.001291,0.559577,0.025206,1.436339,0.047966,0,3.426569,1,stable,0.025206,-0.000000,0.000003,0.001000,0.010396,1.323459
5.900000,-0.000082,0.923588,-0.000000,0.015160,3,0.000016,1.351991,0.010633,1.331227,0.001267,0.564645,0.023946,1.436339,0.040289,0,3.459545,1,stable,0.023946,0.000000,0.000005,0.001000,0.010633,1.331227
6,-0.000613,0.926469,-0.000000,0.015408,3,0.000016,1.353288,0.010871,1.339942,0.001244,0.570079,0.022749,1.436339,0.028289,0,3.468059,1,stable,0.022749,0.000000,0.000006,0.001000,0.010871,1.339942
6.100000,-0.000521,0.928852,-0.000000,0.015655,3,0.000018,1.352854,0.011108,1.348769,0.001275,0.563014,0.021611,1.434249,0.012971,0,3.476614,1,stable,0.021611,0.000000,0.000008,0.001000,0.011108,1.348769
6.200000,-0.000368,0.926365,-0.000000,0.015899,3,0.000018,1.350651,0.011344,1.356829,0.001237,0.572040,0.020531,1.434249,-0.004334,0,3.481775,1,stable,0.020531,0.000000,0.000011,0.001000,0.011344,1.356829
6.300000,-0.000399,0.916137,-0.000000,0.016141,3,0.000018,1.346812,0.011579,1.363293,0.001208,0.580978,0.019504,1.434249,-0.022034,0,3.486951,1,stable,0.019504,-0.000000,0.000015,0.001000,0.011579,1.363293
