t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000004,0.991674,0,0.001002,0,0.000024,0,0.000457,1.339942,0,0.100000,0.493789,0,0,0,1,1,stable,0.493788,-0.000000,0.383442,0.383442,0.100000,0.000457,1.339942
0.100000,0.001825,0.992522,0,0.001655,0,0.000022,0.172781,0.000765,1.342872,0,0.100000,0.468957,0.172781,0,0,1,1,stable,0.469099,0.000142,0.384032,0.384032,0.120927,0.000765,1.342872
0.200000,0.005065,0.992728,-0.000000,0.002600,0,0.000022,0.248520,0.001227,1.345525,0,0.100000,0.445262,0.248520,1.727813,0,1,1,stable,0.445655,0.000394,0.384625,0.384625,0.141753,0.001227,1.345525
0.300000,0.008621,0.992063,-0.000008,0.003892,0,0.000022,0.345931,0.001888,1.347639,0.000000,0.100000,0.422735,0.345931,0.757382,0,1,1,stable,0.423404,0.000670,0.385222,0.385222,0.162379,0.001888,1.347639
0.400000,0.010271,0.990669,-0.000021,0.005561,0,0.000022,0.463815,0.002790,1.348999,0.000584,0.100000,0.401491,0.463815,0.974116,0,1,1,stable,0.402288,0.000797,0.385823,0.385823,0.182707,0.002790,1.348999
0.500000,0.009062,0.989045,-0.000039,0.007562,0,0.000022,0.589111,0.003949,1.349468,0.005532,0.100000,0.381536,0.589111,1.178837,0,1,1,stable,0.382238,0.000703,0.386427,0.386427,0.202643,0.003949,1.349468
0.600000,0.006714,0.987842,-0.000059,0.009767,0,0.000022,0.714300,0.005358,1.348999,0.012314,0.100000,0.362661,0.714300,1.252958,0,1,1,stable,0.363183,0.000522,0.387035,0.387035,0.222096,0.005358,1.348999
0.700000,0.003713,0.987566,-0.000062,0.012065,0,0.000022,0.858328,0.007049,1.347639,0.011425,0.100000,0.344775,0.858328,1.251892,0,1,1,stable,0.345066,0.000291,0.387646,0.387646,0.240981,0.007049,1.347639
0.800000,-0.005172,0.988351,-0.000027,0.014499,3,0.000022,1.048804,0.009115,1.345525,0.010400,0.100000,0.328238,1.048804,1.440280,0,1,1,stable,0.327837,-0.000401,0.388262,0.388262,0.259218,0.009115,1.345525
0.900000,-0.025662,0.989907,0.000045,0.017147,3,0.000022,1.073873,0.011556,1.342872,0.019567,0.100000,0.313418,1.073873,1.904757,0,1,1,stable,0.311412,-0.002006,0.388880,0.388880,0.276734,0.011556,1.342872
1,-0.046781,0.991674,0.000101,0.019889,3,0.000022,0.962345,0.014243,1.339943,0.075671,0.638820,0.299349,1.061338,0.250690,0,4.317901,1,stable,0.295680,-0.003670,0.389503,0.389503,0.293459,0.014243,1.339943
1.100000,-0.051740,0.993071,0.000083,0.023168,1,0.000022,0.970186,0.017590,1.337027,0.063215,0.644433,0.284666,1.028340,-1.115281,0,6.967889,1,stable,0.280599,-0.004067,0.390129,0.390129,0.309334,0.017590,1.337027
1.200000,-0.033913,0.993711,0.000032,0.028017,3,0.000022,1.087044,0.022374,1.334406,0.195349,0.496559,0.268911,1.030954,0.078412,0,6.748197,1,stable,0.266240,-0.002671,0.390759,0.390759,0.324303,0.022374,1.334406
1.300000,-0.001368,0.993500,0.000061,0.035121,3,0.000027,1.154581,0.028972,1.332334,0.479153,0.335126,0.252833,1.069907,1.168579,0,6.001861,1,stable,0.252712,-0.000122,0.391393,0.391393,0.338318,0.028972,1.332334
1.400000,-0.007200,0.992622,0.000259,0.043986,3,0.000023,1.104033,0.037058,1.331011,0.568550,0.350636,0.240653,1.105166,0.675372,0,6.748197,1,stable,0.240066,-0.000587,0.392031,0.392031,0.351335,0.037058,1.331011
1.500000,-0.068412,0.991442,0.000537,0.050327,0,0.000022,0.785268,0.043859,1.330554,0.839513,0.403501,0.233458,1.115219,-0.505482,0,7.185949,1,stable,0.228015,-0.005442,0.392672,0.392672,0.363320,0.043859,1.330554
1.600000,-0.031648,0.990387,0.000460,0.054061,1,0.000022,0.882387,0.048538,1.330996,2.076266,0.712585,0.218736,1.104882,-3.187644,0,8.648389,1,stable,0.216174,-0.002561,0.393317,0.393317,0.374240,0.048538,1.330996
1.700000,0.131151,0.989817,-0.000194,0.064103,1,0.000023,0.882304,0.058751,1.332307,3.011490,0.643274,0.194816,1.104882,0.971190,0,7.935856,1,stable,0.205158,0.010343,0.393966,0.393966,0.384069,0.058751,1.332307
1.800000,0.291432,0.989924,-0.000694,0.081699,1,0.000022,1.186002,0.076698,1.334369,8.722700,0.859403,0.172687,1.104882,-0.000836,0,14.834226,1,stable,0.195737,0.023050,0.394619,0.394619,0.392784,0.076698,1.334369
1.900000,0.229306,0.990647,-0.000752,0.100182,3,0.000022,1.000872,0.095461,1.336990,6.992410,0.849910,0.169698,1.132915,3.036984,0,32.161536,1,stable,0.187815,0.018117,0.395276,0.395276,0.400369,0.095461,1.336990
2,0.080650,0.991674,-0.000510,0.104416,3,0.000022,0.812921,0.099160,1.339886,19.245431,0.678580,0.173569,1.132915,-1.851301,0,30.149262,1,stable,0.179890,0.006321,0.395936,0.395936,0.406809,0.099160,1.339886
2.100000,-0.015360,0.992522,-0.000355,0.101585,1,0.000022,0.684313,0.098851,1.342846,20.182437,0.628258,0.172703,1.121106,-1.879511,0,28.373968,1,stable,0.171407,-0.001296,0.396600,0.396600,0.412092,0.098851,1.342846
2.200000,-0.014310,0.992728,0.000054,0.105761,4,0.000022,1.154229,0.105423,1.345543,18.126640,0.631263,0.163971,1.121106,-1.286081,0,22.740804,1,stable,0.162732,-0.001239,0.397268,0.397268,0.416209,0.105423,1.345543
2.300000,-0.113527,0.992063,0.000236,0.120194,4,0.000022,0.688946,0.118521,1.347682,20.200664,0.646469,0.163684,1.137178,4.699164,0,20.365158,1,stable,0.154495,-0.009189,0.397940,0.397940,0.419154,0.118521,1.347682
2.400000,0.135732,0.990669,0.000431,0.124630,4,0.000022,1.233960,0.121362,1.348976,18.412573,0.680536,0.135256,1.137178,-4.652826,0,19.644911,1,stable,0.146027,0.010771,0.398616,0.398616,0.420923,0.121362,1.348976
2.500000,0.432656,0.989045,-0.000535,0.151871,1,0.000022,0.880874,0.146943,1.349501,37.417090,0.789043,0.105039,1.166561,5.450133,0,18.973868,1,stable,0.139597,0.034558,0.399296,0.399296,0.421513,0.146943,1.349501
2.600000,0.286851,0.987842,-0.000077,0.177275,4,0.000022,0.788172,0.170897,1.349147,31.004643,0.799564,0.112471,1.153308,-3.530858,0,21.094043,1,stable,0.135413,0.022942,0.399979,0.399979,0.420923,0.170897,1.349147
2.700000,-0.317635,0.987566,0.000717,0.174100,3,0.000022,0.324144,0.167719,1.347734,59.916095,0.675273,0.156261,1.153308,-0.927014,0,16.859823,1,stable,0.130498,-0.025763,0.400667,0.400667,0.419154,0.167719,1.347734
2.800000,-0.368623,0.988351,0.000344,0.134746,4,0.000023,1.505486,0.131142,1.345415,116.459125,0.816606,0.151721,1.153308,-4.640282,0,15.098891,1,stable,0.121889,-0.029833,0.401358,0.401358,0.416209,0.131142,1.345415
2.900000,-0.128533,0.989907,-0.001358,0.134081,1,0.000022,0.823945,0.133460,1.342835,110.236854,0.740603,0.123937,1.223048,11.813422,0,13.671015,1,stable,0.113381,-0.010556,0.402054,0.402054,0.412092,0.133460,1.342835
3,0.144744,0.991674,-0.000333,0.157696,4,0.000022,0.723289,0.153621,1.340052,123.597357,0.713234,0.095405,1.223048,-6.815411,0,13.198553,1,stable,0.106858,0.011453,0.402753,0.402753,0.406809,0.153621,1.340052
3.100000,-0.003794,0.993071,0.001070,0.173415,3,0.000022,0.441170,0.167781,1.337254,117.210574,0.712617,0.102941,1.203619,-1.006566,0,12.757657,1,stable,0.102442,-0.000499,0.403457,0.403457,0.400369,0.167781,1.337254
3.200000,-0.080052,0.993711,0.002052,0.161449,4,0.000022,0.809410,0.159289,1.334360,137.929750,0.706928,0.104037,1.203619,-2.821191,0,13.198553,1,stable,0.097279,-0.006758,0.404164,0.404164,0.392784,0.159289,1.334360
3.300000,0.067044,0.993500,0.000185,0.165729,1,0.000022,0.557107,0.161691,1.332056,120.587652,0.718723,0.086586,1.203619,3.682409,0,12.757657,1,stable,0.091868,0.005282,0.404875,0.404875,0.384069,0.161691,1.332056
3.400000,0.288235,0.992622,-0.001643,0.179160,4,0.000022,0.730906,0.173287,1.330660,123.597205,0.722439,0.064375,1.203619,-2.523038,0,10.723294,1,stable,0.087702,0.023328,0.405591,0.405591,0.374240,0.173287,1.330660
3.500000,0.114076,0.991442,-0.002128,0.192532,4,0.000022,0.399662,0.185563,1.330347,120.708857,0.762975,0.075951,1.203619,1.737991,0,9.248507,1,stable,0.085204,0.009254,0.406310,0.406310,0.363320,0.185563,1.330347
