t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),G_arch_used,In_mean(t),An_mean(t),fn_mean(t),spacing_gamma_bias,spacing_G_hint,spacing_planning_hint,best_pair_gamma,best_pair_G,best_pair_score,temporal_coherence,autocorr_tau,decorrelation_time,tau_S,tau_gamma,tau_A_mean,tau_f_mean
0,0,1,0,0.001002,0,0.000037,0,0.000457,1.532226,0,1,0.100037,0.493788,0,0,0,1,1,1,stable,0.493788,0,0.100000,0.100000,adaptive,0.100000,0.000457,1.532226,0,0,0,0.100000,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.100000,0.000867,1.000000,0,0.002055,0,0.000047,3.258034,0.000959,1.535085,0,1,0.100029,0.444262,3.258034,0,0,1,1,1,stable,0.444409,0.000148,0.237969,0.261096,adaptive,0.120927,0.000959,1.535085,0,0,0,0.237969,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.200000,0.002513,0.999999,0,0.003746,0,0.000045,1.763693,0.001821,1.537949,0,1,0.100028,0.399319,1.763693,32.580343,0,1,1,1,stable,0.399992,0.000674,0.337417,0.370261,adaptive,0.141753,0.001821,1.537949,0,0,0,0.337417,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.300000,0.003830,0.999999,-0.000008,0.006317,0,0.000045,0.664611,0.003245,1.540815,0,1,0.100033,0.358791,0.664611,-14.943415,0,1,1,1,stable,0.360102,0.001311,0.350925,0.385156,adaptive,0.162379,0.003245,1.540815,0,0,0,0.350925,adaptive,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.400000,0.003613,0.999998,-0.000036,0.009848,0,0.000044,2.324424,0.005406,1.543679,0.000658,0.993307,0.100002,0.321776,2.324424,-10.990822,0,1,1,1,stable,0.324304,0.002528,0.518289,0.568968,resonance,0.182707,0.005406,1.543679,0,0,0,0.518289,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.500000,0.004087,0.999997,-0.000086,0.014971,0,0.000073,1.656058,0.008751,1.546540,0.006348,0.993306,0.100001,0.288764,1.656058,16.598130,0,1,1,1,stable,0.292283,0.003519,0.584228,0.641474,tanh,0.202643,0.008751,1.546540,0,0,0,0.584228,tanh,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.600000,0.004939,0.999996,-0.000213,0.020393,0,0.000067,1.941925,0.013027,1.549393,0.002047,0.993307,0.100000,0.259483,1.941925,-6.683653,0,1,1,1,stable,0.263624,0.004141,0.656693,0.721241,spiral_log,0.222096,0.013027,1.549393,0,0,0,0.656693,spiral_log,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.700000,0.003134,0.999994,-0.000255,0.025772,3,0.000081,2.395589,0.018513,1.552236,0.001281,0.993307,0.100000,0.234508,2.395589,2.858668,0,1,1,1,stable,0.237931,0.003423,0.801393,0.880567,resonance,0.240981,0.018513,1.552236,0,0,0,0.801393,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.800000,-0.004079,0.999992,-0.000065,0.032386,3,0.000070,1.711271,0.025412,1.555070,0.004803,0.993306,0.100009,0.218657,1.711271,4.536635,0,1,1,1,stable,0.214692,-0.003965,0.877220,0.945792,resonance,0.259218,0.025412,1.555070,0,0,0,0.877220,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
0.900000,-0.014013,0.999991,0.000336,0.032891,1,0.000107,1.479528,0.029170,1.557895,0.038354,0.993300,0.100041,0.202771,1.479528,-6.843178,0,1,1,1,stable,0.192582,-0.010190,0.919905,0.984481,resonance,0.276734,0.029170,1.557895,0,0,0,0.919905,resonance,0,0.500000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
