state,curiosity,boredom,satisfaction,fatigue,label
0,0.5258599885429577,0.2631982080357911,0.432952360315725,0.8066471618172236,fatigue
1,0.5264824756025319,0.2631978922890482,0.4329523630870598,0.8066471678747157,fatigue
2,0.5261014198939705,0.26319805697117765,0.4329523618193002,0.8066471648127382,fatigue
3,0.5278713312629381,0.2631980536585419,0.43295236031624595,0.8066471618193737,fatigue
