t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t),gamma_regime,G_arch_used
2.300000,-0.037244,0.992063,0.000119,0.112351,2,0.000047,1.050867,0.111136,1.347665,0.363655,0.993238,0.762119,0.166351,16.274205,6.497361,0,7.487780,0.694891,0.960132,chronique,0.159500,-0.006851,0.289313,0.289313,0.419154,0.111136,1.347665,0,0
2.400000,-0.009847,0.990669,0.000296,0.119933,4,0.000048,3.214407,0.118226,1.348979,0.355563,0.993239,0.712800,0.139630,16.274205,-24.111127,0,8.728551,0.695306,0.949080,transitoire,0.150971,0.011341,0.515752,0.515752,0.420923,0.118226,1.348979,0,0
2.500000,-0.014889,0.989045,-0.000364,0.151125,1,0.000047,1.686582,0.145022,1.349499,0.608641,0.993191,0.696778,0.092489,16.350898,21.635404,0,8.682712,0.695325,0.938929,chronique,0.144340,0.051851,0.593140,0.593140,0.421513,0.145022,1.349499,0,0
2.600000,-0.007806,0.987842,-0.000108,0.187389,4,0.000049,1.737566,0.179567,1.349210,0.530667,0.993206,0.740551,0.097036,14.097572,-15.278247,0,6.246519,0.695326,0.929560,chronique,0.141317,0.044282,0.701812,0.701812,0.420923,0.179567,1.349210,0,0
2.700000,-0.096733,0.987566,0.000971,0.188021,4,0.000046,1.294755,0.178351,1.347807,0.415496,0.993228,0.751552,0.195452,14.097572,0.509835,0,4.877884,0.695174,0.920885,chronique,0.137834,-0.057618,0.837891,0.837891,0.419154,0.178351,1.347807,0,0
2.800000,-0.057489,0.988351,0.000561,0.116068,4,0.000044,4.368687,0.104994,1.345325,2.011208,0.992914,0.881524,0.180494,14.097572,-4.428107,0,12.529003,0.695975,0.912823,transitoire,0.126281,-0.054213,0.977213,0.977213,0.416209,0.104994,1.345325,0,0
2.900000,-0.031744,0.989907,-0.003249,0.113708,4,0.000044,2.940087,0.110969,1.342895,2.576067,0.992800,0.803714,0.123233,14.353863,30.739318,0,12.391903,0.696367,0.905346,transitoire,0.115581,-0.007653,0.913598,0.913598,0.412092,0.110969,1.342895,0,0
3,-0.072015,0.991674,0.000240,0.159030,4,0.000102,29.010801,0.149750,1.340141,1.315642,0.993053,0.766067,0.103270,14.353863,-14.286001,0,12.376389,0.696544,0.898380,transitoire,0.109183,0.005912,0.139670,0.139670,0.406809,0.149750,1.340141,0,0
3.100000,-0.095514,0.993071,0.001787,0.174445,2,0.000102,2.289000,0.171569,1.337107,1.826693,0.992951,0.793170,0.106269,16.447711,260.707144,0,12.360913,0.697138,0.891869,transitoire,0.104202,-0.002067,0.182616,0.182616,0.400369,0.171569,1.337107,0,0
3.200000,-0.101338,0.993711,0.000717,0.167710,4,0.000109,2.476926,0.165828,1.334397,1.411013,0.993034,0.771520,0.107311,16.447711,-267.218013,0,11.342749,0.697921,0.885784,transitoire,0.098825,-0.008486,0.317625,0.317625,0.392784,0.165828,1.334397,0,0
