t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000001,0.926469,0,0.000935,0,0.000022,0,0.000426,1.339942,0,0.100000,0.493788,0,0,0,1,1,stable,0.493788,-0.000000,0.006693,0.050000,0.000426,1.339942
0.100000,0.000045,0.928852,0,0.001544,0,0.000019,0.677540,0.000714,1.348769,0,0.100000,0.469096,0.677540,0,0,1,1,stable,0.469099,0.000003,0.007034,0.070927,0.000714,1.348769
0.200000,0.000107,0.926365,-0.000000,0.002395,0,0.000019,0.648427,0.001131,1.356829,0,0.100000,0.445636,0.648427,6.775398,0,1,1,stable,0.445644,0.000008,0.007392,0.091753,0.001131,1.356829
0.300000,0.000140,0.916137,-0.000000,0.003520,0,0.000019,0.624429,0.001710,1.363293,0.000000,0.100000,0.423350,0.624429,-0.291132,0,1,1,stable,0.423363,0.000012,0.007768,0.112379,0.001710,1.363293
0.400000,0.000090,0.899078,-0.000000,0.004939,0,0.000019,0.605745,0.002489,1.367475,0.000001,0.100000,0.402184,0.605745,-0.239971,0,1,1,stable,0.402195,0.000012,0.008163,0.132707,0.002489,1.367475
0.500000,-0.000016,0.880554,-0.000001,0.006666,0,0.000019,0.592530,0.003511,1.368921,0.000005,0.100000,0.382082,0.592530,-0.186841,0,1,1,stable,0.382087,0.000004,0.008577,0.152643,0.003511,1.368921
0.600000,-0.000054,0.868472,-0.000001,0.008710,0,0.000018,0.590924,0.004826,1.367475,0.000006,0.100000,0.362986,0.590924,-0.132155,0,1,1,stable,0.362983,-0.000003,0.009013,0.172096,0.004826,1.367475
0.700000,-0.000015,0.869010,-0.000001,0.011086,0,0.000018,0.600848,0.006493,1.363293,0.000010,0.100000,0.344841,0.600848,-0.016057,0,1,1,stable,0.344833,-0.000007,0.009471,0.190981,0.006493,1.363293
0.800000,-0.000084,0.882722,0.000000,0.013817,0,0.000018,0.615473,0.008581,1.356829,0.000015,0.100000,0.327614,0.615473,0.099240,0,1,1,stable,0.327591,-0.000023,0.009952,0.209218,0.008581,1.356829
0.900000,-0.000379,0.904370,0.000002,0.016934,0,0.000018,0.632947,0.011163,1.348769,0.000011,0.100000,0.311274,0.632947,0.146252,0,1,1,stable,0.311210,-0.000065,0.010457,0.226734,0.011163,1.348769
