t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,0.002301,0.991674,0,0.156013,2,0.000030,0,0.150349,1.339942,0,1,0.100000,0.493701,0,0,0,1,1,1,stable,0.493788,0.000087,0.100000,0.100000,0.100000,0.150349,1.339942
0.100000,0.192136,0.992522,0,0.160680,1,0.000023,2.924715,0.154888,1.342864,0,1,0.166299,0.444569,2.924715,0,0,1,1,1,stable,0.469106,0.024537,0.223947,0.223947,0.120927,0.154888,1.342864
0.200000,0.167052,0.992728,-0.000086,0.165401,1,0.000022,1.067674,0.159477,1.345556,0,1,0.165540,0.418245,1.067674,29.247154,0,1,1,1,stable,0.447636,0.029390,0.274028,0.274028,0.141753,0.159477,1.345556
0.300000,0.004371,0.992063,0.000336,0.170149,1,0.000022,1.467145,0.164091,1.347611,0.000000,0.993307,0.100000,0.413251,1.467145,-18.570412,0,1,1,1,stable,0.427631,0.014381,0.372213,0.372213,0.162379,0.164091,1.347611
0.400000,0.010118,0.990669,-0.000347,0.174896,1,0.000021,2.030510,0.168702,1.348825,7.189660,0.991793,0.100000,0.392341,2.030510,3.994712,0,1,1,1,stable,0.407413,0.015073,0.598289,0.598289,0.182707,0.168702,1.348825
0.500000,0.005531,0.989045,-0.001910,0.179613,1,0.000049,0.666989,0.173282,1.349325,80.103852,0.937691,0.100000,0.359152,0.666989,5.633650,0,1,1,1,stable,0.388262,0.029110,0.669670,0.669670,0.202643,0.173282,1.349325
0.600000,-0.013927,0.987842,-0.001668,0.184272,1,0.000043,0.376479,0.177806,1.349191,52.138636,0.970980,0.100000,0.359874,0.376479,-13.635212,0,1,1,1,stable,0.371204,0.011330,0.704645,0.704645,0.222096,0.177806,1.349191
0.700000,-0.099273,0.987566,0.001299,0.188846,1,0.000043,0.798750,0.182244,1.347899,44.949850,0.976240,0.100000,0.359056,0.798750,-2.905107,0,1,1,1,stable,0.353560,-0.005495,0.814087,0.814087,0.240981,0.182244,1.347899
0.800000,0.040905,0.988351,0.001314,0.193307,1,0.000042,0.786800,0.186572,1.345690,37.117012,0.980914,0.100000,0.305540,0.786800,4.222714,0,1,1,1,stable,0.335438,0.029898,0.938451,0.938451,0.259218,0.186572,1.345690
0.900000,0.023129,0.989907,-0.000006,0.197630,1,0.000042,0.427273,0.190765,1.343103,71.450978,0.950666,0.100000,0.269164,0.427273,-0.119502,0,1,1,1,stable,0.321085,0.051920,1,1,0.276734,0.190765,1.343103
1,-0.097145,0.991674,0.001110,0.201791,1,0.000043,28.368515,0.194800,1.340072,43.488805,0.977190,0.611591,0.311512,2.477613,-3.595272,0,10.369974,1,1,transitoire,0.309231,-0.002282,0.150359,0.150359,0.293459,0.194800,1.340072
1.100000,-0.244331,0.993071,0.001495,0.205768,1,0.000046,0.669753,0.198655,1.336961,41.078584,0.978675,0.666491,0.305654,11.107914,279.412428,0,8.307120,1,1,chronique,0.293585,-0.012069,0.135189,0.135189,0.309334,0.198655,1.336961
1.200000,-0.195176,0.993711,-0.000362,0.209541,1,0.000045,2.945873,0.202312,1.334316,38.465024,0.980179,0.622647,0.301671,11.107914,-276.987625,0,7.631332,1,1,transitoire,0.277929,-0.023742,0.313750,0.313750,0.324303,0.202312,1.334316
1.300000,-0.214278,0.993500,-0.000588,0.213092,1,0.000044,1.278166,0.205753,1.332364,56.992661,0.966806,0.606481,0.273794,11.413035,22.761199,0,5.973195,1,1,chronique,0.262112,-0.011683,0.411446,0.411446,0.338318,0.205753,1.332364
1.400000,-0.220753,0.992622,0.000394,0.216404,1,0.000045,1.456402,0.208962,1.331435,42.176388,0.978011,0.591519,0.279204,11.413035,-16.677067,0,3.539765,1,1,chronique,0.248061,-0.031143,0.567646,0.567646,0.351335,0.208962,1.331435
1.500000,-0.253493,0.991442,0.003444,0.219466,1,0.000045,0.666554,0.211928,1.331034,39.778569,0.979437,0.544969,0.309544,11.413035,1.782360,0,2.515124,1,1,chronique,0.233139,-0.076406,0.644321,0.644321,0.363320,0.211928,1.331034
