t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,effort_status
0,0.009802,0.926469,0,0.134846,2,0.000028,0,0.129746,1.320000,0,0.100000,0.493788,0,0,0,1,stable
0.100000,0.397193,0.928852,0,0.118696,2,0.000036,1.795323,0.114424,1.320000,0,0.172805,0.000000,1.795323,0,0,1,stable
0.200000,0.330200,0.926365,0.000000,0.100774,2,0.000034,1.964867,0.097257,1.320000,0,0.170619,0.000000,1.964867,17.953226,0,1,stable
0.300000,0.072003,0.916137,0.000000,0.111405,1,0.000034,1.663984,0.107583,1.320000,0,0.100000,0.000000,1.663984,1.695448,0,1,stable
0.400000,-0.029457,0.899078,0.000000,0.127091,1,0.000034,1.773593,0.122762,1.320000,43.336263,0.100000,0.000000,1.773593,-3.008837,0,1,stable
0.500000,0.058277,0.880554,0.000000,0.142690,2,0.000034,1.719711,0.137836,1.320000,199.529810,0.100000,0.000000,1.719711,1.096089,0,1,stable
0.600000,0.011030,0.868472,-0.000000,0.157489,2,0.000034,1.659563,0.152117,1.320000,277.884152,0.100000,0.000000,1.659563,-0.538817,0,1,stable
0.700000,-0.021890,0.869010,0.000000,0.171101,2,0.000036,1.602351,0.165230,1.320000,183.984362,0.100000,0.000000,1.602351,-0.601477,0,1,stable
0.800000,0.207874,0.882722,0.000000,0.183297,2,0.000036,1.550397,0.176952,1.320000,172.612788,0.166779,0.000000,1.550397,-0.572127,0,1,stable
0.900000,0.360507,0.904370,-0.000000,0.193987,2,0.000036,1.504881,0.187196,1.320000,227.529418,0.171601,0.000000,1.504881,-0.519534,0,1,stable
1,0.210513,0.926469,0.000000,0.203195,2,0.000036,1.466092,0.195989,1.320000,176.095087,0.668763,0.000000,1.880095,-0.455161,0,6.097507,chronique
1.100000,0.003751,0.943205,0.000000,0.211016,2,0.000036,1.433711,0.203427,1.320000,176.131600,0.660615,0.000000,1.844594,-0.387893,0,5.516339,chronique
1.200000,-0.014697,0.952136,0.000000,0.217588,2,0.000037,1.407080,0.209651,1.320000,160.074748,0.592750,0.000000,1.844594,-0.323806,0,6.097507,chronique
1.300000,-0.051107,0.953688,0.000000,0.223064,2,0.000036,1.385398,0.214813,1.320000,173.257156,0.574553,0.000000,1.844594,-0.266313,0,6.815551,chronique
1.400000,-0.358068,0.949772,-0.000000,0.227596,2,0.000036,1.367857,0.219067,1.320000,152.422575,0.424056,0.000000,1.844594,-0.216814,0,7.262312,chronique
1.500000,-0.679765,0.942661,-0.000000,0.231327,2,0.000036,1.353708,0.222555,1.320000,146.953638,0.526676,0.000000,1.844594,-0.175412,0,6.815551,chronique
1.600000,-0.492667,0.934548,-0.000000,0.234384,2,0.000037,1.342295,0.225401,1.320000,135.802708,0.632651,0.000000,1.813373,-0.141494,0,10.435422,stable
1.700000,0.146870,0.927558,-0.000000,0.236875,2,0.000036,1.333066,0.227712,1.320000,225.020062,0.571034,0.000000,1.813373,-0.114125,0,9.440798,stable
1.800000,0.427444,0.923592,-0.000000,0.238891,2,0.000036,1.325562,0.229576,1.320000,312.187390,0.627552,0.000000,1.813373,-0.092292,0,6.211499,stable
1.900000,-0.085546,0.923588,0.000000,0.240507,2,0.000037,1.319411,0.231067,1.320000,258.135732,0.645000,0.000000,1.813373,-0.075036,0,4.628339,stable
2,-0.761927,0.926469,0.000000,0.241784,2,0.000038,1.314308,0.232242,1.320000,424.825190,0.643730,0.000000,1.813373,-0.061517,0,5.849541,stable
2.100000,-0.708346,0.928852,-0.000000,0.242770,2,0.000038,1.310008,0.233148,1.320000,391.225889,0.722788,0.000000,1.783496,-0.051027,0,5.187752,stable
2.200000,-0.244687,0.926365,-0.000000,0.243502,2,0.000033,1.306311,0.233818,1.320000,478.058475,0.569694,0.000000,1.783496,-0.042996,0,4.295634,stable
2.300000,-0.156444,0.916137,-0.000000,0.244006,2,0.000034,1.303049,0.234280,1.320000,517.701700,0.598365,0.000000,1.783496,-0.036974,0,3.665323,stable
2.400000,-0.194710,0.899078,-0.000000,0.244301,2,0.000033,1.300081,0.234550,1.320000,465.300716,0.606729,0.000000,1.783496,-0.032619,0,4.182750,stable
2.500000,0.117530,0.880554,-0.000000,0.244399,2,0.000033,1.297282,0.234639,1.320000,445.687072,0.602749,0.000000,1.783496,-0.029681,0,3.913128,stable
