t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,fluidity,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,adaptive_resilience,effort_status,En_mean(t),On_mean(t),gamma,gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
0,-0.000000,0.990999,0,0.001002,0,0.000509,0,0.000457,1.346064,0,1,0.100000,0.493788,0,0,0,1,1,1,stable,0.493788,-0.000000,0.100000,0.100000,0.100000,0.000457,1.346064
0.100000,0.000128,0.992025,0,0.001482,0,0.000300,2.447273,0.000682,1.348022,0,1,0.100000,0.469037,2.447273,0,0,1,1,1,stable,0.469099,0.000062,0.187076,0.187076,0.120927,0.000682,1.348022
0.200000,0.000303,0.992393,-0.000000,0.002125,0,0.000116,2.133497,0.000992,1.349188,0,1,0.100000,0.445393,2.133497,24.472730,0,1,1,1,stable,0.445649,0.000256,0.309128,0.309128,0.141753,0.000992,1.349188
0.300000,0.000449,0.991886,-0.000003,0.002986,0,0.000073,2.102894,0.001419,1.349444,0.000000,0.993307,0.100000,0.422725,2.102894,-3.137762,0,1,1,1,stable,0.423387,0.000662,0.496809,0.496809,0.162379,0.001419,1.349444
0.400000,0.000485,0.990695,-0.000014,0.004151,0,0.000163,0.652984,0.002011,1.348763,0.000002,0.993307,0.100000,0.401525,0.652984,-0.306025,0,1,1,1,stable,0.402271,0.000746,0.463942,0.463942,0.182707,0.002011,1.348763
0.500000,0.000394,0.989342,-0.000039,0.005444,0,0.000382,1.673734,0.002704,1.347216,0.000012,0.993307,0.100000,0.381303,1.673734,-14.499101,0,1,1,1,stable,0.382218,0.000915,0.630600,0.630600,0.202643,0.002704,1.347216
0.600000,0.000293,0.988433,-0.000051,0.007029,0,0.001150,1.155192,0.003591,1.344959,0.000022,0.993307,0.100000,0.362420,1.155192,10.207501,0,1,1,1,stable,0.363181,0.000761,0.733838,0.733838,0.222096,0.003591,1.344959
0.700000,0.000149,0.988383,-0.000071,0.008480,0,0.000063,0.761107,0.004518,1.342217,0.000019,0.993307,0.100000,0.344849,0.761107,-5.185424,0,1,1,1,stable,0.345084,0.000235,0.778558,0.778558,0.240981,0.004518,1.342217
0.800000,-0.000222,0.989247,-0.000042,0.009635,0,0.000051,1.262275,0.005454,1.339265,0.000017,0.993307,0.100000,0.328858,1.262275,-3.940848,0,1,1,1,stable,0.327848,-0.001009,0.923176,0.923176,0.259218,0.005454,1.339265
0.900000,-0.000975,0.990726,0.000044,0.010541,3,0.000047,0.864096,0.006393,1.336391,0.000026,0.993307,0.100000,0.314906,0.864096,5.011675,0,1,1,1,stable,0.311374,-0.003532,1,1,0.276734,0.006393,1.336391
1,-0.001654,0.992322,0.000147,0.011383,3,0.000050,42.115087,0.007274,1.333875,0.000081,0.993307,0.568222,0.296135,2.290385,-3.981789,0,3.269910,1,1,transitoire,0.295520,-0.000615,0.107147,0.107147,0.293459,0.007274,1.333875
1.100000,-0.002326,0.993534,0.000162,0.016650,0,0.000050,2.336203,0.010643,1.331956,0.000072,0.993307,0.577817,0.281710,15.565285,412.509908,0,5.452899,1,1,transitoire,0.280694,-0.001016,0.125944,0.125944,0.309334,0.010643,1.331956
1.200000,-0.001489,0.994015,0.000013,0.019137,3,0.000049,4.096027,0.012885,1.330819,0.000067,0.993307,0.530169,0.268569,15.632854,-397.788831,0,6.669497,1,1,transitoire,0.266577,-0.001991,0.354104,0.354104,0.324303,0.012885,1.330819
1.300000,-0.000353,0.993658,0.000033,0.021108,3,0.000047,0.803083,0.015204,1.330571,0.001031,0.993307,0.352251,0.253577,16.219462,17.598238,0,5.900763,1,1,chronique,0.253087,-0.000490,0.356939,0.356939,0.338318,0.015204,1.330571
1.400000,-0.000411,0.992598,0.000173,0.026138,3,0.000057,2.591878,0.019417,1.331234,0.000854,0.993307,0.308158,0.240963,16.219462,-32.929444,0,6.226400,1,1,transitoire,0.240393,-0.000569,0.510554,0.510554,0.351335,0.019417,1.331234
1.500000,-0.002009,0.991176,0.000250,0.030674,0,0.000048,1.167944,0.023387,1.332746,0.001098,0.993307,0.344179,0.231036,16.267664,17.887956,0,5.900763,1,1,chronique,0.228328,-0.002709,0.544723,0.544723,0.363320,0.023387,1.332746
1.600000,-0.001522,0.989847,0.000278,0.034677,0,0.000182,2.141253,0.026623,1.334960,0.002072,0.993307,0.550784,0.216469,12.812566,-14.239347,0,5.779515,1,1,transitoire,0.216692,0.000223,0.703796,0.703796,0.374240,0.026623,1.334960
1.700000,0.002089,0.989051,-0.000153,0.043340,0,0.000128,1.795545,0.033321,1.337665,0.002134,0.993307,0.508363,0.190411,12.812566,9.733096,0,5.663149,1,1,chronique,0.205876,0.015464,0.817889,0.817889,0.384069,0.033321,1.337665
1.800000,0.004565,0.989055,-0.000710,0.058753,1,0.000113,2.164090,0.047603,1.340591,0.005550,0.993306,0.698927,0.159623,12.812566,-3.457080,0,5.411978,1,1,transitoire,0.196833,0.037209,0.940764,0.940764,0.392784,0.047603,1.340591
1.900000,0.001992,0.989824,-0.001091,0.079053,3,0.000276,1.792028,0.067718,1.343443,0.004002,0.993306,0.755188,0.149570,12.812566,3.685443,0,10.171350,1,1,chronique,0.190001,0.040432,1,1,0.400369,0.067718,1.343443
2,-0.000004,0.990999,-0.001312,0.094843,3,0.000050,46.457901,0.076893,1.345973,0.011021,0.993305,0.652287,0.181586,12.812566,-3.720616,0,9.778467,0.731618,1,transitoire,0.183772,0.002187,0.100000,0.100000,0.406809,0.076893,1.345973
2.100000,-0.003093,0.992025,-0.000791,0.057622,3,0.000050,5.619625,0.053008,1.348019,0.007860,0.993306,0.681711,0.176459,19.541633,446.658734,0,10.171350,0.729119,0.987220,transitoire,0.174761,-0.001699,0.209580,0.209580,0.412092,0.053008,1.348019
2.200000,-0.005013,0.992393,0.000034,0.058760,4,0.000049,2.690647,0.056277,1.349190,0.007784,0.993306,0.722484,0.171756,20.176104,-408.382769,0,9.778467,0.731526,0.975488,transitoire,0.165885,-0.005871,0.361742,0.361742,0.416209,0.056277,1.349190
2.300000,-0.005432,0.991886,0.000073,0.061387,4,0.000049,1.613590,0.060429,1.349452,0.007622,0.993306,0.667862,0.165827,20.195857,-29.289778,0,10.339046,0.731009,0.964881,chronique,0.157116,-0.008711,0.440974,0.440974,0.419154,0.060429,1.349452
