t,S(t),C(t),A_spiral(t),E(t),L(t),cpu_step(t),effort(t),A_mean(t),f_mean(t),variance_d2S,entropy_S,mean_abs_error,mean_high_effort,d_effort_dt,t_retour,max_median_ratio,continuous_resilience,effort_status,En_mean(t),On_mean(t),gamma_mean(t),In_mean(t),An_mean(t),fn_mean(t)
2.600000,-0.000307,0.868472,0.000000,0.102291,2,0.000019,1.621298,0.100339,1.367475,0.001010,0.726960,0.130123,1.379879,-0.265077,0,6.748159,1,stable,0.130123,0.000000,0.000000,0.420923,0.100339,1.367475
2.700000,-0.003721,0.869010,0.000000,0.109656,2,0.000019,1.596322,0.108021,1.363293,0.000977,0.747201,0.123617,1.495301,-0.266056,0,6.567014,1,stable,0.123617,-0.000000,0.000000,0.419154,0.108021,1.363293
2.800000,-0.003070,0.882722,-0.000000,0.116822,2,0.000020,1.572086,0.115406,1.356829,0.003373,0.869213,0.117436,1.577195,-0.249763,0,12.059976,1,stable,0.117436,-0.000000,0.000000,0.416209,0.115406,1.356829
2.900000,-0.003790,0.904370,-0.000000,0.123695,2,0.000019,1.547970,0.122403,1.348769,0.003495,0.772155,0.111564,1.619740,-0.242359,0,12.017190,1,stable,0.111564,-0.000000,0.000000,0.412092,0.122403,1.348769
3,-0.005246,0.926469,-0.000000,0.130190,2,0.000020,1.523544,0.128935,1.339942,0.001979,0.751482,0.105986,1.619740,-0.241157,0,11.745377,1,stable,0.105986,0.000000,0.000000,0.406809,0.128935,1.339942
3.100000,-0.004655,0.943205,0.000000,0.136230,2,0.000020,1.498582,0.134934,1.331227,0.001926,0.757982,0.100687,1.609487,-0.244260,0,15.622538,1,chronique,0.100687,-0.000000,0.000000,0.400369,0.134934,1.331227
3.200000,-0.006435,0.952136,0.000000,0.141752,2,0.000020,1.473054,0.140349,1.323459,0.002243,0.693873,0.095652,1.609487,-0.249629,0,15.212050,1,chronique,0.095652,-0.000000,0.000000,0.392784,0.140349,1.323459
3.300000,-0.005701,0.953688,0.000000,0.146702,2,0.000019,1.447112,0.145142,1.317356,0.002183,0.703667,0.090870,1.609487,-0.255274,0,18.184282,1,chronique,0.090870,-0.000000,0.000000,0.384069,0.145142,1.317356
3.400000,-0.004333,0.949772,-0.000000,0.151043,2,0.000019,1.421889,0.149286,1.313467,0.002204,0.627650,0.086326,1.609487,-0.259425,0,15.330090,1,chronique,0.086326,0.000000,0.000000,0.374240,0.149286,1.313467
3.500000,-0.001509,0.942661,-0.000000,0.154749,2,0.000020,1.398934,0.152768,1.312132,0.002038,0.558007,0.082010,1.609487,-0.252226,0,13.250328,1,chronique,0.082010,0.000000,0.000000,0.363320,0.152768,1.312132
3.600000,-0.000944,0.934548,-0.000000,0.157805,2,0.000020,1.382095,0.155584,1.313467,0.002488,0.516557,0.077910,1.598744,-0.229547,0,12.787797,1,chronique,0.077910,-0.000000,0.000000,0.351335,0.155584,1.313467
3.700000,-0.006912,0.927558,-0.000000,0.160209,2,0.000020,1.371349,0.157742,1.317356,0.002671,0.514017,0.074014,1.598744,-0.168393,0,12.356468,1,stable,0.074014,-0.000000,0.000000,0.338318,0.157742,1.317356
3.800000,-0.002193,0.923592,0.000000,0.161970,2,0.000019,1.364891,0.159258,1.323459,0.009891,0.636056,0.070313,1.598744,-0.107463,0,12.095032,1,stable,0.070313,0.000000,0.000000,0.324303,0.159258,1.323459
3.900000,-0.000993,0.923588,0.000000,0.163103,2,0.000020,1.358496,0.160155,1.331227,0.014374,0.604705,0.066798,1.598744,-0.064577,0,11.109242,1,stable,0.066798,0.000000,0.000000,0.309334,0.160155,1.331227
4,-0.004242,0.926469,0.000000,0.163634,2,0.000019,1.357956,0.160464,1.339942,0.006764,0.593849,0.063458,1.598744,-0.063949,0,10.233910,1,stable,0.063458,-0.000000,0.000000,0.293459,0.160464,1.339942
4.100000,0.000038,0.928852,0.000000,0.163596,2,0.000019,1.355404,0.160220,1.348769,0.009092,0.608543,0.060285,1.587615,-0.005401,0,9.486444,1,stable,0.060285,0.000000,0.000000,0.276734,0.160220,1.348769
4.200000,0.000744,0.926365,-0.000000,0.163026,3,0.000020,1.351248,0.159464,1.356829,0.010708,0.604229,0.057271,1.587615,-0.025519,0,10.233910,1,stable,0.057271,0.000000,0.000000,0.259218,0.159464,1.356829
4.300000,-0.004729,0.916137,-0.000000,0.161967,1,0.000020,1.350858,0.158239,1.363293,0.007199,0.611784,0.054407,1.587615,-0.041557,0,9.486444,1,stable,0.054407,-0.000000,0.000000,0.240981,0.158239,1.363293
4.400000,-0.005000,0.899078,0.000000,0.160463,1,0.000020,1.349806,0.156592,1.367475,0.012304,0.650082,0.051687,1.587615,-0.003902,0,9.387670,1,stable,0.051687,-0.000000,0.000000,0.222096,0.156592,1.367475
4.500000,-0.004502,0.880554,0.000000,0.158565,1,0.000020,1.351745,0.154571,1.368921,0.009981,0.675554,0.049102,1.587615,-0.010519,0,9.290932,1,stable,0.049102,-0.000000,0.000000,0.202643,0.154571,1.368921
4.600000,-0.003943,0.868472,0.000000,0.156323,1,0.000020,1.360564,0.152226,1.367475,0.009042,0.685029,0.046647,1.576159,0.019390,0,8.476748,1,stable,0.046647,-0.000000,0.000000,0.182707,0.152226,1.367475
4.700000,-0.006809,0.869010,0.000000,0.153786,1,0.000020,1.373865,0.149606,1.363293,0.008840,0.679803,0.044315,1.576159,0.088186,0,7.793763,1,stable,0.044315,-0.000000,0.000000,0.162379,0.149606,1.363293
4.800000,-0.003233,0.882722,-0.000000,0.151005,1,0.000020,1.385303,0.146760,1.356829,0.009879,0.684424,0.042099,1.576159,0.133013,0,7.772077,1,stable,0.042099,0.000000,0.000000,0.141753,0.146760,1.356829
4.900000,-0.002590,0.904370,-0.000000,0.148030,1,0.000020,1.394428,0.143736,1.348769,0.011701,0.666350,0.039994,1.576159,0.114382,0,7.750511,1,stable,0.039994,0.000000,0.000000,0.120927,0.143736,1.348769
5,-0.002217,0.926469,-0.000000,0.144909,1,0.000019,1.400937,0.140580,1.339942,0.009349,0.656851,0.037995,1.576159,0.091247,0,7.556096,1,stable,0.037995,0.000000,0.000000,0.100000,0.140580,1.339942
5.100000,-0.003520,0.943205,0.000000,0.141687,1,0.000020,1.404704,0.137335,1.331227,0.008892,0.639591,0.036095,1.564427,0.065083,0,7.371196,1,stable,0.036095,-0.000000,0.000000,0.079073,0.137335,1.331227
5.200000,-0.002723,0.952136,0.000000,0.138405,1,0.000020,1.405791,0.134042,1.323459,0.009173,0.661645,0.034290,1.564427,0.037674,0,7.345665,1,stable,0.034290,-0.000000,0.000001,0.058247,0.134042,1.323459
5.300000,-0.004432,0.953688,-0.000000,0.135103,1,0.000020,1.404431,0.130738,1.317356,0.009029,0.679584,0.032576,1.564427,0.010873,0,7.320310,1,stable,0.032576,-0.000000,0.000001,0.037621,0.130738,1.317356
5.400000,-0.002734,0.949772,-0.000000,0.131817,1,0.000019,1.400998,0.127456,1.313467,0.008959,0.707826,0.030947,1.564427,-0.013603,0,7.247757,1,stable,0.030947,-0.000000,0.000001,0.017293,0.127456,1.313467
5.500000,-0.000361,0.942661,0.000000,0.129282,1,0.000020,1.374849,0.124916,1.312132,0.009153,0.706127,0.029399,1.564427,-0.034327,0,7.176627,1,stable,0.029399,-0.000000,0.000001,0.001000,0.124916,1.312132
5.600000,0.000414,0.934548,0.000000,0.129857,2,0.000020,1.313691,0.125419,1.313467,0.008815,0.707194,0.027929,1.552549,-0.261494,0,7.247757,1,stable,0.027929,0.000000,0.000002,0.001000,0.125419,1.313467
5.700000,-0.000106,0.927558,0.000000,0.130375,2,0.000020,1.317468,0.125873,1.317356,0.008703,0.705191,0.026533,1.552549,-0.611583,0,7.320310,1,stable,0.026533,0.000000,0.000002,0.001000,0.125873,1.317356
5.800000,0.000062,0.923592,0.000000,0.130843,2,0.000020,1.320640,0.126282,1.323459,0.008790,0.705470,0.025206,1.552549,0.037778,0,7.345665,1,stable,0.025206,0.000000,0.000003,0.001000,0.126282,1.323459
5.900000,0.001150,0.923588,-0.000000,0.131265,2,0.000020,1.322757,0.126651,1.331227,0.008536,0.704398,0.023946,1.552549,0.031712,0,7.371196,1,stable,0.023946,0.000000,0.000005,0.001000,0.126651,1.331227
6,-0.000782,0.926469,-0.000000,0.131646,2,0.000020,1.323475,0.126983,1.339942,0.008483,0.696350,0.022749,1.552549,0.021179,0,7.345665,1,stable,0.022749,0.000000,0.000006,0.001000,0.126983,1.339942
6.100000,-0.000592,0.928852,0.000000,0.131988,2,0.000020,1.322573,0.127281,1.348769,0.008872,0.698413,0.021611,1.541260,0.007172,0,7.371196,1,stable,0.021611,-0.000000,0.000008,0.001000,0.127281,1.348769
6.200000,-0.000926,0.926365,0.000000,0.132297,2,0.000020,1.320011,0.127550,1.356829,0.008403,0.699008,0.020531,1.541260,-0.009017,0,7.556096,1,stable,0.020531,0.000000,0.000011,0.001000,0.127550,1.356829
6.300000,-0.002683,0.916137,-0.000000,0.132575,2,0.000020,1.315911,0.127792,1.363293,0.008104,0.704098,0.019505,1.541260,-0.025622,0,7.462709,1,stable,0.019504,-0.000001,0.000015,0.001000,0.127792,1.363293
6.400000,-0.001557,0.899078,-0.000000,0.132824,2,0.000019,1.310556,0.128010,1.367475,0.008136,0.712833,0.018530,1.541260,-0.040999,0,7.416670,1,stable,0.018529,-0.000001,0.000020,0.001000,0.128010,1.367475
6.500000,0.000460,0.880554,-0.000000,0.133049,2,0.000020,1.304416,0.128206,1.368921,0.008330,0.708187,0.017602,1.541260,-0.053552,0,7.371196,1,stable,0.017602,0.000000,0.000028,0.001000,0.128206,1.368921
6.600000,-0.000633,0.868472,-0.000000,0.133252,2,0.000020,1.303837,0.128382,1.367475,0.008202,0.702781,0.016724,1.531506,-0.061399,0,7.416670,1,stable,0.016722,-0.000001,0.000037,0.001000,0.128382,1.367475
6.700000,-0.002599,0.869010,0.000000,0.133434,2,0.000020,1.308811,0.128540,1.363293,0.008498,0.700752,0.015891,1.531506,-0.005787,0,7.462709,1,stable,0.015886,-0.000005,0.000050,0.001000,0.128540,1.363293
6.800000,-0.002419,0.882722,0.000000,0.133597,2,0.000020,1.312987,0.128682,1.356829,0.008353,0.701676,0.015098,1.531506,0.049743,0,7.416670,1,stable,0.015091,-0.000006,0.000068,0.001000,0.128682,1.356829
6.900000,-0.001089,0.904370,-0.000000,0.133744,2,0.000020,1.315892,0.128810,1.348769,0.008339,0.710709,0.014342,1.531506,0.041755,0,7.371196,1,stable,0.014336,-0.000005,0.000091,0.001000,0.128810,1.348769
7,-0.000088,0.926469,-0.000000,0.133877,2,0.000020,1.317186,0.128925,1.339942,0.008357,0.715114,0.013621,1.531506,0.029054,0,7.345665,1,stable,0.013619,-0.000001,0.000123,0.001000,0.128925,1.339942
7.100000,0.000889,0.943205,0.000000,0.133996,2,0.000019,1.316711,0.129029,1.331227,0.008177,0.715790,0.012934,1.523034,0.012935,0,7.371196,1,stable,0.012938,0.000004,0.000167,0.001000,0.129029,1.331227
7.200000,0.000496,0.952136,0.000000,0.134103,2,0.000021,1.314498,0.129123,1.323459,0.008061,0.706509,0.012282,1.523034,-0.004752,0,7.416670,1,stable,0.012292,0.000009,0.000225,0.001000,0.129123,1.323459
7.300000,0.000275,0.953688,0.000001,0.134200,2,0.000020,1.310745,0.129206,1.317357,0.008106,0.686089,0.011670,1.523034,-0.022123,0,7.462709,1,stable,0.011678,0.000007,0.000303,0.001000,0.129206,1.317357
7.400000,-0.000421,0.949772,0.000000,0.134285,2,0.000020,1.305782,0.129281,1.313467,0.007936,0.671254,0.011099,1.523034,-0.037532,0,7.603887,1,stable,0.011094,-0.000005,0.000410,0.001000,0.129281,1.313467
7.500000,-0.001215,0.942661,-0.000000,0.134362,2,0.000020,1.300052,0.129347,1.312132,0.007850,0.670817,0.010553,1.523034,-0.049633,0,7.750511,1,stable,0.010539,-0.000014,0.000553,0.001000,0.129347,1.312132
7.600000,0.000008,0.934548,-0.000002,0.134431,2,0.000019,1.299696,0.129407,1.313467,0.007745,0.678613,0.009998,1.515407,-0.057300,0,7.603887,1,stable,0.010011,0.000013,0.000746,0.001000,0.129407,1.313467
7.700000,0.000707,0.927558,-0.000002,0.134498,2,0.000020,1.304711,0.129465,1.317356,0.007910,0.679141,0.009463,1.515407,-0.003558,0,7.750511,1,stable,0.009512,0.000048,0.001007,0.001000,0.129465,1.317356
7.800000,0.000510,0.923592,0.000000,0.134559,2,0.000020,1.308765,0.129517,1.323459,0.007668,0.694228,0.009006,1.515407,0.050153,0,7.762128,1,stable,0.009040,0.000034,0.001359,0.001000,0.129517,1.323459
7.900000,0.000444,0.923588,0.000002,0.134605,2,0.000020,1.311354,0.129558,1.331227,0.007622,0.695869,0.008500,1.515407,0.040542,0,7.773781,1,stable,0.008591,0.000091,0.001833,0.001000,0.129558,1.331227
8,-0.000099,0.926469,-0.000001,0.134655,4,0.000020,1.312655,0.129602,1.339942,0.007501,0.692214,0.008186,1.515407,0.025881,0,7.783759,1,stable,0.008169,-0.000017,0.002473,0.001000,0.129602,1.339942
8.100000,-0.003610,0.928852,-0.000001,0.134686,4,0.000021,1.311442,0.129629,1.348769,0.007426,0.708641,0.008089,1.508674,0.013012,0,7.793763,1,stable,0.007759,-0.000330,0.003335,0.001000,0.129629,1.348769
8.200000,-0.000972,0.926365,-0.000002,0.134695,2,0.000021,1.308265,0.129637,1.356829,0.007989,0.712609,0.007469,1.508674,-0.012124,0,7.783759,1,stable,0.007344,-0.000125,0.004496,0.001000,0.129637,1.356829
